name,color
Stefano Soatto,#32CD32
Eleazar Eskin,#ffc0cb
Adnan Darwiche,#32CD32
Jason Ernst,#ffc0cb
Rafail Ostrovsky,#ffff00
Amit Sahai,#ffff00
George Varghese,#00bfff
Todd Millstein,#00bfff
Wei 0010,#32CD32
Carlo Zaniolo,#00bfff
Milos Ercegovac,#00bfff
Glenn Reinman,#00bfff
Song-Chun Zhu,#32CD32
Demetri Terzopoulos,#ffc0cb
Majid Sarrafzadeh,#32CD32
Miodrag Potkonjak,#00bfff
Jason Cong,#00bfff
Mario Gerla,#00bfff
Milos Ercegovac,#d3d3d3
Lixia Zhang,#d3d3d3
Raghu Meka,#ffff00
Sriram Sankararaman,#ffc0cb
Guy Van den Broeck,#32CD32
Judea Pearl,#32CD32
Miryung Kim,#00bfff
Tyson Condie,#00bfff
Jens Palsberg,#00bfff
Richard Korf,#32CD32
Junghoo Cho,#32CD32
Songwu Lu,#00bfff
Douglas Parker,#32CD32
Yizhou Sun,#32CD32
Yuval Tamir,#d3d3d3
Alexander Sherstov,#ffff00
Michael Dyer,#d3d3d3
Eli Gafni,#ffff00
Joseph DiStefano,#d3d3d3
Ameet Talwalkar,#32CD32
