name,color
Stefano Lonardi,#ffc0cb
Tao Jiang,#ffc0cb
Eamonn Keogh,#32CD32
Frank Vahid,#00bfff
Walid Najjar,#00bfff
Jiasi Chen,#00bfff
K. Ramakrishnan,#00bfff
Vassilis Tsotras,#00bfff
Amit Roy-Chowdhury,#32CD32
Laxmi Bhuyan,#00bfff
Vagelis Hristidis,#32CD32
Rajiv Gupta,#00bfff
Qi Zhu,#00bfff
Chinya Ravishankar,#00bfff
Bir Bhanu,#32CD32
Michalis Faloutsos,#00bfff
Zizhong Chen,#00bfff
Daniel Wong,#00bfff
Craig Schroeder,#ffc0cb
Philip Brisk,#00bfff
Mart Molle,#d3d3d3
Srikanth Krishnamurthy,#00bfff
Marek Chrobak,#ffff00
Heng Yin,#00bfff
Evangelos Papalexakis,#32CD32
Sheldon Tan,#00bfff
Shaolei Ren,#00bfff
Neal Young,#ffff00
Christian Shelton,#ffc0cb
Zhiyun Qian,#00bfff
Zhijia Zhao,#00bfff
Chengyu Song,#00bfff
Michael Pazzani,#32CD32
Tamar Shinar,#ffc0cb
Ahmed Eldawy,#00bfff
Mohsen Lesani,#00bfff
Nael Abu-Ghazaleh,#00bfff
