name,color
Frédéric Gibou,#d3d3d3
Huijia Lin,#ffff00
Stefano Tessaro,#ffff00
Amr Abbadi,#00bfff
Matthew Turk,#32CD32
Tobias Höllerer,#ffc0cb
Giovanni Vigna,#00bfff
Richard Kemmerer,#00bfff
Christopher Krügel,#00bfff
Xifeng Yan,#00bfff
Kevin Almeroth,#00bfff
Haitao Zheng,#00bfff
Ben Zhao,#00bfff
Tevfik Bultan,#00bfff
Jianwen Su,#00bfff
Ben Hardekopf,#00bfff
Elizabeth Belding-Royer,#00bfff
John Gilbert,#d3d3d3
Subhash Suri,#00bfff
Theodore Kim,#ffc0cb
Wim van Dam,#ffff00
William Wang,#32CD32
Divyakant Agrawal,#00bfff
Ömer Egecioglu,#d3d3d3
Linda Petzold,#ffc0cb
Ambuj Singh,#00bfff
Chandra Krintz,#00bfff
Richard Wolski,#00bfff
Teofilo Gonzalez,#d3d3d3
Timothy Sherwood,#00bfff
Tao Yang,#32CD32
Yuan-Fang Wang,#32CD32
Yuan Xie,#00bfff
Peter Cappello,#d3d3d3
