name,color
Sean Holden,#32CD32
Lawrence Paulson,#d3d3d3
Robert Watson,#00bfff
Simon Moore,#00bfff
Anil Madhavapeddy,#00bfff
Jon Crowcroft,#32CD32
Frank Stajano,#00bfff
Peter Sewell,#00bfff
Hatice Gunes,#d3d3d3
Peter Robinson,#32CD32
Timothy Griffin,#00bfff
Richard Gibbens,#00bfff
Robert Mullins,#d3d3d3
Timothy Jones,#00bfff
Anuj Dawar,#ffff00
Simone Teufel,#32CD32
Ann Copestake,#d3d3d3
Ted Briscoe,#32CD32
Alan Mycroft,#d3d3d3
Alastair Beresford,#d3d3d3
Ian Leslie,#00bfff
Richard Mortier,#00bfff
Alan Blackwell,#ffc0cb
Andrew Pitts,#00bfff
Marcelo Fiore,#ffff00
Glynn Winskel,#ffff00
Markus Kuhn,#d3d3d3
Andrew Moore,#d3d3d3
Ian Wassell,#32CD32
Pietro Liò,#ffc0cb
Robert Mullins,#d3d3d3
David Greaves,#d3d3d3
Andy Hopper,#ffc0cb
Andrew Rice,#00bfff
Robert Harle,#ffc0cb
John Daugman,#d3d3d3
Cecilia Mascolo,#00bfff
Mateja Jamnik,#d3d3d3
Ross Anderson,#ffff00
Stephen Clark,#32CD32
Sean Holden,#d3d3d3
Michael Gordon,#d3d3d3
Rafal Mantiuk,#ffc0cb
Alan Blackwell,#ffc0cb
Robert Harle,#ffc0cb
Simon Moore,#d3d3d3
Thomas Sauerwald,#ffff00
