name,color
László Babai,#ffff00
Ravi Chugh,#00bfff
Anne Rogers,#d3d3d3
Ian Foster,#00bfff
Haryadi Gunawi,#00bfff
Andrew Chien,#00bfff
Shan Lu,#00bfff
Janos Simon,#d3d3d3
Stuart Kurtz,#d3d3d3
Andrew Drucker,#ffff00
Risi Kondor,#32CD32
Ketan Mulmuley,#ffff00
Yury Makarychev,#ffff00
Nathan Srebro,#32CD32
John Lafferty,#32CD32
Henry Hoffmann,#00bfff
Michael Franklin,#00bfff
Rick Stevens,#d3d3d3
Aaron Elmore,#00bfff
Todd Dupont,#d3d3d3
L. Scott,#d3d3d3
Gregory Shakhnarovich,#32CD32
Michael O'Donnell,#d3d3d3
Frederic Chong,#00bfff
Yali Amit,#d3d3d3
Alexander Razborov,#ffff00
Gordon Kindlmann,#ffc0cb
John Reppy,#00bfff
Ariel Feldman,#00bfff
Yanjing Li,#00bfff
Robert Soare,#d3d3d3
