name,color
Dirk Grunwald,#00bfff
Qin Lv,#ffc0cb
John Black,#00bfff
John Bennett,#ffc0cb
Richard Han,#00bfff
Clayton Lewis,#d3d3d3
Leysia Palen,#ffc0cb
Kenneth Anderson,#ffc0cb
James Martin,#32CD32
Martha Palmer,#32CD32
Sriram Sankaranarayanan,#ffff00
Bor-Yuh Chang,#00bfff
Rafael Frongillo,#32CD32
Henry Tufo,#00bfff
Pavol Cerný,#ffff00
Shivakant Mishra,#00bfff
Lijun Chen,#00bfff
Nikolaus Correll,#ffc0cb
Gabe Sibley,#ffc0cb
Tom Yeh,#ffc0cb
Michael Eisenberg,#ffc0cb
Mark Gross,#ffc0cb
Aaron Clauset,#32CD32
R. Shapiro,#d3d3d3
Xiao-Chuan Cai,#d3d3d3
Matthew Hammer,#d3d3d3
Sangtae Ha,#00bfff
Elizabeth Jessup,#00bfff
Shaun Kane,#ffc0cb
Matthew Hammer,#00bfff
Jed Brown,#00bfff
Elizabeth Bradley,#32CD32
Daniel Szafir,#ffc0cb
Jordan Boyd-Graber,#32CD32
Tamara Sumner,#32CD32
Michael Mozer,#32CD32
