name,color
Errol Lloyd,#00bfff
Adarshpal Sethi,#d3d3d3
Chien-Chung Shen,#00bfff
Lena Mashayekhy,#d3d3d3
James Atlas,#d3d3d3
Keith Decker,#d3d3d3
Michela Taufer,#00bfff
Lori Pollock,#00bfff
Terry Harvey,#d3d3d3
Christopher Rasmussen,#ffc0cb
Hagit Shatkay,#ffc0cb
Chandra Kambhamettu,#32CD32
Ben Carterette,#32CD32
Vijay Shanker,#d3d3d3
Sandra Carberry,#32CD32
Kathleen McCoy,#d3d3d3
Daniel Chester,#d3d3d3
Paul Amer,#d3d3d3
John Cavazos,#00bfff
James Clause,#00bfff
Sunita Chandrasekaran,#00bfff
Jingyi Yu,#32CD32
Stephen Siegel,#00bfff
B. Saunders,#d3d3d3
Li Liao,#ffc0cb
Cathy Wu,#d3d3d3
