name,color
J. Herrmann,#ffc0cb
Ewan Klein,#32CD32
Jon Oberlander,#32CD32
Dave Robertson,#d3d3d3
Michael Rovatsos,#d3d3d3
Guido Sanguinetti,#ffc0cb
Jane Hillston,#d3d3d3
Björn Franke,#00bfff
Nigel Topham,#00bfff
Michael O'Boyle,#00bfff
Hugh Leather,#d3d3d3
Christophe Dubach,#00bfff
Nigel Topham,#ffc0cb
Adam Lopez,#32CD32
Bonnie Webber,#32CD32
Maurice Fallon,#ffc0cb
Pramod Bhatotia,#00bfff
Mark van Rossum,#d3d3d3
Nigel Goddard,#32CD32
Charles Sutton,#32CD32
Alex Lascarides,#32CD32
Mirella Lapata,#32CD32
Simon King,#d3d3d3
Taku Komura,#ffc0cb
Julian Bradfield,#d3d3d3
Perdita Stevens,#d3d3d3
Shay Cohen,#32CD32
Mark Steedman,#32CD32
Sethu Vijayakumar,#ffc0cb
Wenfei Fan,#00bfff
Leonid Libkin,#ffff00
Stratis Viglas,#00bfff
Peter Buneman,#00bfff
Michael Herrmann,#d3d3d3
Kousha Etessami,#ffff00
Frank Keller,#32CD32
Sharon Goldwater,#32CD32
Vittorio Ferrari,#32CD32
Johanna Moore,#32CD32
James Cheney,#00bfff
Paul Anderson,#d3d3d3
Philip Wadler,#00bfff
Malcolm Atkinson,#00bfff
Dragan Gasevic,#d3d3d3
Paul Schweizer,#d3d3d3
Alan Smaill,#d3d3d3
Rik Sarkar,#00bfff
Mahesh Marina,#00bfff
Myungjin Lee,#00bfff
Christopher Lucas,#32CD32
Richard Mayr,#ffff00
Vijayakrishnan Nagarajan,#d3d3d3
Zhibin Li,#ffc0cb
Stuart Anderson,#ffc0cb
Austin Tate,#d3d3d3
Michael Fourman,#d3d3d3
Simon King,#ffc0cb
Steve Renals,#32CD32
Stephen Gilmore,#d3d3d3
Ian Stark,#d3d3d3
Murray Cole,#d3d3d3
Hiroshi Shimodaira,#d3d3d3
Iain Murray,#32CD32
Ajitha Rajan,#00bfff
Ian Simpson,#d3d3d3
Christopher Bishop,#d3d3d3
Vijay Nagarajan,#00bfff
Colin Stirling,#ffff00
Robin Hill,#d3d3d3
Peggy Seriès,#32CD32
D. Arvind,#d3d3d3
Subramanian Ramamoorthy,#ffc0cb
Paul Jackson,#d3d3d3
Igor Goryanin,#d3d3d3
Alan Bundy,#32CD32
Jacques Fleuriot,#d3d3d3
Aggelos Kiayias,#00bfff
Amos Storkey,#32CD32
Alan Bundy,#d3d3d3
Gordon Plotkin,#00bfff
Andrew Gordon,#00bfff
Henry Thompson,#d3d3d3
Kami Vaniea,#ffc0cb
Richard Shillcock,#d3d3d3
Sebastian Maneth,#00bfff
Iain Murray,#d3d3d3
Chris Heunen,#ffff00
Helen Pain,#ffc0cb
Robin Hill,#ffc0cb
Boris Grot,#00bfff
Elham Kashefi,#ffff00
Matthias Hennig,#d3d3d3
Donald Sannella,#d3d3d3
Myrto Arapinis,#00bfff
Henry Thompson,#32CD32
Paul Patras,#00bfff
John Longley,#d3d3d3
K. Kalorkoti,#d3d3d3
Matthias Hennig,#d3d3d3
Barbara Webb,#ffc0cb
Lee Eccleston,#d3d3d3
Kenneth Heafield,#32CD32
Mary Cryan,#d3d3d3
James Cheney,#d3d3d3
Paul Jackson,#d3d3d3
Robert Fisher,#d3d3d3
