name,color
Jonathan Liu,#d3d3d3
Ahmed Helmy,#00bfff
Sanjay Ranka,#ffc0cb
Tamer Kahveci,#ffc0cb
Shigang Chen,#00bfff
Sartaj Sahni,#d3d3d3
Alin Dobra,#00bfff
Ye Xia,#00bfff
Anand Rangarajan,#32CD32
Prabhat Mishra,#00bfff
Markus Schneider,#d3d3d3
José Fortes,#00bfff
Kevin Butler,#00bfff
Daisy Wang,#00bfff
Paul Gader,#d3d3d3
Joseph Wilson,#d3d3d3
Christina Gardner-McCune,#d3d3d3
Juan Gilbert,#d3d3d3
Richard Newman,#d3d3d3
Patrick Traynor,#00bfff
Alper Üngör,#d3d3d3
Jih-Kwon Peir,#00bfff
Meera Sitharam,#ffc0cb
Jörg Peters,#ffc0cb
Abdelsalam Helal,#d3d3d3
My Thai,#00bfff
Corey Toler-Franklin,#ffc0cb
Thomas Shrimpton,#ffff00
C. Vemuri,#32CD32
Alireza Entezari,#ffc0cb
Arunava Banerjee,#32CD32
Eakta Jain,#ffc0cb
Damon Woodard,#d3d3d3
Manuel Bermudez,#d3d3d3
Lisa Anthony,#ffc0cb
Douglas Dankel,#d3d3d3
Beverly Sanders,#00bfff
Tuba Yavuz-Kahveci,#00bfff
Benjamin Lok,#ffc0cb
Kyla McMullen,#d3d3d3
