name,abbrv,color,coauthored
Mark Grechanik,M. Grechanik,#00bfff,1
Ugo Buy,U. Buy,#00bfff,1
Brian Ziebart,B. Ziebart,#32CD32,1
Clement Yu,C. Yu,#00bfff,1
Tanya Berger-Wolf,T. Berger-Wolf,#32CD32,1
Chris Kanich,C. Kanich,#00bfff,1
Bhaskar DasGupta,B. DasGupta,#ffc0cb,1
Robert Kenyon,R. Kenyon,#ffc0cb,1
Angus Forbes,A. Forbes,#ffc0cb,1
Andrew Johnson,A. Johnson,#ffc0cb,1
Peter Nelson,P. Nelson,#ffc0cb,0
John Lillis,J. Lillis,#00bfff,0
A. Sistla,A. Sistla,#ffff00,1
Philip Yu,P. Yu,#32CD32,1
Dale Reed,D. Reed,#d3d3d3,0
Sol Shatz,S. Shatz,#d3d3d3,1
Ajay Kshemkalyani,A. Kshemkalyani,#d3d3d3,1
Tadao Murata,T. Murata,#d3d3d3,0
Bing Liu,B. Liu,#32CD32,1
Leilah Lyons,L. Lyons,#ffc0cb,0
G. Marai,G. Marai,#ffc0cb,0
Lenore Zuck,L. Zuck,#ffff00,1
V. Venkatakrishnan,V. Venkatakrishnan,#00bfff,1
Thomas DeFanti,T. DeFanti,#ffc0cb,1
Piotr Gmytrasiewicz,P. Gmytrasiewicz,#32CD32,0
Cynthia Taylor,C. Taylor,#00bfff,1
Stephen Checkoway,S. Checkoway,#00bfff,1
Isabel Cruz,I. Cruz,#d3d3d3,1
Barbara Di Eugenio,B. Di Eugenio,#32CD32,1
Robert Sloan,R. Sloan,#32CD32,1
Jon Solworth,J. Solworth,#00bfff,1
Balajee Vamanan,B. Vamanan,#00bfff,0
Daniel Bernstein,D. Bernstein,#ffff00,1
Mitchell Theys,M. Theys,#d3d3d3,0
Xinhua Zhang,X. Zhang,#32CD32,0
Jakob Eriksson,J. Eriksson,#00bfff,0
Iasonas Polakis,I. Polakis,#00bfff,0
