name,color,coauthored
Josep Torrellas,#00bfff,1
Darko Marinov,#00bfff,1
Craig Zilles,#00bfff,1
Laxmikant Kalé,#00bfff,1
Sarita Adve,#00bfff,1
Tao Xie,#00bfff,1
Jian Peng,#ffc0cb,1
ChengXiang Zhai,#32CD32,1
Sasa Misailovic,#00bfff,1
Grigore Rosu,#00bfff,1
Gul Agha,#00bfff,1
Mahesh Viswanathan,#ffff00,1
Samuel Kamin,#d3d3d3,1
Tandy Warnow,#ffc0cb,0
Steven LaValle,#ffc0cb,0
P. Madhusudan,#ffff00,1
Carl Gunter,#00bfff,1
Dan Roth,#32CD32,1
Julia Hockenmaier,#32CD32,1
Svetlana Lazebnik,#32CD32,1
Jiawei Han,#32CD32,1
David Forsyth,#32CD32,1
Matthew Caesar,#00bfff,1
Brighten Godfrey,#00bfff,1
Tarek Abdelzaher,#00bfff,1
Jeff Erickson,#ffff00,1
Sariel Har-Peled,#ffff00,1
Kevin Chang,#00bfff,1
Aditya Parameswaran,#00bfff,1
Indranil Gupta,#00bfff,1
Klara Nahrstedt,#00bfff,1
Sheldon Jacobson,#d3d3d3,0
Luke Olson,#d3d3d3,1
Marc Snir,#00bfff,1
William Gropp,#00bfff,1
Karrie Karahalios,#ffc0cb,1
Brian Bailey,#ffc0cb,1
Marco Caccamo,#00bfff,1
Lui Sha,#00bfff,1
John Hart,#ffc0cb,1
Wai-Tat Fu,#ffc0cb,1
Alex Kirlik,#ffc0cb,1
Ranjitha Kumar,#ffc0cb,1
Roy Campbell,#00bfff,1
Chandra Chekuri,#ffff00,1
Paris Smaragdis,#32CD32,1
Derek Hoiem,#32CD32,1
Vikram Adve,#00bfff,1
Robin Kravets,#00bfff,1
Rob Rutenbar,#00bfff,1
José Meseguer,#00bfff,1
Andreas Klöckner,#d3d3d3,0
Manoj Prabhakaran,#ffff00,1
Gerald DeJong,#32CD32,1
Anil Hirani,#ffff00,0
Saurabh Sinha,#00bfff,0
David Padua,#00bfff,1
Alexandra Kolla,#ffff00,1
Ruta Mehta,#ffff00,0
