name,color
Josep Torrellas,#00bfff
Craig B. Zilles,#00bfff
Sarita V. Adve,#00bfff
Laxmikant V. Kalé,#00bfff
Darko Marinov,#00bfff
Tao Xie,#00bfff
Jian Peng 0001,#ffc0cb
ChengXiang Zhai,#32CD32
P. Madhusudan,#ffff00
Mahesh Viswanathan 0001,#ffff00
Carl A. Gunter,#00bfff
Dan Roth,#32CD32
Julia Hockenmaier,#32CD32
Jiawei Han,#32CD32
Svetlana Lazebnik,#32CD32
David A. Forsyth,#32CD32
Matthew Caesar,#00bfff
Brighten Godfrey,#00bfff
Tarek F. Abdelzaher,#00bfff
Jeff Erickson,#ffff00
Sariel Har-Peled,#ffff00
Aditya G. Parameswaran,#00bfff
Kevin Chen-Chuan Chang,#00bfff
Klara Nahrstedt,#00bfff
Indranil Gupta,#00bfff
Sasa Misailovic,#00bfff
Sheldon H. Jacobson,#d3d3d3
Luke N. Olson,#d3d3d3
William Gropp,#00bfff
Marc Snir,#00bfff
Karrie Karahalios,#ffc0cb
Brian P. Bailey,#ffc0cb
John C. Hart,#ffc0cb
Wai-Tat Fu,#ffc0cb
Alex Kirlik,#ffc0cb
Ranjitha Kumar,#ffc0cb
Marco Caccamo,#00bfff
Lui Sha,#00bfff
Roy H. Campbell,#00bfff
Chandra Chekuri,#ffff00
Gul A. Agha,#00bfff
Samuel N. Kamin,#d3d3d3
Grigore Rosu,#00bfff
Derek Hoiem,#32CD32
Paris Smaragdis,#32CD32
Robin Kravets,#00bfff
Vikram S. Adve,#00bfff
Rob A. Rutenbar,#00bfff
José Meseguer,#00bfff
Andreas Klöckner,#d3d3d3
Manoj Prabhakaran,#ffff00
Gerald DeJong,#32CD32
David A. Padua,#00bfff
Alexandra Kolla,#ffff00
