name,color,coauthored
Shannon Blunt,#d3d3d3,1
James Stiles,#d3d3d3,1
Erik Perrins,#d3d3d3,1
Prasad Kulkarni,#d3d3d3,1
James Sterbenz,#00bfff,1
Rongqing Hui,#d3d3d3,0
Esam El-Araby,#d3d3d3,0
David Johnson,#ffc0cb,1
Gary Minden,#d3d3d3,1
Victor Frost,#00bfff,1
Perry Alexander,#d3d3d3,1
Joseph Evans,#d3d3d3,1
Arvin Agah,#ffc0cb,1
Jun Huan,#32CD32,1
Jonathan Brumberg,#d3d3d3,0
Jerzy Grzymala-Busse,#d3d3d3,0
Guanghui Wang,#32CD32,0
Glenn Prescott,#d3d3d3,0
Heechul Yun,#00bfff,0
Carlton Leuschen,#d3d3d3,0
Tyrone Duncan,#d3d3d3,1
Lingjia Liu,#d3d3d3,1
Andy Gill,#d3d3d3,1
David Petr,#d3d3d3,0
Reza Ahmadi,#d3d3d3,0
James Rowland,#00bfff,0
Suzanne Shontz,#d3d3d3,0
Yang Yi,#ffc0cb,1
Michael Branicky,#ffc0cb,0
Bo Luo,#00bfff,1
Fengjun Li,#00bfff,1
Aveek Dutta,#00bfff,0
Nicole Beckage,#d3d3d3,0
James Miller,#d3d3d3,0
Hossein Saiedian,#d3d3d3,0
Christopher Allen,#d3d3d3,0
Cuncong Zhong,#d3d3d3,0
