name,color,coauthored
Kenneth Calvert,#d3d3d3,1
Jim Griffioen,#d3d3d3,1
Victor Marek,#d3d3d3,1
Miroslaw Truszczynski,#32CD32,1
Fuhua Cheng,#d3d3d3,0
Jinze Liu,#ffc0cb,1
Ruigang Yang,#32CD32,1
Raphael Finkel,#d3d3d3,1
Judy Goldsmith,#32CD32,1
Ramakanth Kavuluru,#d3d3d3,1
Andrew Klapper,#d3d3d3,1
Zongming Fei,#d3d3d3,1
Jane Hayes,#d3d3d3,1
Tingting Yu,#00bfff,1
Jun Zhang,#00bfff,0
Grzegorz Wasilkowski,#d3d3d3,0
Jerzy Jaromczyk,#d3d3d3,1
Nathan Jacobs,#32CD32,0
W. Seales,#32CD32,1
Chen Qian,#00bfff,0
