name,color,coauthored
Aravind Srinivasan,#ffff00,1
Mohammad Hajiaghayi,#ffff00,1
Bobby Bhattacharjee,#00bfff,1
Samir Khuller,#ffff00,1
Peter Keleher,#00bfff,1
Dave Levin,#00bfff,1
William Gasarch,#d3d3d3,1
Zia Khan,#ffc0cb,0
David Jacobs,#32CD32,1
Jon Froehlich,#ffc0cb,1
Michael Hicks,#00bfff,1
Jonathan Katz,#ffff00,1
Jeffrey Foster,#00bfff,1
David Van Horn,#00bfff,1
Michelle Mazurek,#ffc0cb,1
Alan Sussman,#00bfff,1
Adam Porter,#00bfff,1
Atif Memon,#00bfff,1
Amol Deshpande,#00bfff,1
Ben Shneiderman,#ffc0cb,1
Neil Spring,#00bfff,1
Benjamin Bederson,#ffc0cb,1
John Dickerson,#32CD32,1
V. Subrahmanian,#32CD32,1
Hal Daumé,#32CD32,1
Philip Resnik,#32CD32,1
Yiannis Aloimonos,#ffc0cb,1
David Jacobs,#32CD32,1
Larry Davis,#32CD32,1
Marine Carpuat,#32CD32,1
Howard Elman,#d3d3d3,0
Clyde Kruskal,#d3d3d3,1
Héctor Bravo,#ffc0cb,1
Amitabh Varshney,#ffc0cb,1
Hanan Samet,#00bfff,1
Tom Goldstein,#32CD32,1
Ramani Duraiswami,#32CD32,1
James Reggia,#d3d3d3,0
Andrew Childs,#ffff00,0
David Mount,#ffff00,0
Nick Roussopoulos,#d3d3d3,1
Eytan Ruppin,#ffc0cb,0
Jeffrey Hollingsworth,#00bfff,0
Atif Memon,#d3d3d3,1
Pete Keleher,#d3d3d3,0
A. Shankar,#00bfff,1
Ashok Agrawala,#00bfff,1
James Purtilo,#d3d3d3,0
Rance Cleaveland,#00bfff,0
Dana Nau,#32CD32,1
Mihai Pop,#ffc0cb,0
Donald Perlis,#32CD32,0
