name,color
James Allan,#32CD32
W. Croft,#32CD32
Ramesh Sitaraman,#00bfff
Shlomo Zilberstein,#32CD32
Mark Corner,#00bfff
Prashant Shenoy,#00bfff
Brian Levine,#00bfff
Deepak Ganesan,#00bfff
Emery Berger,#00bfff
Don Towsley,#00bfff
Michael Zink,#00bfff
David Irwin,#00bfff
James Kurose,#00bfff
Yanlei Diao,#00bfff
Arun Venkataramani,#00bfff
Gerome Miklau,#00bfff
David Jensen,#32CD32
Andrew McCallum,#32CD32
Andrew McGregor,#ffff00
Neil Immerman,#00bfff
Alexandra Meliou,#00bfff
Lori Clarke,#00bfff
Leon Osterweil,#00bfff
George Avrunin,#00bfff
Benjamin Marlin,#32CD32
Evangelos Kalogerakis,#ffc0cb
J. Moss,#00bfff
Erik Learned-Miller,#32CD32
Amir Houmansadr,#00bfff
Daniel Sheldon,#32CD32
Rui Wang,#ffc0cb
René Just,#00bfff
Phillipa Gill,#00bfff
Charles Weems,#d3d3d3
Sunghoon Lee,#00bfff
Barna Saha,#ffff00
Arya Mazumdar,#32CD32
Justin Domke,#32CD32
David Barrington,#d3d3d3
Roderic Grupen,#ffc0cb
Subhransu Maji,#32CD32
Weibo Gong,#00bfff
Yuriy Brun,#00bfff
Arjun Guha,#00bfff
Jack Wileden,#d3d3d3
Hava Siegelmann,#32CD32
Brendan O'Connor,#32CD32
Joydeep Biswas,#ffc0cb
Akshay Krishnamurthy,#32CD32
Sridhar Mahadevan,#32CD32
