name,color,coauthored
Eric Van Wyk,#ffc0cb,1
Maria Gini,#32CD32,1
Mats Heimdahl,#00bfff,1
Anand Tripathi,#d3d3d3,0
Abhishek Chandra,#00bfff,1
Jon Weissman,#00bfff,1
Zhi-Li Zhang,#00bfff,1
Jaideep Srivastava,#32CD32,1
Volkan Isler,#ffc0cb,1
Ravi Janardan,#32CD32,1
Nikolaos Papanikolopoulos,#ffc0cb,1
Paul Schrater,#32CD32,1
Daniel Boley,#32CD32,1
Arindam Banerjee,#32CD32,1
Svetlana Yarosh,#ffc0cb,1
Loren Terveen,#ffc0cb,1
Pen-Chung Yew,#00bfff,1
Antonia Zhai,#00bfff,1
Stephen McCamant,#00bfff,1
Rahul Narain,#ffc0cb,1
Stephen Guy,#ffc0cb,1
Victoria Interrante,#ffc0cb,0
Shashi Shekhar,#00bfff,1
Mohamed Mokbel,#00bfff,1
Vipin Kumar,#32CD32,1
Rui Kuang,#ffc0cb,1
Joseph Konstan,#ffc0cb,1
Daniel Keefe,#ffc0cb,1
John Carlis,#ffc0cb,1
Nicholas Hopper,#00bfff,0
David Du,#00bfff,1
Tian He,#00bfff,1
Junaed Sattar,#ffc0cb,0
Stergios Roumeliotis,#ffc0cb,1
Yousef Saad,#32CD32,0
Gopalan Nadathur,#ffff00,0
Haiyi Zhu,#ffc0cb,0
Dan Knights,#d3d3d3,0
George Karypis,#ffc0cb,0
Gary Meyer,#ffc0cb,0
