name,abbrv,color,coauthored
Sushil Louis,S. Louis,#ffc0cb,1
Sergiu Dascalu,S. Dascalu,#d3d3d3,1
Shamik Sengupta,S. Sengupta,#00bfff,1
Monica Nicolescu,M. Nicolescu,#ffc0cb,1
Mircea Nicolescu,M. Nicolescu,#ffc0cb,1
George Bebis,G. Bebis,#ffc0cb,1
Mehmet Gunes,M. Gunes,#00bfff,1
Lei Yang,L. Yang,#00bfff,0
David Feil-Seifer,D. Feil-Seifer,#d3d3d3,1
Frederick Harris,F. Harris,#d3d3d3,1
Dwight Egbert,D. Egbert,#d3d3d3,1
Dongfang Zhao,D. Zhao,#d3d3d3,0
Eelke Folmer,E. Folmer,#ffc0cb,1
Hung La,H. La,#ffc0cb,1
Feng Yan,F. Yan,#00bfff,0
Kostas Alexis,K. Alexis,#ffc0cb,0
