name,abbrv,color,coauthored
Jedidiah Crandall,J. Crandall,#00bfff,1
Stephanie Forrest,S. Forrest,#00bfff,1
Deepak Kapur,D. Kapur,#00bfff,1
Abdullah Mueen,A. Mueen,#32CD32,1
Jared Saia,J. Saia,#ffff00,1
Patrick Bridges,P. Bridges,#00bfff,1
Melanie Moses,M. Moses,#ffc0cb,1
Darko Stefanovic,D. Stefanovic,#d3d3d3,1
Shuang Luan,S. Luan,#32CD32,1
Dorian Arnold,D. Arnold,#d3d3d3,1
Thomas Hayes,T. Hayes,#ffff00,1
Lydia Tapia,L. Tapia,#ffc0cb,1
Patrick Kelley,P. Kelley,#ffc0cb,1
Dorian Arnold,D. Arnold,#00bfff,1
Trilce Estrada,T. Estrada,#00bfff,1
Melanie Moses,M. Moses,#d3d3d3,1
Gruia-Catalin Roman,G. Roman,#00bfff,0
David Ackley,D. Ackley,#d3d3d3,1
Lance Williams,L. Williams,#32CD32,1
