name,color
Ron Alterovitz,#ffc0cb
Stephen Pizer,#32CD32
Marc Niethammer,#32CD32
Jan Prins,#ffc0cb
Kevin Jeffay,#d3d3d3
Ming Lin,#ffc0cb
Dinesh Manocha,#ffc0cb
Tamara Berg,#32CD32
Vladimir Jojic,#ffc0cb
Jack Snoeyink,#ffc0cb
Ketan Mayer-Patel,#d3d3d3
Michael Reiter,#00bfff
Greg Welch,#ffc0cb
Henry Fuchs,#ffc0cb
Fabian Monrose,#00bfff
Jan-Michael Frahm,#32CD32
P. Stotts,#d3d3d3
Mohit Bansal,#32CD32
David Plaisted,#d3d3d3
Prasun Dewan,#00bfff
Donald Porter,#00bfff
Montek Singh,#00bfff
Anselmo Lastra,#ffc0cb
David Stotts,#d3d3d3
Sanjoy Baruah,#00bfff
James Anderson,#00bfff
Stanley Ahalt,#d3d3d3
Cynthia Sturton,#00bfff
Leonard McMillan,#ffc0cb
Frederick Brooks,#ffc0cb
Gary Bishop,#d3d3d3
Jasleen Kaur,#00bfff
Alexander Berg,#32CD32
Michael Fern,#d3d3d3
S. Nirjon,#00bfff
