name,color,coauthored
Chaoli Wang,#ffc0cb,0
Peter Kogge,#00bfff,0
Dong Wang,#ffc0cb,1
Nitesh Chawla,#32CD32,1
Aaron Striegel,#00bfff,1
Ronald Metoyer,#ffc0cb,0
Michael Niemier,#00bfff,1
Xiaobo Hu,#00bfff,1
Christian Poellabauer,#00bfff,1
Patrick Flynn,#00bfff,1
Douglas Thain,#00bfff,1
Jesús Izaguirre,#d3d3d3,1
Tim Weninger,#32CD32,1
David Chiang,#32CD32,1
Kevin Bowyer,#32CD32,1
Yiyu Shi,#00bfff,0
Sidney D'Mello,#00bfff,1
Tijana Milenkovic,#ffc0cb,1
Collin McMillan,#00bfff,1
Walter Scheirer,#32CD32,1
Danny Chen,#d3d3d3,0
