name,color
Bernardo Grau,#32CD32
Boris Motik,#32CD32
Ian Horrocks,#32CD32
Alessandro Abate,#ffff00
Daniel Kroening,#ffff00
Marta Kwiatkowska,#ffff00
A. Roscoe,#ffff00
Andrew Markham,#00bfff
James Worrell,#ffff00
Ivan Flechais,#00bfff
Gavin Lowe,#ffff00
Sadie Creese,#d3d3d3
Ivan Martinovic,#00bfff
Kasper Rasmussen,#00bfff
Andrew Simpson,#00bfff
Cas Cremers,#00bfff
David Gavaghan,#d3d3d3
Jonathan Whiteley,#d3d3d3
David Kay,#d3d3d3
Agathoniki Trigoni,#ffc0cb
Phil Blunsom,#32CD32
Shimon Whiteson,#32CD32
Nando de Freitas,#32CD32
Ursula Martin,#d3d3d3
Stefan Kiefer,#ffff00
Michael Benedikt,#00bfff
Vojtech Forejt,#ffff00
Sam Staton,#ffff00
Hongseok Yang,#00bfff
Bob Coecke,#ffff00
Stephen Pulman,#32CD32
Samson Abramsky,#32CD32
Alex Rogers,#32CD32
Martin Andrews,#d3d3d3
Thomas Melham,#d3d3d3
Marina Jirotka,#ffc0cb
Stanislav Zivny,#32CD32
Peter Jeavons,#32CD32
Leslie Goldberg,#ffff00
Jonathan Barrett,#d3d3d3
Jeremy Gibbons,#00bfff
Jim Davies,#ffc0cb
Luca Cardelli,#00bfff
Michael Wooldridge,#32CD32
Edith Elkind,#32CD32
Paul Goldberg,#32CD32
Georg Gottlob,#32CD32
Richard Bird,#d3d3d3
Andrew Ker,#32CD32
Rahul Santhanam,#ffff00
Paul Goldberg,#d3d3d3
Nigel Shadbolt,#ffc0cb
Dan Olteanu,#00bfff
Elias Koutsoupias,#ffff00
Stephen Cameron,#ffc0cb
Thomas Lukasiewicz,#32CD32
Michael Wooldridge,#d3d3d3
Blanca Bravo,#d3d3d3
Stephen Cameron,#d3d3d3
C. Hoare,#ffff00
C.-H. Ong,#ffff00
