name,color
Barbara Masucci,#00bfff
Alfredo De Santis,#00bfff
Francesco Palmieri,#32CD32
Paolo D'Arco,#d3d3d3
Filomena Ferrucci,#32CD32
Carmine Gravino,#32CD32
Gennaro Costagliola,#d3d3d3
Vittorio Fuccella,#ffc0cb
Andrea De Lucia,#00bfff
Monica Sebillo,#d3d3d3
Genny Tortora,#00bfff
Giuliana Vitiello,#d3d3d3
Vincenzo Deufemia,#d3d3d3
Giuseppe Polese,#d3d3d3
Maurizio Tucci,#d3d3d3
Delfina Malandrino,#d3d3d3
Vittorio Scarano,#d3d3d3
Alberto Negro,#d3d3d3
Clelia de Felice,#d3d3d3
Roberto De Prisco,#d3d3d3
Rosalba Zizza,#d3d3d3
Roberto Tagliaferri,#ffc0cb
Giancarlo Nota,#d3d3d3
Pierluigi Ritrovato,#d3d3d3
Adele Rescigno,#d3d3d3
Luisa Gargano,#d3d3d3
Ugo Vaccaro,#d3d3d3
Rita Francese,#d3d3d3
Vincenzo Auletta,#32CD32
Giuseppe Persiano,#ffff00
Carlo Blundo,#d3d3d3
Ivan Visconti,#ffff00
Salvatore La Torre,#ffff00
Margherita Napoli,#d3d3d3
Mimmo Parente,#d3d3d3
Andrea Abate,#d3d3d3
Michele Nappi,#d3d3d3
Vincenzo Loia,#d3d3d3
Riccardo Distasi,#d3d3d3
Antonio Cioppa,#d3d3d3
Angelo Marcelli,#d3d3d3
Gennaro Percannella,#d3d3d3
Pasquale Foggia,#d3d3d3
Mario Vento,#d3d3d3
Donatello Conte,#d3d3d3
Massimo De Santo,#d3d3d3
Francesco Colace,#d3d3d3
Gianluca De Marco,#ffff00
Matteo Gaeta,#d3d3d3
Francesco Orciuoli,#d3d3d3
Sabrina Senatore,#d3d3d3
Giuseppe Cattaneo,#d3d3d3
Enrico Fischetti,#d3d3d3
Annalisa De Bonis,#d3d3d3
Marcella Anselmo,#d3d3d3
Bruno Carpentieri,#d3d3d3
Alberto Postiglione,#d3d3d3
Amelia Nobile,#d3d3d3
