name,abbrv,color,coauthored
Alessio Gaspar,A. Gaspar,#d3d3d3,0
Paul Rosen,P. Rosen,#ffc0cb,0
Yao Liu,Y. Liu,#00bfff,1
Jay Ligatti,J. Ligatti,#00bfff,1
Alfredo Weitzenfeld,A. Weitzenfeld,#ffc0cb,0
Yu Sun,Y. Sun,#ffc0cb,1
Rangachar Kasturi,R. Kasturi,#d3d3d3,1
Sriram Chellappan,S. Chellappan,#d3d3d3,0
Srinivas Katkoori,S. Katkoori,#d3d3d3,0
Yi-Cheng Tu,Y. Tu,#00bfff,1
Sudeep Sarkar,S. Sarkar,#32CD32,1
Adriana Iamnitchi,A. Iamnitchi,#00bfff,1
Hao Zheng,H. Zheng,#32CD32,0
Xinming Ou,X. Ou,#00bfff,0
Les Piegl,L. Piegl,#d3d3d3,0
