name,color
Albert Zomaya,#00bfff
Bing Zhou,#00bfff
Vincent Gramoli,#00bfff
Sanjay Chawla,#32CD32
Alan Fekete,#00bfff
Wei Bao,#00bfff
Bernhard Scholz,#00bfff
Joachim Gudmundsson,#32CD32
Judy Kay,#ffc0cb
Irena Koprinska,#32CD32
Kalina Yacef,#32CD32
Simon Poon,#d3d3d3
Joseph Davis,#d3d3d3
Josiah Poon,#d3d3d3
Uwe Röhm,#00bfff
Seok-Hee Hong,#d3d3d3
Kevin Kuan,#d3d3d3
Na Liu,#00bfff
Ying Zhou,#d3d3d3
James Curran,#32CD32
Julián Mestre,#32CD32
Fabio Ramos,#ffc0cb
David Feng,#32CD32
Anastasios Viglas,#d3d3d3
David Feng,#32CD32
Zhiyong Wang,#ffc0cb
Jinman Kim,#d3d3d3
Tom Cai,#32CD32
Xiuying Wang,#d3d3d3
David Lowe,#32CD32
Masahiro Takatsuka,#ffc0cb
Vera Chung,#d3d3d3
John Stavrakakis,#d3d3d3
Ralph Holz,#00bfff
