name,color
Qing Cao,#00bfff
Seddik Djouadi,#d3d3d3
Hairong Qi,#00bfff
Yilu Liu,#d3d3d3
Kevin Tomsovic,#d3d3d3
Leon Tolbert,#d3d3d3
Michael Berry,#d3d3d3
Jack Dongarra,#00bfff
Bradley Zanden,#d3d3d3
Gregory Peterson,#d3d3d3
Itamar Arel,#d3d3d3
Jeremy Holleman,#d3d3d3
Nicole McFarlane,#d3d3d3
Jinyuan Sun,#00bfff
Fangxing Li,#d3d3d3
Kai Sun,#ffc0cb
Husheng Li,#00bfff
Syed Islam,#d3d3d3
Judy Day,#d3d3d3
Michael Vose,#d3d3d3
James Plank,#d3d3d3
Mark Dean,#d3d3d3
Benjamin Blalock,#d3d3d3
Garrett Rose,#00bfff
Daniel Costinett,#d3d3d3
Donatello Materassi,#d3d3d3
Jian Huang,#ffc0cb
Micah Beck,#d3d3d3
Wei Gao,#00bfff
Chao Tian,#00bfff
Michael Langston,#ffff00
Bruce MacLennan,#d3d3d3
Lynne Parker,#ffc0cb
Audris Mockus,#00bfff
Aly Fathy,#d3d3d3
Mongi Abidi,#ffc0cb
Héctor Pulgar-Painemal,#d3d3d3
Michael Jantz,#d3d3d3
Jens Gregor,#d3d3d3
