name,color,coauthored
Fillia Makedon,#32CD32,1
Heng Huang,#32CD32,1
Manfred Huber,#ffc0cb,1
Vassilis Athitsos,#32CD32,1
Leonidas Fegaras,#d3d3d3,1
Jiang Ming,#00bfff,0
Ramez Elmasri,#d3d3d3,1
Jean Gao,#32CD32,1
Chengkai Li,#00bfff,1
Yonghe Liu,#00bfff,1
Christoph Csallner,#00bfff,1
Gautam Das,#00bfff,1
Farhad Kamangar,#32CD32,1
Junzhou Huang,#32CD32,1
Sharma Chakravarthy,#d3d3d3,1
Bill Carroll,#d3d3d3,0
Song Jiang,#00bfff,0
Hao Che,#d3d3d3,1
Hong Jiang,#00bfff,1
Jia Rao,#00bfff,0
David Kung,#d3d3d3,0
Ishfaq Ahmad,#d3d3d3,0
