name,color
C. Plaxton,#d3d3d3
Jayadev Misra,#d3d3d3
Adam Klivans,#ffff00
David Zuckerman,#ffff00
Don Batory,#00bfff
William Cook,#00bfff
Robert van de Geijn,#00bfff
Lili Qiu,#00bfff
Yin Zhang,#00bfff
Mohamed Gouda,#00bfff
Simon Lam,#00bfff
Inderjit Dhillon,#32CD32
Bruce Porter,#32CD32
Calvin Lin,#00bfff
James Browne,#00bfff
Donald Fussell,#00bfff
Isil Dillig,#00bfff
Scott Niekum,#ffc0cb
Peter Stone,#32CD32
J. Moore,#d3d3d3
Warren Hunt,#ffff00
Thomas Dillig,#ffff00
Robert Boyer,#d3d3d3
Emmett Witchel,#00bfff
Risto Miikkulainen,#32CD32
Vladimir Lifschitz,#32CD32
Eric Price,#ffff00
Raymond Mooney,#32CD32
Chandrajit Bajaj,#ffc0cb
Philipp Krähenbühl,#32CD32
Greg Durrett,#32CD32
Keshav Pingali,#00bfff
Aloysius Mok,#00bfff
Kristen Grauman,#32CD32
Brent Waters,#ffff00
Gordon Novak,#d3d3d3
Scott Aaronson,#ffff00
Vijay Chidambaram,#00bfff
E. Emerson,#d3d3d3
Daniel Miranker,#ffc0cb
Anna Gál,#ffff00
Christopher Rossbach,#00bfff
Simon Peter,#00bfff
Dana Ballard,#32CD32
Alan Cline,#d3d3d3
Etienne Vouga,#ffc0cb
Vijaya Ramachandran,#ffff00
