name,color
Rym Zalila-Wenkstern,#d3d3d3
Cong Liu,#00bfff
Weili Wu,#00bfff
Ding-Zhu Du,#00bfff
Ramaswamy Chandrasekaran,#d3d3d3
S. Venkatesan,#00bfff
Ravi Prakash,#d3d3d3
Neeraj Mittal,#d3d3d3
Kamil Saraç,#00bfff
Sergey Bereg,#ffc0cb
Milind Dawande,#d3d3d3
Murat Kantarcioglu,#00bfff
Bhavani Thuraisingham,#32CD32
Kevin Hamlen,#00bfff
Latifur Khan,#32CD32
Zhiqiang Lin,#00bfff
Gopal Gupta,#d3d3d3
András Faragó,#d3d3d3
B. Prabhakaran,#00bfff
Xiaohu Guo,#ffc0cb
Si-Qing Zheng,#00bfff
Simeon Ntafos,#d3d3d3
Kang Zhang,#32CD32
W. Wong,#d3d3d3
Kendra Cooper,#d3d3d3
Lingming Zhang,#00bfff
Jorge Cobb,#d3d3d3
Ivan Sudborough,#d3d3d3
Farokh Bastani,#32CD32
I-Ling Yen,#32CD32
Vincent Ng,#32CD32
Ovidiu Daescu,#d3d3d3
Nicholas Ruozzi,#32CD32
Dan Moldovan,#32CD32
Sanda Harabagiu,#32CD32
Balaji Raghavachari,#d3d3d3
Benjamin Raichel,#ffff00
Yvo Desmedt,#ffff00
Vibhav Gogate,#32CD32
Paul Fishwick,#ffc0cb
Tien Nguyen,#00bfff
Lawrence Chung,#d3d3d3
Haim Schweitzer,#32CD32
Zygmunt Haas,#00bfff
Yang Liu,#ffc0cb
Andrian Marcus,#00bfff
Alvaro Cárdenas,#00bfff
