name,color
Sanja Fidler,#32CD32
Raquel Urtasun,#32CD32
Richard Zemel,#32CD32
Sven Dickinson,#32CD32
Fahiem Bacchus,#32CD32
Sheila McIlraith,#32CD32
Toniann Pitassi,#ffff00
Craig Boutilier,#32CD32
Gerald Penn,#32CD32
Ronald Baecker,#ffc0cb
Daniel Wigdor,#ffc0cb
Ravin Balakrishnan,#ffc0cb
Yashar Ganjali,#00bfff
Michael Molloy,#ffff00
Stephen Cook,#ffff00
Benjamin Rossman,#ffff00
Suzanne Stevenson,#32CD32
Kiriakos Kutulakos,#32CD32
David Fleet,#32CD32
Allan Jepson,#32CD32
François Pitt,#d3d3d3
Michelle Craig,#d3d3d3
Diane Horton,#d3d3d3
Vassos Hadzilacos,#d3d3d3
Sam Toueg,#d3d3d3
Michael Brudno,#ffc0cb
Khai Truong,#ffc0cb
Karan Singh,#ffc0cb
David Levin,#ffc0cb
Azadeh Farzan,#ffff00
Angela Brown,#00bfff
Bogdan Simion,#00bfff
Nick Koudas,#00bfff
Paul Gries,#d3d3d3
Jennifer Campbell,#d3d3d3
Roger Grosse,#32CD32
David Duvenaud,#32CD32
Charles Rackoff,#ffff00
Steve Easterbrook,#00bfff
Marsha Chechik,#00bfff
John Mylopoulos,#00bfff
Anthony Bonner,#32CD32
Allan Borodin,#32CD32
Faith Ellen,#ffff00
Rudolf Mathon,#d3d3d3
David Liu,#32CD32
Alec Jacobson,#ffc0cb
Eyal de Lara,#00bfff
Karen Reid,#d3d3d3
Jim Clarke,#d3d3d3
Radford Neal,#32CD32
Michael Guerzhoy,#d3d3d3
Wayne Enright,#d3d3d3
Eugene Fiume,#ffc0cb
Ken Jackson,#d3d3d3
Amir Chinaei,#d3d3d3
Renée Miller,#00bfff
Aleksandar Nikolov,#ffff00
Bianca Schroeder,#00bfff
Graeme Hirst,#32CD32
Tarek Abdelrahman,#00bfff
Eric Hehner,#d3d3d3
Hector Levesque,#32CD32
Peter Marbach,#00bfff
Derek Corneil,#ffc0cb
Christina Christara,#d3d3d3
