name,color
P. Fletcher,#32CD32
Ross Whitaker,#ffc0cb
Marcel Prastawa,#d3d3d3
Jeff Phillips,#00bfff
Suresh Venkatasubramanian,#32CD32
Tolga Tasdizen,#32CD32
Valerio Pascucci,#ffc0cb
Bei Wang,#ffc0cb
Robert Kirby,#ffc0cb
Martin Berzins,#00bfff
Mary Hall,#00bfff
Feifei Li,#00bfff
Miriah Meyer,#ffc0cb
Jacobus van der Merwe,#00bfff
Charles Hansen,#ffc0cb
Elaine Cohen,#ffc0cb
Richard Riesenfeld,#ffc0cb
Ganesh Gopalakrishnan,#00bfff
Matthew Might,#00bfff
Ellen Riloff,#32CD32
Tamara Denning,#ffc0cb
Vivek Srikumar,#32CD32
Rajeev Balasubramonian,#00bfff
Kenneth Stevens,#00bfff
John Hollerbach,#ffc0cb
Thomas Schmid,#00bfff
Jur van den Berg,#ffc0cb
Ryan Stutsman,#00bfff
Erik Brunvand,#d3d3d3
Al Davis,#00bfff
Zvonimir Rakamaric,#00bfff
Hari Sundar,#00bfff
Tom Henderson,#d3d3d3
Cem Yuksel,#ffc0cb
Alexander Lex,#ffc0cb
Richard Brown,#d3d3d3
Aditya Bhaskara,#ffff00
William Thompson,#d3d3d3
Joseph Zachary,#d3d3d3
Craig Caldwell,#d3d3d3
Robert Young,#d3d3d3
R. Young,#d3d3d3
Ladislav Kavan,#ffc0cb
John Regehr,#00bfff
Matthew Flatt,#00bfff
Mark van Langeveld,#d3d3d3
Sneha Kasera,#00bfff
Tucker Hermans,#ffc0cb
