name,abbrv,color,coauthored
Alfred Weaver,A. Weaver,#d3d3d3,0
Malathi Veeraraghavan,M. Veeraraghavan,#00bfff,0
Andrew Grimshaw,A. Grimshaw,#d3d3d3,1
Marty Humphrey,M. Humphrey,#00bfff,1
Aaron Quinlan,A. Quinlan,#ffc0cb,1
Kevin Skadron,K. Skadron,#00bfff,1
Gabriel Robins,G. Robins,#ffc0cb,1
Hongning Wang,H. Wang,#32CD32,1
Kamin Whitehouse,K. Whitehouse,#00bfff,1
John Knight,J. Knight,#d3d3d3,0
Aaron Bloomfield,A. Bloomfield,#ffc0cb,1
Mark Sherriff,M. Sherriff,#d3d3d3,1
Jack Davidson,J. Davidson,#00bfff,1
Mary Soffa,M. Soffa,#00bfff,1
David Evans,D. Evans,#00bfff,1
Kai-Wei Chang,K. Chang,#32CD32,0
Vicente Ordonez,V. Ordonez,#32CD32,0
Thomas Horton,T. Horton,#d3d3d3,1
Yanjun Qi,Y. Qi,#ffc0cb,1
John Stankovic,J. Stankovic,#00bfff,1
Samira Khan,S. Khan,#00bfff,0
Westley Weimer,W. Weimer,#00bfff,1
Connelly Barnes,C. Barnes,#ffc0cb,1
James Cohoon,J. Cohoon,#d3d3d3,0
Kevin Sullivan,K. Sullivan,#d3d3d3,0
Mohammad Mahmoody,M. Mahmoody,#ffff00,0
Baishakhi Ray,B. Ray,#00bfff,0
