name,color,coauthored
Anupama Krishnan,#d3d3d3,0
Simon Laing,#d3d3d3,1
David Nichols,#d3d3d3,1
Sally Cunningham,#d3d3d3,1
Judy Bowen,#d3d3d3,1
Annika Hinze,#d3d3d3,1
David Bainbridge,#d3d3d3,1
Ian Witten,#32CD32,1
Shaoqun Wu,#d3d3d3,1
Mark Apperley,#d3d3d3,1
Nicholas Vanderschantz,#d3d3d3,1
Claire Timpany,#d3d3d3,1
Robi Malik,#d3d3d3,1
Steve Reeves,#d3d3d3,1
Bill Rogers,#d3d3d3,1
Masood Masoodian,#d3d3d3,1
Bernhard Pfahringer,#32CD32,1
Eibe Frank,#32CD32,1
Michael Mayo,#d3d3d3,1
Tony Smith,#d3d3d3,1
Mark Utting,#d3d3d3,1
Richard Nelson,#00bfff,1
Ryan Ko,#d3d3d3,1
Simon Laing,#d3d3d3,1
Vimal Kumar,#d3d3d3,0
Tony McGregor,#d3d3d3,0
Matthew Luckie,#00bfff,0
