name,color,coauthored
Krzysztof Apt,#d3d3d3,0
Wojciech Rytter,#ffff00,1
Tomasz Walen,#ffff00,1
Jakub Radoszewski,#ffff00,1
Krzysztof Diks,#d3d3d3,1
Krzysztof Stencel,#00bfff,1
Marek Cygan,#ffff00,1
Slawomir Lasota,#ffff00,1
Andrzej Janusz,#d3d3d3,1
Dominik Slezak,#00bfff,1
Hung Nguyen,#d3d3d3,1
Jan Madey,#d3d3d3,1
Anna Zych,#ffff00,1
Piotr Sankowski,#ffff00,1
Marcin Pilipczuk,#ffff00,1
Norbert Dojer,#d3d3d3,0
Wojciech Jaworski,#d3d3d3,0
Lorenzo Clemente,#ffff00,1
Pawel Parys,#ffff00,1
Wojciech Czerwinski,#ffff00,1
Damian Niwinski,#d3d3d3,1
Filip Murlak,#ffff00,1
Mikolaj Bojanczyk,#ffff00,1
Michal Skrzypczak,#ffff00,1
Pawel Urzyczyn,#d3d3d3,1
Krzysztof Rzadca,#d3d3d3,0
Piotr Wasilewski,#d3d3d3,1
Miroslaw Kowaluk,#ffff00,0
Aleksy Schubert,#d3d3d3,1
Michal Pilipczuk,#ffff00,1
Lukasz Kowalik,#ffff00,1
Szymon Torunczyk,#ffff00,1
Marcin Kaminski,#ffff00,1
Bartek Klin,#ffff00,1
Robert Dabrowski,#d3d3d3,1
Wojciech Plandowski,#ffff00,1
Jakub Pawlewicz,#d3d3d3,0
Andrzej Tarlecki,#d3d3d3,1
Eryk Kopczynski,#ffff00,1
Marcin Mucha,#ffff00,1
Marcin Dziubinski,#d3d3d3,1
Tomasz Kazana,#ffff00,1
Stefan Dziembowski,#ffff00,1
Andrzej Szalas,#d3d3d3,1
Linh Nguyen,#d3d3d3,1
Barbara Dunin-Keplicz,#32CD32,1
Jerzy Tyszkiewicz,#00bfff,1
Tomasz Michalak,#32CD32,1
Jacek Sroka,#32CD32,1
Oskar Skibski,#32CD32,1
Marcin Peczarski,#d3d3d3,1
Konrad Iwanicki,#d3d3d3,1
