name,color,coauthored
Naomi Nishimura,#ffff00,1
Alejandro López-Ortiz,#32CD32,1
Khuzaima Daudjee,#00bfff,1
Prabhakar Ragde,#d3d3d3,1
Nancy Day,#00bfff,1
Joanne Atlee,#00bfff,1
Michael Godfrey,#00bfff,1
Daniel Berry,#ffc0cb,1
Ian McKillop,#d3d3d3,0
Daniel Vogel,#ffc0cb,1
Craig Kaplan,#ffc0cb,1
Edward Lank,#ffc0cb,1
Shai Ben-David,#32CD32,1
Ihab Ilyas,#00bfff,1
M. Özsu,#00bfff,1
Kenneth Salem,#00bfff,1
Grant Weddell,#32CD32,1
David Toman,#32CD32,1
Richard Trefler,#ffff00,1
Jonathan Buss,#d3d3d3,0
Christopher Batty,#ffc0cb,0
Martin Karsten,#00bfff,1
Tim Brecht,#00bfff,1
Ian Goldberg,#00bfff,1
Raouf Boutaba,#00bfff,1
Gregor Richards,#00bfff,0
Mark Giesbrecht,#d3d3d3,1
George Labahn,#d3d3d3,1
Arne Storjohann,#d3d3d3,1
Stephen Watt,#d3d3d3,1
Richard Cleve,#ffff00,0
Pascal Poupart,#32CD32,1
Jesse Hoey,#32CD32,1
Chrysanne Di Marco,#32CD32,1
Robin Cohen,#32CD32,1
Yuying Li,#32CD32,1
Peter Forsyth,#d3d3d3,1
Éric Schost,#ffff00,0
Charles Clarke,#d3d3d3,0
Gordon Cormack,#32CD32,1
J. Munro,#ffff00,1
Timothy Chan,#ffff00,1
Anna Lubiw,#ffff00,1
Srinivasan Keshav,#00bfff,1
Therese Biedl,#d3d3d3,1
Lila Kari,#ffff00,0
Douglas Stinson,#d3d3d3,1
Urs Hengartner,#00bfff,1
Bernard Wong,#00bfff,1
Eric Blais,#ffff00,0
Daniel Brown,#d3d3d3,0
Peter Buhr,#00bfff,1
Richard Mann,#ffc0cb,1
Jeff Orchard,#d3d3d3,1
John Watrous,#ffff00,0
C. Lin,#ffc0cb,0
Lap Lau,#ffff00,0
Gladimir Baranoski,#d3d3d3,0
Stephen Mann,#ffc0cb,1
Sergey Gorbunov,#ffff00,0
Ming Li,#ffc0cb,0
William Cowan,#ffc0cb,1
Jeffrey Shallit,#d3d3d3,1
Ondrej Lhoták,#00bfff,0
Kate Larson,#32CD32,1
Semih Salihoglu,#00bfff,0
Edith Law,#ffc0cb,1
Edward Chan,#d3d3d3,0
Maaz Bin Ahmad,#d3d3d3,0
Gladimir Baranoski,#ffc0cb,0
