name,color
Nelly Condori-Fernández,#d3d3d3
Patricia Lago,#d3d3d3
Anton Eliëns,#d3d3d3
Gerrit van der Veer,#d3d3d3
Hajo Reijers,#d3d3d3
Henrik Leopold,#d3d3d3
Wan Fokkink,#ffff00
Jörg Endrullis,#ffff00
Henri Bal,#00bfff
Maarten van Steen,#00bfff
Willem van Hage,#d3d3d3
Guus Schreiber,#d3d3d3
K. Feenstra,#ffc0cb
Jaap Heringa,#ffc0cb
Paul Groth,#32CD32
Lora Aroyo,#d3d3d3
Jacco van Ossenbruggen,#d3d3d3
Stefan Schlobach,#32CD32
Herbert Bos,#00bfff
Frank van Harmelen,#32CD32
Jacopo Urbani,#32CD32
Spyros Voulgaris,#d3d3d3
Annette Teije,#d3d3d3
Hans van Vliet,#d3d3d3
Bob Wielinga,#d3d3d3
Roel de Vrijer,#d3d3d3
Tibor Bosse,#32CD32
Mark Hoogendoorn,#32CD32
Jan Treur,#32CD32
Michel Klein,#32CD32
Rob van Nieuwpoort,#00bfff
Ivano Malavolta,#00bfff
Sanne Abeln,#ffc0cb
Andrew Tanenbaum,#00bfff
Cristiano Giuffrida,#00bfff
Chris Verhoef,#d3d3d3
Viktor de Boer,#d3d3d3
Maarten de Rijke,#32CD32
Andy Pimentel,#00bfff
A. Eiben,#32CD32
Jaap Gordijn,#d3d3d3
Evert Haasdijk,#d3d3d3
Tobias Kuhn,#d3d3d3
Elias Athanasopoulos,#00bfff
Hans Akkermans,#d3d3d3
Femke van Raamsdonk,#d3d3d3
Alban Ponse,#d3d3d3
