name,color
Gautam Biswas,#32CD32
Xenofon Koutsoukos,#00bfff
Douglas Schmidt,#32CD32
Bobby Bodenheimer,#ffc0cb
Julie Adams,#32CD32
Aniruddha Gokhale,#00bfff
Gabor Karsai,#00bfff
Yevgeniy Vorobeychik,#32CD32
Ákos Lédeczi,#00bfff
Janos Sztipanovits,#00bfff
Benoit Dawant,#d3d3d3
Bennett Landman,#32CD32
Jeremy Spinrad,#d3d3d3
Jules White,#00bfff
Daniel Fleetwood,#d3d3d3
Ronald Schrimpf,#d3d3d3
Sokrates Pantelides,#d3d3d3
Taylor Johnson,#d3d3d3
Maithilee Kunda,#32CD32
William Robinson,#d3d3d3
Lloyd Massengill,#d3d3d3
Richard Peters,#ffc0cb
Kenneth Galloway,#d3d3d3
D. Wilkes,#d3d3d3
Bharat Bhuva,#d3d3d3
Philippe Fauchet,#d3d3d3
Padma Raghavan,#00bfff
