name,color,coauthored
Alex Potanin,#00bfff,1
David Pearce,#d3d3d3,1
James Noble,#00bfff,1
Marco Servetto,#d3d3d3,1
Lindsay Groves,#ffff00,1
Qiang Fu,#00bfff,1
Marcus Frean,#d3d3d3,1
Ian Welch,#d3d3d3,1
Dean Pemberton,#d3d3d3,1
Marcus Frean,#d3d3d3,1
Paul Teal,#d3d3d3,1
Mengjie Zhang,#32CD32,1
Winston Seah,#ffc0cb,1
Bryan Ng,#ffc0cb,1
Ramesh Rayudu,#d3d3d3,1
Stuart Marshall,#00bfff,1
Xiaoying Gao,#32CD32,1
Peter Andreae,#32CD32,1
Ramesh Rayudu,#d3d3d3,1
Bing Xue,#00bfff,1
W. Kleijn,#32CD32,1
Gang Chen,#d3d3d3,1
Hui Ma,#00bfff,1
John Lewis,#ffc0cb,1
Taehyun Rhee,#ffc0cb,1
Christopher Hollitt,#d3d3d3,1
Yi Mei,#d3d3d3,1
Ramesh Rayudu,#d3d3d3,1
Thomas Kühne,#d3d3d3,0
Mo Zareei,#d3d3d3,1
Ajay Kapur,#d3d3d3,1
Dale Carnegie,#ffc0cb,1
Neil Dodgson,#32CD32,0
Zohar Levi,#ffc0cb,0
Michael Homer,#d3d3d3,1
Kris Bubendorfer,#00bfff,1
Pawel Dmochowski,#d3d3d3,1
Dionysis Athanasopoulos,#00bfff,0
David Streader,#d3d3d3,0
