name,abbrv,color,coauthored
Wei Cheng,W. Cheng,#32CD32,0
Eyuphan Bulut,E. Bulut,#d3d3d3,0
Hong-Sheng Zhou,H. Zhou,#ffff00,1
Sevag Gharibian,S. Gharibian,#d3d3d3,1
Vojislav Kecman,V. Kecman,#d3d3d3,0
Thang Dinh,T. Dinh,#00bfff,1
Preetam Ghosh,P. Ghosh,#d3d3d3,1
Tomasz Arodz,T. Arodz,#d3d3d3,0
Carol Fung,C. Fung,#d3d3d3,0
Bartosz Krawczyk,B. Krawczyk,#d3d3d3,0
Krzysztof Cios,K. Cios,#d3d3d3,1
Alberto Cano,A. Cano,#d3d3d3,1
Kostadin Damevski,K. Damevski,#00bfff,0
Bridget McInnes,B. McInnes,#d3d3d3,0
Milos Manic,M. Manic,#d3d3d3,0
