name,color,coauthored
Changhee Jung,#00bfff,1
Dongyoon Lee,#00bfff,1
Naren Ramakrishnan,#32CD32,1
Yang Cao,#00bfff,1
Anil Vullikanti,#32CD32,1
Chang-Tien Lu,#32CD32,1
Chris North,#ffc0cb,1
Bert Huang,#32CD32,1
B. Prakash,#32CD32,1
T. Murali,#ffc0cb,1
Layne Watson,#32CD32,1
Calvin Ribbens,#00bfff,1
Yong Cao,#32CD32,1
Wu-chun Feng,#00bfff,1
Clifford Shaffer,#ffc0cb,1
Madhav Marathe,#00bfff,1
Lenwood Heath,#ffc0cb,1
Danfeng Yao,#00bfff,1
Alexey Onufriev,#d3d3d3,1
Godmar Back,#00bfff,1
Eli Tilevich,#00bfff,1
Kirk Cameron,#00bfff,1
Liqing Zhang,#32CD32,1
Adrian Sandu,#00bfff,1
Edward Fox,#d3d3d3,1
Ali Butt,#00bfff,1
Deborah Tatar,#ffc0cb,1
Christopher Barrett,#32CD32,1
D. McCrickard,#ffc0cb,1
Steve Harrison,#ffc0cb,1
Denis Gracanin,#ffc0cb,1
Dennis Kafura,#d3d3d3,1
Deborah Tatar,#ffc0cb,1
Osman Balci,#d3d3d3,0
Wenjing Lou,#00bfff,1
Barbara Ryder,#00bfff,1
Stephen Edwards,#d3d3d3,1
Csaba Egyhazy,#d3d3d3,0
Ing-Ray Chen,#d3d3d3,1
Doug Bowman,#ffc0cb,1
Kurt Luther,#ffc0cb,0
