name,color
Daehyun Kim,#00bfff
Partha Pande,#00bfff
Janardhan Doppa,#32CD32
Shuiwang Ji,#32CD32
Bolong Zeng,#d3d3d3
Diane Cook,#32CD32
Gina Sprint,#d3d3d3
Bryan Minor,#32CD32
Hassan Ghasemzadeh,#00bfff
Anantharaman Kalyanaraman,#00bfff
John Schneider,#d3d3d3
Benjamin Belzer,#d3d3d3
Krishnamoorthy Sivakumar,#d3d3d3
Jacob Murray,#d3d3d3
Anurag Srivastava,#d3d3d3
David Bakken,#d3d3d3
Ali Mehrizi-Sani,#d3d3d3
Anamika Dubey,#d3d3d3
Adam Hahn,#d3d3d3
Vaithianathan Venkatasubramanian,#d3d3d3
Anjan Bose,#d3d3d3
Haipeng Cai,#00bfff
Shira Broschat,#d3d3d3
Assefaw Gebremedhin,#d3d3d3
Noel Schulz,#d3d3d3
Carl Hauser,#00bfff
Behrooz Shirazi,#00bfff
Yinghui Wu,#00bfff
Ali Saberi,#d3d3d3
Sandip Roy,#d3d3d3
K. Wang,#d3d3d3
Javier Guerrero,#d3d3d3
Larry Holder,#d3d3d3
Thomas Fischer,#ffc0cb
Deuk Heo,#d3d3d3
Zhe Dang,#d3d3d3
Chen-Ching Liu,#d3d3d3
Sakire Ay,#d3d3d3
Murari Kejariwal,#d3d3d3
José Delgado-Frias,#d3d3d3
Saeed Lotfifard,#d3d3d3
Matthew Taylor,#32CD32
Subhanshu Gupta,#d3d3d3
Venera Arnaoudova,#d3d3d3
