name,color,coauthored
Christopher Gill,#00bfff,1
Kunal Agrawal,#00bfff,1
Chenyang Lu,#00bfff,1
Ron Cytron,#00bfff,1
Roger Chamberlain,#00bfff,1
Yixin Chen,#32CD32,1
Roch Guérin,#00bfff,1
Yasutaka Furukawa,#32CD32,0
Tao Ju,#ffc0cb,1
Robert Pless,#32CD32,1
Viktor Gruev,#d3d3d3,0
Raj Jain,#d3d3d3,0
Sanmay Das,#32CD32,0
Benjamin Moseley,#ffff00,1
William Richard,#d3d3d3,0
Weixiong Zhang,#32CD32,1
Michael Brent,#ffc0cb,1
Roger Chamberlain,#d3d3d3,1
Jeremy Buhler,#00bfff,1
Caitlin Kelleher,#ffc0cb,0
Roman Garnett,#32CD32,0
Patrick Crowley,#00bfff,1
Jonathan Turner,#00bfff,0
