name,color
William Michalson,#d3d3d3
Michael Gennert,#d3d3d3
Emmanuel Agu,#d3d3d3
Elke Rundensteiner,#00bfff
Craig Wills,#32CD32
Candace Sidner,#ffc0cb
Charles Rich,#ffc0cb
Mark Claypool,#00bfff
David Finkel,#d3d3d3
Robert Kinicki,#00bfff
Kathi Fisler,#00bfff
Micha Hofri,#d3d3d3
Dmitry Korkin,#ffc0cb
Suzanne Mello-Stark,#d3d3d3
Daniel Dougherty,#00bfff
Joshua Guttman,#32CD32
Yanhua Li,#00bfff
Xiangnan Kong,#32CD32
Lane Harrison,#ffc0cb
Gregory Fischer,#ffc0cb
Jie Fu,#ffc0cb
Carlo Pinciroli,#ffc0cb
George Heineman,#d3d3d3
David Brown,#32CD32
Carolina Ruiz,#32CD32
Craig Shue,#00bfff
Krishna Venkatasubramanian,#d3d3d3
Jacob Whitehill,#32CD32
Neil Heffernan,#32CD32
Joseph Beck,#d3d3d3
Gábor Sárközy,#00bfff
Mohamed Eltabakh,#00bfff
Marko Popovic,#ffc0cb
Eduardo Torres-Jara,#d3d3d3
