name,color
Ruzica Piskac,#ffff00
James Aspnes,#ffff00
Dana Angluin,#32CD32
Yang Yang,#00bfff
Michael Fischer,#d3d3d3
Joan Feigenbaum,#00bfff
Minlan Yu,#00bfff
Drew McDermott,#32CD32
Zhong Shao,#00bfff
Mariana Raykova,#d3d3d3
Daniel Spielman,#ffff00
Dragomir Radev,#32CD32
Stanley Eisenstat,#d3d3d3
Abraham Silberschatz,#00bfff
David Gelernter,#00bfff
Daniel Abadi,#00bfff
Brian Scassellati,#ffc0cb
Steven Zucker,#32CD32
Holly Rushmeier,#ffc0cb
Julie Dorsey,#ffc0cb
Mahesh Balakrishnan,#00bfff
Vladimir Rokhlin,#d3d3d3
