institution,region,countryabbrv
AUEB,europe,gr
Aalborg University,europe,dk
Aalto University,europe,fi
Aarhus University,europe,dk
Aberystwyth University,europe,gb
American University in Cairo,africa,eg
American University of Beirut,asia,lb
Ariel University,europe,il
Ashoka University,asia,in
Australian National University,australasia,au
BITS Pilani,asia,in
BITS Pilani-Goa,asia,in
BUET,asia,bd
BUPT,asia,cn
Babeș-Bolyai University,europe,ro
Bangladesh University of Professionals,asia,bd
Bar-Ilan University,europe,il
Bauhaus University Weimar,europe,de
Beihang University,asia,cn
Beijing Jiaotong University,asia,cn
Ben-Gurion University of the Negev,europe,il
Bielefeld University,europe,de
Bilkent University,europe,tr
Birkbeck University of London,europe,gb
Bocconi University,europe,it
Boğaziçi University,europe,tr
Brandenburg University of Technology,europe,de
Brno University of Technology,europe,cz
Brock University,canada,ca
Brunel University London,europe,gb
Bundeswehr University Munich,europe,de
CISPA Helmholtz Center,europe,de
CMI,asia,in
CRIStAL,europe,fr
CUHK (SZ),asia,cn
CWI,europe,nl
Cardiff University,europe,gb
Carleton University,canada,ca
Central South University,asia,cn
Chalmers/GU,europe,se
Charles University,europe,cz
Chinese Academy of Sciences,asia,cn
Chinese University of Hong Kong,asia,hk
Chittagong University of Engineering & Technology,asia,bd
Chongqing University,asia,cn
Chulalongkorn University,asia,th
City University of Hong Kong,asia,hk
City University of London,europe,gb
City University of Macau,asia,mo
Concordia University,canada,ca
Cyprus University of Technology,europe,cy
Czech Technical University,europe,cz
DAIICT,asia,in
DTU,europe,dk
Dalhousie University,canada,ca
De La Salle University,asia,ph
Durham University,europe,gb
EPFL,europe,ch
ETH Zurich,europe,ch
ETS Montreal,canada,ca
EURECOM,europe,fr
East China Normal University,asia,cn
Ecole Normale Superieure,europe,fr
Ecole Normale Superieure de Cachan,europe,fr
Ecole Normale Superieure de Lyon,europe,fr
Ecole Normale Superieure de Rennes,europe,fr
Federal University of Rio Grande,southamerica,br
Freie Universitaet Berlin,europe,de
Friedrich Schiller University Jena,europe,de
Fudan University,asia,cn
GSSI,europe,it
Galatasaray University,europe,tr
Goethe University Frankfurt,europe,de
Goldsmiths University of London,europe,gb
Graz University of Technology,europe,at
Griffith University,australasia,au
HEC Montreal,canada,ca
HKUST,asia,hk
HSE University,europe,ru
HUST,asia,cn
Hacettepe University,europe,tr
Hamburg University of Technology,europe,de
Hanyang University,asia,kr
Harbin Institute of Technology,asia,cn
Hasso Plattner Institute,europe,de
Hebrew University of Jerusalem,europe,il
Heidelberg University,europe,de
Heriot-Watt University,europe,gb
Hong Kong Baptist University,asia,hk
Humboldt University of Berlin,europe,de
