name,affiliation,homepage,scholarid,orcid
A Min Tjoa,TU Wien,http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,0000-0002-8295-9252
A. Akbari Azirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,0000-0000-0000-0000
A. Akbariazirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,0000-0000-0000-0000
A. Aldo Faisal,Imperial College London,https://www.imperial.ac.uk/people/a.faisal,WjHjbrwAAAAJ,0000-0003-0813-7207
A. Antony Franklin,IIT Hyderabad,http://www.iith.ac.in/~antony/index.html,LVfqLuoAAAAJ,0000-0002-1809-2025
A. B. M. Alim Al Islam,BUET,https://sites.google.com/site/abmalimalislam,K-AIPzQAAAAJ,0000-0000-0000-0000
A. B. Siddique 0001,University of Kentucky,http://cs.uky.edu/~siddique,pVnchfsAAAAJ,0000-0002-3587-7289
A. Baskar,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/abaskar/profile,mNpOTuEAAAAJ,0000-0000-0000-0000
A. C. Cem Say,Boğaziçi University,https://www.cmpe.boun.edu.tr/~say,rOum2XsAAAAJ,0000-0000-0000-0000
A. C. W. Finkelstein,City University of London,https://finkelstein.uk,n8xuCVkAAAAJ,0000-0000-0000-0000
A. Cüneyd Tantug,Istanbul Technical University,http://tantug.com,TTawdWMAAAAJ,0000-0000-0000-0000
A. David Marshall,Cardiff University,https://www.cardiff.ac.uk/people/view/118142-marshall-david,7HJzGQYAAAAJ,0000-0000-0000-0000
A. E. Eiben,VU Amsterdam,http://www.cs.vu.nl/~gusz,NMuDAe0AAAAJ,0000-0000-0000-0000
A. Ercüment Çiçek,Bilkent University,http://ciceklab.cs.bilkent.edu.tr/ercumentcicek,n25sJzkAAAAJ,0000-0001-8613-6619
A. Giray Yaglikçi,CISPA Helmholtz Center,https://agyaglikci.github.io,mt15O64AAAAJ,0000-0002-9333-6077
A. J. Field,Imperial College London,http://wp.doc.ic.ac.uk/ajf,rn3Lg2wAAAAJ,0000-0000-0000-0000
A. J. H. Hidders,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/hidders-jan,EHD4dXkAAAAJ,0000-0000-0000-0000
A. J. Jansen 0001,CWI,http://homepages.cwi.nl/~jack,qHiBTg0AAAAJ,0000-0000-0000-0000
A. J. Kfoury,Boston University,http://www.cs.bu.edu/~kfoury,VpdYemsAAAAJ,0000-0000-0000-0000
A. Jefferson Offutt,University at Albany - SUNY,https://www.albany.edu/faculty/offutt,fAeRp3kAAAAJ,0000-0000-0000-0000
A. John Power,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/john_power,mCvZPDn8heUC,0000-0000-0000-0000
A. K. McIver,Macquarie University,https://researchers.mq.edu.au/en/persons/annabelle-mciver,9fvUO9QAAAAJ,0000-0000-0000-0000
A. Lynn Abbott,Virginia Tech,https://ece.vt.edu/people/profile/abbott.html,UJVd84YAAAAJ,0000-0000-0000-0000
A. M. A. Hemmatyar,Sharif University of Technology,http://sharif.edu/~hemmatyar,NOSCHOLARPAGE,0000-0000-0000-0000
A. Mokhade,VNIT Nagpur,https://vnit.ac.in/engineering/cse/dr-a-s-mokhade,OS8D5xkAAAAJ,0000-0000-0000-0000
A. Murat Ozbayoglu,TOBB ETÜ,http://mozbayoglu.etu.edu.tr,rNLLqKoAAAAJ,0000-0000-0000-0000
A. Neil Arnason,University of Manitoba,http://www.cs.umanitoba.ca/~arnason,NOSCHOLARPAGE,0000-0000-0000-0000
A. P. Sarath Chandar,Polytechnique Montreal,http://sarathchandar.in,yxWtZLAAAAAJ,0000-0000-0000-0000
A. P. Vinod 0001,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,0000-0000-0000-0000
A. Pavan 0001,Iowa State University,http://www.cs.iastate.edu/people/pavan-aduri,4QIV0FUAAAAJ,0000-0003-1665-5266
A. Prasad Sistla,University of Illinois at Chicago,https://www.cs.uic.edu/Sistla,NOSCHOLARPAGE,0009-0005-8331-7912
A. Prasad Vinod 0001,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,0000-0001-9408-1275
A. Robert Calderbank,Duke University,https://ece.duke.edu/faculty/robert-calderbank,XtUBAtwAAAAJ,0000-0000-0000-0000
A. Rupam Mahmood,University of Alberta,https://armahmood.github.io,YwB8XM4AAAAJ,0000-0000-0000-0000
A. S. M. Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,0000-0000-0000-0000
A. S. M. Latiful Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,0000-0000-0000-0000
A. S. Madhukumar,Nanyang Technological University,http://www3.ntu.edu.sg/home/asmadhukumar,mF-F-zkAAAAJ,0000-0000-0000-0000
A. Selcuk Uluagac,Florida International University,http://nweb.eng.fiu.edu/selcuk,tcK62uAAAAAJ,0000-0002-9823-3464
A. Sima Etaner-Uyar,Istanbul Technical University,http://akademi.itu.edu.tr/en/etaner,qvxemZwAAAAJ,0000-0000-0000-0000
A. T. Chamillard,UCCS,http://www.uccs.edu/cs/about/faculty/tim-chamillard.html,NOSCHOLARPAGE,0000-0000-0000-0000
A. Taufiq Asyhari,Monash University Indonesia,https://www.monash.edu/indonesia/about/academic-staff/taufiq-asyhari,jxIKzgYAAAAJ,0000-0002-3023-8285
A. Taylan Cemgil,Boğaziçi University,https://www.cmpe.boun.edu.tr/~cemgil,X3ZFZ7AAAAAJ,0000-0000-0000-0000
A. Th. Schreiber,VU Amsterdam,http://www.cs.vu.nl/~guus,lRZKdMYAAAAJ,0000-0000-0000-0000
A. V. Sreejith,IIT Goa,https://www.iitgoa.ac.in/~sreejithav,6LVNqAMAAAAJ,0000-0000-0000-0000
A. Venkata Subramanyam,IIIT Delhi,http://www.iiitd.ac.in/subramanyam,aPDRgKAAAAAJ,0000-0000-0000-0000
A. W. Roscoe 0001,University of Oxford,http://www.cs.ox.ac.uk/bill.roscoe,miixtKcAAAAJ,0000-0000-0000-0000
Aaditeshwar Seth,IIT Delhi,http://www.cse.iitd.ernet.in/~aseth,XpOIYBoAAAAJ,0000-0000-0000-0000
Aakash Gautam,University of Pittsburgh,https://aakash.xyz,b3DcFdsAAAAJ,0000-0001-8023-4648
Aamena Al Shamsi,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,0000-0000-0000-0000
Aamena Alshamsi,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,0000-0000-0000-0000
Aamir Cheema,Monash University,https://research.monash.edu/en/persons/aamir-cheema,chWbG70AAAAJ,0000-0000-0000-0000
Aamir Saeed Malik,Brno University of Technology,https://www.fit.vut.cz/person/malik,wgdxIH0AAAAJ,0000-0000-0000-0000
Aanjhan Ranganathan,Northeastern University,https://www.aanjhan.com,Jid_EAkAAAAJ,0000-0003-0464-5861
Aapo Hyvärinen,University of Helsinki,https://www.cs.helsinki.fi/u/ahyvarin,UnrY-40AAAAJ,0000-0000-0000-0000
Aarne Ranta,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/aarne-ranta.aspx,NOSCHOLARPAGE,0000-0000-0000-0000
Aaron Bernstein,New York University,https://wp.nyu.edu/tandonschoolofengineering-aaronbernstein,N94spO0AAAAJ,0000-0002-7599-2679
Aaron C. Courville,University of Montreal,https://aaroncourville.wordpress.com,km6CP8cAAAAJ,0000-0001-6223-0301
