name,affiliation,homepage,scholarid,orcid
C. Aiswarya,CMI,http://www.cmi.ac.in/~aiswarya,NLwqvCwAAAAJ,0000-0002-4878-7581
C. Barry Jay,University of Technology Sydney,https://www.uts.edu.au/staff/barry.jay,Ml9nDYQAAAAJ,0000-0000-0000-0000
C. Carvalho de Souza,UNICAMP,http://www.ic.unicamp.br/~cid,t_w8cAkAAAAJ,0000-0000-0000-0000
C. Chandra Sekhar,IIT Madras,https://www.iitm.ac.in/info/fac/cchandra,rO5ZgW4AAAAJ,0000-0000-0000-0000
C. David Page,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~dpage,aNh0te8AAAAJ,0000-0000-0000-0000
C. David Page Jr.,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~dpage,aNh0te8AAAAJ,0000-0000-0000-0000
C. Edward Chow,UCCS,http://www.cs.uccs.edu/~chow,xLIQ4PYAAAAJ,0000-0000-0000-0000
C. Estelle Smith,Colorado School of Mines,https://estellesmithphd.com,1YmwfXoAAAAJ,0000-0002-4981-7105
C. Greg Plaxton,University of Texas at Austin,https://www.cs.utexas.edu/users/plaxton,NOSCHOLARPAGE,0000-0000-0000-0000
C. H. Ben Choi,Louisiana Tech University,http://www2.latech.edu/~choi,NOSCHOLARPAGE,0000-0000-0000-0000
C. H. van Berkel,TU Wien,https://sites.google.com/view/keesvanberkel,wuawd3kAAAAJ,0000-0000-0000-0000
C. Jinshong Hwang,Texas State University,https://cs.txstate.edu/accounts/profiles/ch01,NOSCHOLARPAGE,0000-0000-0000-0000
C. Karen Liu,Stanford University,https://tml.stanford.edu/people/karen-liu,i28fU0MAAAAJ,0000-0001-5926-0905
C. Krishna Mohan,IIT Hyderabad,http://www.iith.ac.in/~ckm,GvSsuVEAAAAJ,0000-0002-7316-0836
C. Lee Giles,Pennsylvania State University,https://clgiles.ist.psu.edu,sAkg9T8AAAAJ,0000-0002-1931-585X
C. Maria Keet,University of Cape Town,http://www.meteck.org,lccln9YAAAAJ,0000-0000-0000-0000
C. N. Campos,UNICAMP,http://www.ic.unicamp.br/~campos,t6j8h7UAAAAJ,0000-0000-0000-0000
C. Pandu Rangan,IIT Madras,http://www.cse.iitm.ac.in/~rangan,begDaeQAAAAJ,0000-0000-0000-0000
C. Pandurangan,IIT Madras,http://www.cse.iitm.ac.in/~rangan,begDaeQAAAAJ,0000-0000-0000-0000
C. R. Ramakrishnan 0001,Stony Brook University,http://www3.cs.stonybrook.edu/~cram,YGDOoXAAAAAJ,0000-0000-0000-0000
C. R. Subramanian 0001,IMSc,http://www.imsc.res.in/~crs,A_WrLWsAAAAJ,0000-0000-0000-0000
C. Ravindranath Chowdary,IIT (BHU) Varanasi,http://www.old.iitbhu.ac.in/cse/index.php/people/faculty/36.html,wWbOB0UAAAAJ,0000-0000-0000-0000
C. Seshadhri 0001,Univ. of California - Santa Cruz,https://users.soe.ucsc.edu/~sesh,NOSCHOLARPAGE,0000-0003-2163-3555
C. Siva Ram Murthy,IIT Madras,http://www.cse.iitm.ac.in/~murthy,VjJFBjcAAAAJ,0000-0000-0000-0000
C. V. Jawahar,IIIT Hyderabad,https://www.iiit.ac.in/~jawahar,U9dH-DoAAAAJ,0000-0001-6767-7057
C. Y. Roger Chen,Syracuse University,https://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people/?peopleid=2970,NOSCHOLARPAGE,0000-0000-0000-0000
C.-C. Jay Kuo,University of Southern California,http://mcl.usc.edu,81d60okAAAAJ,0000-0001-9474-5035
C.-H. Luke Ong,University of Oxford,https://www.cs.ox.ac.uk/luke.ong,NOSCHOLARPAGE,0000-0001-7509-680X
