name,affiliation,homepage,scholarid
D. C. Douglas Hung,NJIT,http://cs.njit.edu/people/hung.php,NOSCHOLARPAGE
D. Caleb Rucker,University of Tennessee,https://mabe.utk.edu/people/d-caleb-rucker/,swKSAGAAAAAJ
D. Ellis Hershkowitz,Brown University,https://dhershko.github.io/,JR_KR7MAAAAJ
D. F. Wong,Chinese University of Hong Kong,https://www.erg.cuhk.edu.hk/erg/DeanMessage,WPhoQiUAAAAJ
D. F. Wong 0001,Chinese University of Hong Kong,https://www.erg.cuhk.edu.hk/erg/DeanMessage,WPhoQiUAAAAJ
D. Hemkumar,VNIT Nagpur,https://vnit.ac.in/engineering/cse/dr-hemkumar-d/,QzZ4IDcAAAAJ
D. J. Soudris,NTUA,https://microlab.ntua.gr/academics/dimitrios-soudris,lWuTmpEAAAAJ
D. Janaki Ram,IIT Madras,http://dos.iitm.ac.in/djwebsite,zxpFxq8AAAAJ
D. Janakiram,IIT Madras,http://dos.iitm.ac.in/djwebsite,zxpFxq8AAAAJ
D. K. Arvind,University of Edinburgh,http://www.dcs.ed.ac.uk/home/dka,bfF6L30AAAAJ
D. M. H. Walker,Texas A&M University,http://faculty.cse.tamu.edu/walker,NOSCHOLARPAGE
D. Manivannan 0001,University of Kentucky,https://www.cs.uky.edu/~manivann,NOSCHOLARPAGE
D. Martin Swany,Indiana University,https://www.soic.indiana.edu/all-people/profile.html?profile_id=307,NOSCHOLARPAGE
D. Medhi,University of Missouri - Kansas City,http://sce2.umkc.edu/csee/dmedhi,17e2M2AAAAAJ
D. Mitch Wilkes,Vanderbilt University,http://engineering.vanderbilt.edu/bio/mitchell-wilkes,NOSCHOLARPAGE
D. Mitchell Wilkes,Vanderbilt University,http://engineering.vanderbilt.edu/bio/mitchell-wilkes,NOSCHOLARPAGE
D. Scott McCrickard,Virginia Tech,http://people.cs.vt.edu/~mccricks,jQNt6RwAAAAJ
D. T. Huynh,University of Texas at Dallas,http://www.utdallas.edu/~huynh,LLcgKtUAAAAJ
D. Turgay Altilar,Istanbul Technical University,http://web.itu.edu.tr/altilar,wknEy5IAAAAJ
Da Cao,Hunan University,https://sites.google.com/view/caoda,NOSCHOLARPAGE
Da Yan 0001,Indiana University,https://homes.luddy.indiana.edu/yanda/home.html,Kw71k1gAAAAJ
Da-Wei Chang,National Cheng Kung University,http://www.csie.ncku.edu.tw/ncku_csie/depmember/teacherdetail/id/28,NOSCHOLARPAGE
Da-Wei Li,University of Vermont,http://www.uvm.edu/genomics/index.html,HNZDQxYAAAAJ
Da-wei Li,University of Vermont,http://www.uvm.edu/genomics/index.html,HNZDQxYAAAAJ
Daan Huybrechs,KU Leuven,https://people.cs.kuleuven.be/~daan.huybrechs,bT4V4uYAAAAJ
Dabbala Rajagopal Reddy,Carnegie Mellon University,http://www.rr.cs.cmu.edu,6n7rzokAAAAJ
Dacheng Tao,Nanyang Technological University,https://dr.ntu.edu.sg/cris/rp/rp02343,RwlJNLcAAAAJ
Dachuan Li,SUSTech,https://faculty.sustech.edu.cn/?p=57187&tagid=&cat=2&iscss=1&snapid=1&orderby=date,sCANNvMAAAAJ
Dae Hyun Kim 0004,Washington State University,https://school.eecs.wsu.edu/people/faculty/dae-hyun-kim,nG4hcN4AAAAJ
Dae-Hyun Kim 0004,Washington State University,https://school.eecs.wsu.edu/people/faculty/dae-hyun-kim,nG4hcN4AAAAJ
Dae-Kyoo Kim,Oakland University,https://oakland.edu/secs/directory/kim,IR_UyOgAAAAJ
Daehyeok Kim,University of Texas at Austin,https://daehyeok.kim,n017nRYAAAAJ
Daehyun Kim 0004,Washington State University,https://school.eecs.wsu.edu/people/faculty/dae-hyun-kim,nG4hcN4AAAAJ
Daehyung Park,KAIST,http://www.daehyungpark.com,5mWSk04AAAAJ
Daeyoung Kim 0001,KAIST,http://www.resl.kaist.ac.kr,encxuNcAAAAJ
Dafna Shahaf,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~dshahaf,AgyW_90AAAAJ
Dag Haugland,University of Bergen,http://www.ii.uib.no/~dag,NOSCHOLARPAGE
Dag Svanaes,NTNU,https://www.ntnu.edu/employees/dag.svanes,rrAsOFsAAAAJ
Dag Svanes,NTNU,https://www.ntnu.edu/employees/dag.svanes,rrAsOFsAAAAJ
Dag Svanæs,NTNU,https://www.ntnu.edu/employees/dag.svanes,rrAsOFsAAAAJ
Dag Wedelin,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/dag.aspx,5TbkPtwAAAAJ
Dagan Feng 0001,University of Sydney,http://sydney.edu.au/engineering/it/about/people/staff/feng.shtml,89py58oAAAAJ
Dagang Li 0001,MUST,https://fie.must.edu.mo/id-1444/person/view/id-1876.html,K0vRLREAAAAJ
Dagmar Krefting,University of Göttingen,https://medizininformatik.umg.eu/ueber-uns/team/,_5O2ybUAAAAJ
Dahlia Malkhi,Univ. of California - Santa Barbara,https://cs.ucsb.edu/people/faculty/dahlia-malkhi,A_VZ7N0AAAAJ
Dahua Lin,Chinese University of Hong Kong,http://dahualin.org,GMzzRRUAAAAJ
Daibo Liu,Hunan University,https://sites.google.com/site/dbliuuestc,TjnhzgQAAAAJ
Daifeng Wang,University of Wisconsin - Madison,https://www.waisman.wisc.edu/staff/wang-daifeng,isUlHxkAAAAJ
Daigo Shishika,George Mason University,https://cs.gmu.edu/directory/detail/177,cJuzICEAAAAJ
Daijin Kim 0001,POSTECH,http://imlab.postech.ac.kr,Mw6anjAAAAAJ
Daisuke Iwai,Osaka University,https://www.sens.sys.es.osaka-u.ac.jp,F0hxD5AAAAAJ
Daisuke Kawahara,Kyoto University,http://nlp.ist.i.kyoto-u.ac.jp/member/kawahara/index-en.html,Cfp1XmUAAAAJ
Daisuke Kihara,Purdue University,http://dragon.bio.purdue.edu,WfGLzyAAAAAJ
Daisuke Takahashi,University of Tsukuba,http://www.hpcs.cs.tsukuba.ac.jp/~daisuke/index.html,eITKfuQAAAAJ
Daisy Zhe Wang,University of Florida,http://dsr.cise.ufl.edu/daisyw,gMOBKfUAAAAJ
Dajiang Chen,UESTC,https://www.is.uestc.edu.cn/teachers.do?id=6760,NOSCHOLARPAGE
Dajiang Zhu,University of Texas at Arlington,https://mentis.uta.edu/explore/profile/dajiang-zhu,cFgudIYAAAAJ
Dakai Zhu 0001,University of Texas at San Antonio,http://www.cs.utsa.edu/~dzhu,DHruBmIAAAAJ
Dakshita Khurana,Univ. of Illinois at Urbana-Champaign,https://www.dakshitakhurana.com,bqsD4aEAAAAJ
Dakshnamoorthy Manivannan,University of Kentucky,https://www.cs.uky.edu/~manivann,NOSCHOLARPAGE
Dakuo Wang,Northeastern University,https://dakuowang.com/,Uno8dugAAAAJ
Dalal Alrajeh,Imperial College London,https://www.doc.ic.ac.uk/~da04,onAoWhIAAAAJ
Dale A. Carnegie,Victoria University of Wellington,http://ecs.victoria.ac.nz/Main/DaleCarnegie,NOSCHOLARPAGE
Dale A. Schoenefeld,University of Tulsa,https://faculty.utulsa.edu/~/dale-schoenefeld,NOSCHOLARPAGE
Dale Anthony Carnegie,Victoria University of Wellington,http://ecs.victoria.ac.nz/Main/DaleCarnegie,NOSCHOLARPAGE
Dale F. Reed,University of Illinois at Chicago,https://sites.google.com/site/dalereed,NOSCHOLARPAGE
Dale R. Thompson,University of Arkansas,https://www.netgeekdr.com,NOSCHOLARPAGE
Dale Reed,University of Illinois at Chicago,https://sites.google.com/site/dalereed,NOSCHOLARPAGE
Dale Schuurmans,University of Alberta,https://webdocs.cs.ualberta.ca/~dale,xaQuPloAAAAJ
Dali Ismail,Binghamton University,https://www.binghamton.edu/computer-science/people/profile.html?id=dismail,iLDG0PAAAAAJ
Dali Kaafar,Macquarie University,https://dali-kaafar.github.io,9DR87DQAAAAJ
Daljit Singh Dhillon,Clemson University,https://djsingh.people.clemson.edu,3GWWmEsAAAAJ
Daljit Singh J. Dhillon,Clemson University,https://djsingh.people.clemson.edu,3GWWmEsAAAAJ
Dalton Meitei Thounaojam,National Institute of Technology Silchar,http://cs.nits.ac.in/dalton,MoD6g-UAAAAJ
Daltro José Nunes,UFRGS,http://inf.ufrgs.br/prosoft,OuE-elAAAAAJ
Damal Kandadai Arvind,University of Edinburgh,http://www.dcs.ed.ac.uk/home/dka,bfF6L30AAAAJ
Damian Dechev,University of Central Florida,http://cse.eecs.ucf.edu/bios/damiandechev.html,NOSCHOLARPAGE
Damian Niwinski,University of Warsaw,http://www.mimuw.edu.pl/~niwinski,JZ4771IAAAAJ
Damiano Spina,RMIT University,https://www.rmit.edu.au/contact/staff-contacts/academic-staff/s/spina-dr-damiano,sLzYrNYAAAAJ
Damien Garreau,University of Würzburg,https://www.caidas.uni-wuerzburg.de/research-groups/theory-of-machine-learning/,qn4N61QAAAAJ
Damien Muselet,Université Jean Monnet,http://perso.univ-st-etienne.fr/muda8804,TyNSxjQAAAAJ
Damien Pollet,CRIStAL,https://www.cristal.univ-lille.fr/profil/pollet,UpBOx-YAAAAJ
