name,affiliation,homepage,scholarid,orcid
E. C. Xavier,UNICAMP,http://www.ic.unicamp.br/~ecx,JMx0rAMAAAAJ,0000-0000-0000-0000
E. J. Yannakoudakis,AUEB,http://www.aueb.gr/Users/yannakoudakis/english,37tD5JsAAAAJ,0000-0000-0000-0000
E. James Whitehead Jr.,Univ. of California - Santa Cruz,https://www.soe.ucsc.edu/people/ejw,_2UkAYEAAAAJ,0000-0000-0000-0000
E. N. Cáceres,UFMS,https://www.facom.ufms.br/~edson,NOSCHOLARPAGE,0000-0000-0000-0000
E. N. Elnozahy,KAUST,https://www.kaust.edu.sa/en/study/faculty/mootaz-elnozahy,3jLwtgkAAAAJ,0000-0000-0000-0000
Eakta Jain,University of Florida,http://www.cise.ufl.edu/~ejain,5ouAiisAAAAJ,0000-0001-5131-3355
Eamonn J. Keogh,Univ. of California - Riverside,http://www.cs.ucr.edu/~eamonn,slVcOQIAAAAJ,0000-0002-4188-3968
Eamonn O'Neill,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/eamonn_oneill,1m173DEAAAAJ,0000-0002-1637-458X
Eamonn O. Nuallain,Trinity College Dublin,https://www.tcd.ie/research/profiles/?profile=ONUALLAE,NOSCHOLARPAGE,0000-0000-0000-0000
Eamonn W. Postlethwaite,King's College London,https://www.kcl.ac.uk/people/eamonn-postlethwaite,NOSCHOLARPAGE,0000-0003-2984-1332
Earl T. Barr,University College London,http://earlbarr.com,lSvqKPkAAAAJ,0000-0003-0771-7891
Earlence Fernandes,Univ. of California - San Diego,http://earlence.com,OSPeHGAAAAAJ,0000-0001-8593-2840
Earnest Paul Ijjina,National Inst. of Tech. Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16915,OVWm3v8AAAAJ,0000-0003-1988-5139
Eatai Roth,Indiana University,http://www.eatairoth.com,Wf_rspwAAAAJ,0000-0000-0000-0000
Eberhard Zehendner,Friedrich Schiller University Jena,http://www2.informatik.uni-jena.de/~nez,NOSCHOLARPAGE,0000-0000-0000-0000
Ebroul Izquierdo,Queen Mary University of London,http://mmv.eecs.qmul.ac.uk/Ebroul,cyiYJhMAAAAJ,0000-0002-7142-3970
Ebru Akcapinar Sezer,Hacettepe University,http://yunus.hacettepe.edu.tr/~ebru,0xMgS9AAAAAJ,0000-0000-0000-0000
Ebru Akçapinar Sezer,Hacettepe University,http://yunus.hacettepe.edu.tr/~ebru,0xMgS9AAAAAJ,0000-0000-0000-0000
Ebru Aydin Gol,Middle East Technical University,http://user.ceng.metu.edu.tr/~ebru/wordpress,iO5JVYIAAAAJ,0000-0000-0000-0000
Ebru Aydin Göl,Middle East Technical University,http://user.ceng.metu.edu.tr/~ebru/wordpress,iO5JVYIAAAAJ,0000-0000-0000-0000
Ebru Gökalp,Hacettepe University,http://web.cs.hacettepe.edu.tr/~ebrugokalp,iDmoPK8AAAAJ,0000-0000-0000-0000
Ebubekir Avci,Massey University,https://www.massey.ac.nz/massey/learning/colleges/college-of-sciences/staff-list.cfm?stref=288350,Q1gDTVgAAAAJ,0000-0002-4687-0859
Eck Doerry,Northern Arizona University,https://www.cefns.nau.edu/~edo,NOSCHOLARPAGE,0000-0002-5511-1854
Eckehard G. Steinbach,TU Munich,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/pl/ui/$ctx/visitenkarte.show_vcard?$ctx=design=ca2;header=max;lang=de&pPersonenGruppe=3&pPersonenId=7A6220365686FFC6,TB6o7YsAAAAJ,0000-0001-8853-2703
Eckhard Grass,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/de/forschung/gebiete/bbk/modul-bbk,NOSCHOLARPAGE,0000-0000-0000-0000
Ed F. Deprettere,Leiden University,https://www.universiteitleiden.nl/en/staffmembers/ed-deprettere/publications#tab-1,NOSCHOLARPAGE,0000-0000-0000-0000
Ed Keedwell,University of Exeter,http://emps.exeter.ac.uk/computer-science/staff/eckeedwe,lApWCPUAAAAJ,0000-0000-0000-0000
Eddie Jones,University of Bristol,https://ec-jones.github.io,k9BLV_0AAAAJ,0000-0003-1762-5405
Eddie Kohler,Harvard University,http://read.seas.harvard.edu/~kohler,VMihW8oAAAAJ,0000-0003-2027-0035
Eddy Caron,Ecole Normale Superieure de Lyon,http://graal.ens-lyon.fr/~ecaron,9C4wZBsAAAAJ,0000-0001-6626-3071
Eddy Z. Zhang,Rutgers University,http://www.cs.rutgers.edu/~zz124,uL470LwAAAAJ,0000-0002-3815-4318
Eddy Zheng Zhang,Rutgers University,http://www.cs.rutgers.edu/~zz124,uL470LwAAAAJ,0000-0000-0000-0000
Edel Sherratt,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/eds,NOSCHOLARPAGE,0000-0001-9913-1956
Edgar Gabriel,University of Houston,http://www2.cs.uh.edu/~gabriel,_82EhT4AAAAJ,0000-0000-0000-0000
Edgar Galván,Maynooth University,https://www.cs.nuim.ie/~egalvan,IhjtFn0AAAAJ,0000-0000-0000-0000
