name,affiliation,homepage,scholarid,orcid
F. A. H. van Harmelen,VU Amsterdam,http://www.cs.vu.nl/~frankh,LCyfDi8AAAAJ,0000-0000-0000-0000
F. Betül Atalay,TOBB ETÜ,http://fatalay.etu.edu.tr,HRV3xMwAAAAJ,0000-0000-0000-0000
F. Bruce Shepherd,University of British Columbia,https://bshepherd.ca,x2Mfyz8AAAAJ,0000-0000-0000-0000
F. Joe Lin,National Chiao Tung University,http://www.cs.nctu.edu.tw/~fuchun_lin,Pei7LGcAAAAJ,0000-0000-0000-0000
F. R. K. Chung,Univ. of California - San Diego,http://math.ucsd.edu/~fan,7hPnuFQAAAAJ,0000-0000-0000-0000
F. Y. Young,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/~fyyoung,dRpbUkMAAAAJ,0000-0000-0000-0000
Fabian Bastin,University of Montreal,http://www.iro.umontreal.ca/~bastin,RRLx0jsAAAAJ,0000-0000-0000-0000
Fabian E. Bustamante,Northwestern University,http://www.cs.northwestern.edu/~fabianb,vg76M1oAAAAJ,0000-0002-7659-1527
Fabian Fagerholm,Aalto University,https://www.aalto.fi/en/people/fabian-fagerholm,WAiwQsoAAAAJ,0000-0002-7298-3021
Fabian Gieseke,University of Münster,https://www.wi.uni-muenster.de/department/dasc/people/fabian-gieseke,g3ZiieoAAAAJ,0000-0001-7093-5803
Fabian H. Sinz,University of Göttingen,https://sinzlab.org,xpwMxy8AAAAJ,0000-0002-1348-9736
Fabian J. Theis,TU Munich,https://www.professoren.tum.de/en/theis-fabian,sqWpn2AAAAAJ,0000-0002-2419-1943
Fabian Kern,University of Hamburg,https://www.zbh.uni-hamburg.de/personen/mlbi/fkern.html,Q1LOeA0AAAAJ,0000-0002-8223-3750
Fabian Kuhn,University of Freiburg,http://ac.informatik.uni-freiburg.de/kuhn,XU-ldxMAAAAJ,0000-0002-1025-5037
Fabian Monrose,Georgia Institute of Technology,https://fabianmonrose.github.io,a6u7NTgAAAAJ,0000-0002-9805-2217
Fabian Muehlboeck,Australian National University,http://comp.anu.edu.au/people/fabian-muehlboeck,ESll9OcAAAAJ,0000-0003-1548-0177
Fabian Neuhaus,University of Magdeburg,http://theo.cs.ovgu.de/Staff/Fabian+Neuhaus.html,7AcIA78AAAAJ,0000-0002-1058-3102
Fabian R. Wirth,University of Passau,http://www.fim.uni-passau.de/en/dynamical-systems/publications/prof-dr-fabian-wirth,GPXp0s0AAAAJ,0000-0000-0000-0000
Fabian Wirth,University of Passau,http://www.fim.uni-passau.de/en/dynamical-systems/publications/prof-dr-fabian-wirth,GPXp0s0AAAAJ,0000-0000-0000-0000
Fabiano A. Dorça,UFU,http://www.facom.ufu.br/~fabiano,NOSCHOLARPAGE,0000-0000-0000-0000
Fabiano Azevedo Dorça,UFU,http://www.facom.ufu.br/~fabiano,NOSCHOLARPAGE,0000-0000-0000-0000
Fabiano Dalpiaz,Utrecht University,https://www.staff.science.uu.nl/~dalpi001,KBPFzMAAAAAJ,0000-0003-4480-3887
Fabiano Hessel,PUC-RS,http://www.inf.pucrs.br/~hessel,cZguQ0UAAAAJ,0000-0002-5473-9199
Fabiano Passuelo Hessel,PUC-RS,http://www.inf.pucrs.br/~hessel,cZguQ0UAAAAJ,0000-0000-0000-0000
Fabiano Silva,UFPR,https://www.inf.ufpr.br/fabiano,yKMIJzEAAAAJ,0000-0000-0000-0000
Fabien Laguillaumie,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/fabien.laguillaumie,NOSCHOLARPAGE,0000-0000-0000-0000
