name,affiliation,homepage,scholarid
G. A. Kavvos,University of Bristol,https://www.lambdabetaeta.eu,yWerYFkAAAAJ
G. D. Marques,Universidade de Lisboa,https://sotis.tecnico.ulisboa.pt/researcher/ist23556,huDxPRYAAAAJ
G. Edward Suh,Cornell University,http://www.csl.cornell.edu/~suh,NOSCHOLARPAGE
G. Elisabeta Marai,University of Illinois at Chicago,https://www.evl.uic.edu/marai,xPCVtawAAAAJ
G. Katsaros,IST Austria,https://ist.ac.at/research/research-groups/katsaros-group,NOSCHOLARPAGE
G. Michael Poor,Baylor University,https://www.ecs.baylor.edu/index.php?id=961977,NOSCHOLARPAGE
G. N. Srinivasa Prasanna,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=GNSrinivasaPrasanna,NOSCHOLARPAGE
G. P. S. Raghava,IIIT Delhi,http://webs.iiitd.edu.in/raghava,XK5GUiYAAAAJ
G. Ramakrishna,IIT Tirupati,https://iittp.ac.in/dr-g-ramakrishna,NOSCHOLARPAGE
G. Sivakumar,IIT Bombay,https://www.cse.iitb.ac.in/~siva,gqHcbCkAAAAJ
G. Srinivasa Raghavan 0001,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=GSrinivasaraghavan,NOSCHOLARPAGE
G. Srinivasaraghavan 0001,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=GSrinivasaraghavan,NOSCHOLARPAGE
G. Stefano Sukhatme,University of Southern California,http://www-robotics.usc.edu/~gaurav,lRUi-A8AAAAJ
Ga Wu,Dalhousie University,https://web.cs.dal.ca/~gaw/,IdBlVPUAAAAJ
Gabe Sibley,University of Colorado Boulder,https://www.colorado.edu/cs/users/gasi6462,MNp5hwoAAAAJ
Gabe T. Sibley,University of Colorado Boulder,https://www.colorado.edu/cs/users/gasi6462,MNp5hwoAAAAJ
Gabi Dreo,Bundeswehr University Munich,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/univ-prof-in-dr-gabi-dreo-rodosek,NOSCHOLARPAGE
Gabi Dreo Rodosek,Bundeswehr University Munich,https://www.unibw.de/technische-informatik/mitarbeiter/professoren/univ-prof-in-dr-gabi-dreo-rodosek,NOSCHOLARPAGE
Gabi Stanovsky,Hebrew University of Jerusalem,https://gabrielstanovsky.github.io,AtkvBFYAAAAJ
Gabi Taentzer,University of Marburg,https://www.uni-marburg.de/fb12/arbeitsgruppen/swt/gabi-taentzer,4Gu2XUEAAAAJ
Gabor C. Temes,Oregon State University,http://eecs.oregonstate.edu/people/temes-gabor,NOSCHOLARPAGE
Gabor Fichtinger,Queen’s University,http://www.cs.queensu.ca/~gabor,_KxkI6UAAAAJ
Gabor Karsai,Vanderbilt University,https://engineering.vanderbilt.edu/bio/?pid=gabor-karsai,dShqnssAAAAJ
Gabor T. Herman,CUNY,http://www.dig.cs.gc.cuny.edu/~gabor,B153thgAAAAJ
Gabriel Coutinho,UFMG,http://homepages.dcc.ufmg.br/~gabriel,EpDBGxcAAAAJ
Gabriel Elkaim,Univ. of California - Santa Cruz,https://users.soe.ucsc.edu/~elkaim/elkaim/Home.html,NOSCHOLARPAGE
Gabriel Fierro,Colorado School of Mines,https://home.gtf.fyi/,9wj4L7MAAAAJ
Gabriel Ghinita,University of Massachusetts Boston,http://www.cs.umb.edu/~gghinita,t_AzcmUAAAAJ
Gabriel Girard,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/gabriel-girard,-Zoh5mIAAAAJ
Gabriel Hugh Elkaim,Univ. of California - Santa Cruz,https://users.soe.ucsc.edu/~elkaim/elkaim/Home.html,NOSCHOLARPAGE
Gabriel J. Brostow,University College London,http://www0.cs.ucl.ac.uk/staff/g.brostow,CZiTv0gAAAAJ
Gabriel Kaptchuk,University of Maryland - College Park,https://www.cs.umd.edu/users/kaptchuk,gbq5qjYAAAAJ
Gabriel L. Nazar,UFRGS,http://inf.ufrgs.br/~glnazar,z6oRVPUAAAAJ
Gabriel Luca Nazar,UFRGS,http://inf.ufrgs.br/~glnazar,z6oRVPUAAAAJ
Gabriel López,University of Murcia,http://webs.um.es/gabilm/miwiki/doku.php,TogbwmUAAAAJ
Gabriel López Millán,University of Murcia,http://webs.um.es/gabilm/miwiki/doku.php,TogbwmUAAAAJ
Gabriel M. Kuper,University of Trento,http://disi.unitn.eu/~kuper,9zljEDcAAAAJ
Gabriel Nivasch,Ariel University,http://www.ariel.ac.il/Projects/TRP/GeneralInformation.asp?numRec=365&numtafrit=1&id_lang=1&d=,s11gsQUAAAAJ
Gabriel Parmer,George Washington University,https://www.seas.gwu.edu/~gparmer,NOSCHOLARPAGE
Gabriel Rodríguez 0001,University of A Coruña,https://gac.udc.es/~gabriel,fDXzifcAAAAJ
Gabriel Spadon,Dalhousie University,https://spadon.com.br/,bfdGsGUAAAAJ
Gabriel Stanovsky,Hebrew University of Jerusalem,https://gabrielstanovsky.github.io,AtkvBFYAAAAJ
Gabriel Taubin,Brown University,http://mesh.brown.edu/taubin,saeqVMUAAAAJ
Gabriel Terejanu,UNC - Charlotte,http://www.UncertaintyQuantification.org,Z7LP12kAAAAJ
Gabriel Tsechpenakis,IUPUI,http://cs.iupui.edu/people/gavriil-tsechpenakis,y7uuI7gAAAAJ
Gabriel Wittum,KAUST,https://cemse.kaust.edu.sa/people/person/gabriel-wittum,GYubNyUAAAAJ
Gabriel Zachmann,University of Bremen,http://www.informatik.uni-bremen.de/~zach,rB_y-IkAAAAJ
Gabriela Czibula,Babeș-Bolyai University,http://www.cs.ubbcluj.ro/~gabis,0_ybi_oAAAAJ
Gabriela Montoya,Aalborg University,https://vbn.aau.dk/en/persons/gabriela-valentina-montoya-castillo,qXfMXnYAAAAJ
Gabriela Nicolescu,Polytechnique Montreal,https://www.polymtl.ca/expertises/nicolescu-gabriela,ef6bdBoAAAAJ
Gabriela Serban,Babeș-Bolyai University,http://www.cs.ubbcluj.ro/~gabis,0_ybi_oAAAAJ
Gabriela Serban Czibula,Babeș-Bolyai University,http://www.cs.ubbcluj.ro/~gabis,0_ybi_oAAAAJ
Gabriele Anderst-Kotsis,JKU Linz,https://www.jku.at/institut-fuer-telekooperation/ueber-uns/team/gabriele-anderst-kotsis,9QhutOMAAAAJ
Gabriele Bavota,Università della Svizzera italiana,http://search.usi.ch/people/e63382729ce424274797f0c45f4bc7e8/Bavota-Gabriele,inc2FLEAAAAJ
Gabriele E. Danninger-Uchida,University of Vienna,https://cs.univie.ac.at/gabriele.uchida,NOSCHOLARPAGE
Gabriele Farina,Massachusetts Institute of Technology,http://www.mit.edu/~gfarina,sktDNcEAAAAJ
Gabriele Guidi 0001,Indiana University,https://luddy.indiana.edu/contact/profile/index.html?Gabriele_Guidi,cSScT5EAAAAJ
Gabriele Kern-Isberner,TU Dortmund,https://ls1-www.cs.tu-dortmund.de/de/kontakt-gabriele-kern-isberner,NOSCHOLARPAGE
Gabriele Kotsis,JKU Linz,https://www.jku.at/institut-fuer-telekooperation/ueber-uns/team/gabriele-anderst-kotsis,9QhutOMAAAAJ
Gabriele Meiselwitz,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/gmeiselwitz.html,NOSCHOLARPAGE
Gabriele Mencagli,University of Pisa,http://www.di.unipi.it/~mencagli,V7hWtykAAAAJ
Gabriele Pergola,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/u1898418/,3jIiOFEAAAAJ
Gabriele Taentzer,University of Marburg,https://www.uni-marburg.de/fb12/arbeitsgruppen/swt/gabi-taentzer,4Gu2XUEAAAAJ
Gabriele Tolomei,Sapienza University of Rome,https://www.di.uniroma1.it/~tolomei,Y2R2DXEAAAAJ
Gabriele Uchida,University of Vienna,https://cs.univie.ac.at/gabriele.uchida,NOSCHOLARPAGE
Gabriele von Voigt,University of Hannover,https://www.chi.uni-hannover.de/vonvoigt.html,NOSCHOLARPAGE
Gaby G. Dagher,Boise State University,https://www.boisestate.edu/coen-cs/people/faculty/gaby-dagher,c77MRUEAAAAJ
Gad M. Landau,University of Haifa,http://cs.haifa.ac.il/LANDAU/landau.html,NOSCHOLARPAGE
Gady Agam,Illinois Institute of Technology,https://science.iit.edu/people/faculty/gady-agam,0wKmvY0AAAAJ
Gagan Agrawal,University of Georgia,https://www.linkedin.com/in/gaganagrawal2/,kOUPR1sAAAAJ
Gagan Garg,DAIICT,http://www.daiict.ac.in/daiict/people/faculty.html,0FoDjjIAAAAJ
Gagan Gupta 0001,IIT Bhilai,https://www.iitbhilai.ac.in/index.php?pid=gagan,3El9vwYAAAAJ
Gagan Raj Gupta 0001,IIT Bhilai,https://www.iitbhilai.ac.in/index.php?pid=gagan,3El9vwYAAAAJ
Gagandeep Singh 0001,Univ. of Illinois at Urbana-Champaign,https://ggndpsngh.github.io,m4b2ruEAAAAJ
Gahgene Gweon,Seoul National University,http://cclab.snu.ac.kr,l4hK4eEAAAAJ
Gaia Maselli,Sapienza University of Rome,https://sites.google.com/a/uniroma1.it/gaiamaselli-eng,-KL6m2AAAAAJ
Gail C. Murphy,University of British Columbia,http://www.cs.ubc.ca/~murphy,EGA1deoAAAAJ
Gail E. Kaiser,Columbia University,http://www.cs.columbia.edu/~kaiser,LIdVlPsAAAAJ
Gail Hopkins,University of Nottingham,https://www.nottingham.ac.uk/computerscience/people/gail.hopkins,NOSCHOLARPAGE
Gail-Joon Ahn,Arizona State University,http://www.public.asu.edu/~gahn1,_dzO69sAAAAJ
Gajendra P. S. Raghava,IIIT Delhi,http://webs.iiitd.edu.in/raghava,XK5GUiYAAAAJ
Gajendra Pal Singh Raghava,IIIT Delhi,http://webs.iiitd.edu.in/raghava,XK5GUiYAAAAJ
Gal A. Kaminka,Bar-Ilan University,http://u.cs.biu.ac.il/~galk,AyzlRJwAAAAJ
Gal Chechik,Bar-Ilan University,https://chechiklab.biu.ac.il/,Wk2gAZUAAAAJ
Gal Mishne,Univ. of California - San Diego,https://datascience.ucsd.edu/people/gal-mishne/,KrwpdXYAAAAJ
Gala Yadgar,Technion,https://gala.cswp.cs.technion.ac.il/,5-HxJSEAAAAJ
Ganapati Bhat,Washington State University,https://www.public.asu.edu/~gmbhat,MVnzUKEAAAAJ
Ganesh Bagler,IIIT Delhi,http://faculty.iiitd.ac.in/~bagler,qyth_0QAAAAJ
