name,affiliation,homepage,scholarid,orcid
H. Altay Güvenir,Bilkent University,http://www.cs.bilkent.edu.tr/~guvenir,zRvIRVUAAAAJ,0000-0000-0000-0000
H. Andrew Schwartz,Vanderbilt University,https://haschwartz.com,Na16PsUAAAAJ,0000-0000-0000-0000
H. Andrés Neyem,UC Chile,http://www.andresneyem.cl,xPEdf1wAAAAJ,0000-0000-0000-0000
H. Dieter Rombach,TU Kaiserslautern,http://wwwagse.informatik.uni-kl.de/staff/rombach,OpsrHLAAAAAJ,0000-0000-0000-0000
H. F. Ting,University of Hong Kong,https://i.cs.hku.hk/~hfting,NOSCHOLARPAGE,0000-0000-0000-0000
H. Harry Zhou,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/hzhou.html,NOSCHOLARPAGE,0000-0000-0000-0000
H. Howie Huang,George Washington University,https://www2.seas.gwu.edu/~howie,maC331oAAAAJ,0000-0001-8588-7680
H. J. Kappen,Radboud University,http://www.snn.ru.nl/~bertk,JSkBINwAAAAJ,0000-0000-0000-0000
H. James de St. Germain,University of Utah,https://users.cs.utah.edu/~germain,NOSCHOLARPAGE,0000-0000-0000-0000
H. Jin Kim,Seoul National University,https://larr.snu.ac.kr/index.php/people,TLQUwIMAAAAJ,0000-0000-0000-0000
H. K. Dai 0001,Oklahoma State University,http://cs.okstate.edu/%7Edai,NOSCHOLARPAGE,0000-0000-0000-0000
H. L. Graham,Univ. of California - San Diego,https://cseweb.ucsd.edu/~rgraham,qrPaF3QAAAAJ,0000-0000-0000-0000
H. Levent Akin,Boğaziçi University,https://www.cmpe.boun.edu.tr/~akin,61aKNawAAAAJ,0000-0003-0439-8805
H. M. M. van de Wetering,TU Eindhoven,http://www.win.tue.nl/~wstahw,syCsFHkAAAAJ,0000-0000-0000-0000
H. Sebastian Seung,Princeton University,https://pni.princeton.edu/people/h-sebastian-seung,BD8llAEAAAAJ,0000-0000-0000-0000
H. Siegfried Stiehl,University of Hamburg,https://www.inf.uni-hamburg.de/de/inst/ab/bv/team/stiehl.html,NOSCHOLARPAGE,0000-0000-0000-0000
H. T. Kung 0001,Harvard University,https://www.eecs.harvard.edu/htk,iLQqwosAAAAJ,0000-0002-3348-3788
H. V. Jagadish,University of Michigan,http://web.eecs.umich.edu/~jag,SKVnHakAAAAJ,0000-0003-0724-5214
H. Venkateswaran,Georgia Institute of Technology,http://www.cc.gatech.edu/~venkat,NOSCHOLARPAGE,0000-0000-0000-0000
Ha Kyung Kong,Rochester Inst. of Technology,https://www.rit.edu/directory/hxkics-hidy-kong,vGfPaykAAAAJ,0000-0001-8974-8610
Habeeb Olufowobi,University of Texas at Arlington,https://dipupo.github.io,8sqvlk8AAAAJ,0000-0001-8959-2038
Habib Louafi,University of Regina,http://www.cs.uregina.ca/People/Profiles/HabibLouafi.html,_w0LeEUAAAAJ,0000-0000-0000-0000
Habiba Farrukh,Univ. of California - Irvine,https://habiba-farrukh.github.io,oSEtOA4AAAAJ,0000-0002-3582-5999
