name,affiliation,homepage,scholarid
I-Chen Lin,National Chiao Tung University,http://www.cs.nctu.edu.tw/~ichenlin,75SR4WgAAAAJ
I-Chen Wu,National Chiao Tung University,http://java.csie.nctu.edu.tw/~icwu,NOSCHOLARPAGE
I-Ling Yen,University of Texas at Dallas,http://www.utdallas.edu/~ilyen,NOSCHOLARPAGE
I-Ping Chu,DePaul University,https://www.cdm.depaul.edu/Faculty-and-Staff/Pages/faculty-info.aspx?fid=249,NOSCHOLARPAGE
I-Ting Angelina Lee,Washington University in St. Louis,http://www.cse.wustl.edu/~angelee,WRlzk3UAAAAJ
I. Emre Telatar,EPFL,https://people.epfl.ch/emre.telatar,8fiH7UkAAAAJ
I. J. Bate,University of York,https://www-users.cs.york.ac.uk/~ijb,dE_ooMIAAAAJ
I. V. Ramakrishnan,Stony Brook University,https://www.cs.stonybrook.edu/people/faculty/IVRamakrishnan,FgfwY_UAAAAJ
I. Vinod Reddy,IIT Bhilai,https://sites.google.com/a/iitgn.ac.in/vinodreddy/home,gZi4ftkAAAAJ
Iacopo Masi,Sapienza University of Rome,http://iacopomasi.github.io,t4zrDEAAAAAJ
Iadh Ounis,University of Glasgow,http://www.dcs.gla.ac.uk/~ounis,rKQMXOEAAAAJ
Iain A. Stewart,Durham University,https://www.dur.ac.uk/computer.science/staff/profile/?id=1151,pYwb1nMAAAAJ
Iain B. Styles,Queen's University Belfast,https://pure.qub.ac.uk/en/persons/iain-styles,iT28amUAAAAJ
Iain Bate,University of York,https://www-users.cs.york.ac.uk/~ijb,dE_ooMIAAAAJ
Iain C. C. Phillips,Imperial College London,http://www.imperial.ac.uk/collegedirectory/index.asp?PeopleID=941691,NOSCHOLARPAGE
Iain John Bate,University of York,https://www-users.cs.york.ac.uk/~ijb,dE_ooMIAAAAJ
Iain Martin,University of Dundee,https://www.computing.dundee.ac.uk/about/staff/17,NOSCHOLARPAGE
Iain Moffatt,Royal Holloway University of London,https://pure.royalholloway.ac.uk/portal/en/persons/iain-moffatt,NOSCHOLARPAGE
Iain Murray 0001,University of Edinburgh,http://homepages.inf.ed.ac.uk/imurray2,WfuoPHIAAAAJ
Iain Phillips,Imperial College London,http://www.imperial.ac.uk/collegedirectory/index.asp?PeopleID=941691,NOSCHOLARPAGE
Iain Phillips 0001,Imperial College London,http://www.imperial.ac.uk/collegedirectory/index.asp?PeopleID=941691,NOSCHOLARPAGE
Iain Phillips 0002,Loughborough University,https://www.lboro.ac.uk/departments/compsci/staff/academic-teaching/iain-phillips,vn5m6QgAAAAJ
Iain R. Murray,University of Dundee,http://staff.computing.dundee.ac.uk/irmurray,NOSCHOLARPAGE
Iain W. Phillips,Loughborough University,https://www.lboro.ac.uk/departments/compsci/staff/academic-teaching/iain-phillips,vn5m6QgAAAAJ
Iain William Phillips,Loughborough University,https://www.lboro.ac.uk/departments/compsci/staff/academic-teaching/iain-phillips,vn5m6QgAAAAJ
Iakovos S. Venieris,NTUA,http://www.icbnet.ntua.gr/website/el/people/~ivenieris,Q0ylKvEAAAAJ
Ian A. Kash,University of Illinois at Chicago,https://www.cs.uic.edu/k-Teacher/ian-kash-phd,CxIxSBEAAAAJ
Ian Bogost,Washington University in St. Louis,https://engineering.wustl.edu/faculty/Ian-Bogost.html,RZkFfnkAAAAJ
Ian D. Blackman,Brunel University London,https://www.brunel.ac.uk/people/ian-blackman,nGWe75sAAAAJ
Ian D. Horswill,Northwestern University,http://www.cs.northwestern.edu/~ian,YZesz7sAAAAJ
Ian D. Reid 0001,MBZUAI,https://mbzuai.ac.ae/study/faculty/ian-reid,ATkNLcQAAAAJ
Ian D. Watson,University of Auckland,https://www.cs.auckland.ac.nz/~ian,ojJQencAAAAJ
Ian Daly,University of Essex,https://www.essex.ac.uk/people/dalyi03400/ian-daly,N8POe8cAAAAJ
Ian David Bede Stark,University of Edinburgh,http://www.inf.ed.ac.uk/people/staff/Ian_Stark.html,_WljoL8AAAAJ
Ian David Reid,MBZUAI,https://mbzuai.ac.ae/study/faculty/ian-reid,ATkNLcQAAAAJ
Ian Davidson,Univ. of California - Davis,http://www.cs.ucdavis.edu/~davidson,t3TMtqEAAAAJ
Ian Douglas Horswill,Northwestern University,http://www.cs.northwestern.edu/~ian,YZesz7sAAAAJ
Ian E. Pratt,University of Manchester,http://www.cs.man.ac.uk/~ipratt,M1xicaEAAAAJ
Ian G. Harris,Univ. of California - Irvine,http://www.ics.uci.edu/~harris,NpcLBDsAAAAJ
Ian Gent,University of St Andrews,http://ian.gent,ufUvmEAAAAJ
Ian Goldberg,University of Waterloo,https://cs.uwaterloo.ca/~iang,NOSCHOLARPAGE
Ian Gray,University of York,https://www-users.cs.york.ac.uk/~iang,HloK4CAAAAAJ
Ian H. Witten,University of Waikato,http://www.cs.waikato.ac.nz/~ihw,BSFdGw0AAAAJ
Ian Horrocks 0001,University of Oxford,http://www.cs.ox.ac.uk/ian.horrocks,0ypdmcYAAAAJ
Ian Horswill,Northwestern University,http://www.cs.northwestern.edu/~ian,YZesz7sAAAAJ
Ian J. Hayes,University of Queensland,http://researchers.uq.edu.au/researcher/211,fRdQiZcAAAAJ
Ian J. Taylor,Cardiff University,https://www.cardiff.ac.uk/people/view/118167-taylor-ian,JlqiAJkAAAAJ
Ian J. Wassell,University of Cambridge,https://www.cl.cam.ac.uk/research/dtg/www/people/ijw24,jHRJWk8AAAAJ
Ian James Wassell,University of Cambridge,https://www.cl.cam.ac.uk/research/dtg/www/people/ijw24,jHRJWk8AAAAJ
Ian M. Cooper,Cardiff University,https://www.cardiff.ac.uk/people/view/118123-cooper-ian,xaQYN0gAAAAJ
Ian M. Leslie,University of Cambridge,https://www.cl.cam.ac.uk/~iml1,NOSCHOLARPAGE
Ian M. Mitchell,University of British Columbia,https://www.cs.ubc.ca/~mitchell,bTG82acAAAAJ
Ian Mackie,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/212026,NOSCHOLARPAGE
Ian McLoughlin 0001,University of Kent,http://kent.academia.edu/IanMcLoughlin,mcnKgPoAAAAJ
Ian McQuillan,University of Saskatchewan,https://www.cs.usask.ca/faculty/mcquillan,NOSCHOLARPAGE
Ian Miers,University of Maryland - College Park,https://www.cs.umd.edu/people/imiers,21kN_WsAAAAJ
Ian Mitchell,University of British Columbia,https://www.cs.ubc.ca/~mitchell,bTG82acAAAAJ
Ian Mitchell 0001,University of British Columbia,https://www.cs.ubc.ca/~mitchell,bTG82acAAAAJ
Ian Mitchell 0002,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/mitchell-ian,NOSCHOLARPAGE
Ian Munro 0001,University of Waterloo,https://cs.uwaterloo.ca/~imunro,O55rM6QAAAAJ
Ian N. Davidson,Univ. of California - Davis,http://www.cs.ucdavis.edu/~davidson,t3TMtqEAAAAJ
Ian Oakley,KAIST,https://wit.kaist.ac.kr/,eth0NcUAAAAJ
Ian Parberry,University of North Texas,http://larc.unt.edu/ian,8ZpdXNcAAAAJ
Ian Pratt 0002,University of Manchester,http://www.cs.man.ac.uk/~ipratt,M1xicaEAAAAJ
Ian Pratt-Hartmann,University of Manchester,http://www.cs.man.ac.uk/~ipratt,M1xicaEAAAAJ
Ian R. Lane,Univ. of California - Santa Cruz,https://nlp.ucsc.edu/people/nlp-faculty/ian-lane/,llDSKAYAAAAJ
Ian Reid 0001,MBZUAI,https://mbzuai.ac.ae/study/faculty/ian-reid,ATkNLcQAAAAJ
Ian Ruthven,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/ian-ruthven/publications,BAJlvioAAAAJ
Ian S. Welch,Victoria University of Wellington,http://ecs.victoria.ac.nz/Main/IanWelch,EBgB5LwAAAAJ
Ian Shawn Welch,Victoria University of Wellington,http://ecs.victoria.ac.nz/Main/IanWelch,EBgB5LwAAAAJ
Ian Stark,University of Edinburgh,http://www.inf.ed.ac.uk/people/staff/Ian_Stark.html,_WljoL8AAAAJ
Ian Stavness,University of Saskatchewan,https://www.cs.usask.ca/faculty/stavness,4ONh3jcAAAAJ
Ian T. Foster,University of Chicago,https://www.cs.uchicago.edu/directory/ian-foster,VGoSakQAAAAJ
Ian Utting,University of Kent,https://www.cs.kent.ac.uk/~iau,j32IMCEAAAAJ
Ian Vince McLoughlin,University of Kent,http://kent.academia.edu/IanMcLoughlin,mcnKgPoAAAAJ
Ian Wakeman,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/10651,NXsakW8AAAAJ
Ian Warren,University of Auckland,https://www.cs.auckland.ac.nz/people/i-warren,X12wTvkAAAAJ
Ian Welch,Victoria University of Wellington,http://ecs.victoria.ac.nz/Main/IanWelch,EBgB5LwAAAAJ
Iasonas Polakis,University of Illinois at Chicago,https://www.cs.uic.edu/~polakis,OgJKomcAAAAJ
Iberia Medeiros,Universidade de Lisboa,https://ciencias.ulisboa.pt/perfil/ivmedeiros,bRMCeKYAAAAJ
Ibrahim Abe M. Elfadel,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/5680-ibrahim-elfadel,NOSCHOLARPAGE
Ibrahim Al-Bahadly,Massey University,http://www.massey.ac.nz/massey/expertise/profile.cfm?stref=576330,NOSCHOLARPAGE
Ibrahim C. Abou-Faycal,American University of Beirut,https://www.aub.edu.lb/fea/publicprofile/Pages/profile.aspx?memberid=ia14,EwLgoU8AAAAJ
