name,affiliation,homepage,scholarid
K. Anton Feenstra,VU Amsterdam,http://www.few.vu.nl/~feenstra,NOSCHOLARPAGE
K. C. Sivaramakrishnan,IIT Madras,https://kcsrk.info,Kc2cHqYAAAAJ
K. C. Wang,Washington State University,https://school.eecs.wsu.edu/people/faculty/kc-wang,NmoASSIAAAAJ
K. Gopinath,Plaksha University,https://plaksha.edu.in/faculty-details/dr-k-gopinath,ribzpr4AAAAJ
K. Harald Gjermundrød,University of Nicosia,https://www.unic.ac.cy/gjermundrod-harald,sRPAAHcAAAAJ
K. Hari Babu 0001,BITS Pilani,http://www.bits-pilani.ac.in/pilani/khari/profile,E-yshlwAAAAJ
K. Haribabu 0001,BITS Pilani,http://www.bits-pilani.ac.in/pilani/khari/profile,E-yshlwAAAAJ
K. K. Ramakrishnan,Univ. of California - Riverside,http://www.cs.ucr.edu/~kk,Da-s1FQAAAAJ
K. Lakshmanan 0001,IIT (BHU) Varanasi,http://www.iitbhu.ac.in/cse/index.php/people/faculty.html,K2Q4ZxkAAAAJ
K. M. George,Oklahoma State University,https://www.cs.okstate.edu/~kmg,NOSCHOLARPAGE
K. Madhava Krishna,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/mkrishna,QDuPGHwAAAAJ
K. Narayan Kumar,CMI,http://www.cmi.ac.in/~kumar,iREqKFwAAAAJ
K. R. Seeja,IGDTUW,https://www.igdtuw.ac.in/computerScience.php?name=KRSeeja,BL4-9QUAAAAJ
K. Ramesh 0009,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16339,NOSCHOLARPAGE
K. Rüdiger Reischuk,University of Lübeck,http://www.tcs.uni-luebeck.de/mitarbeiter/reischuk,NOSCHOLARPAGE
K. S. Rajan,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/rajan,00_zU7QAAAAJ
K. Selçuk Candan,Arizona State University,http://aria.asu.edu/candan,keO-0s0AAAAJ
K. Sreenivasa Rao,IIT Kharagpur,https://cse.iitkgp.ac.in/~ksrao,TATEL2EAAAAJ
K. Srinathan,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/srinathan,NOSCHOLARPAGE
K. Subramani 0001,West Virginia University,http://community.wvu.edu/~krsubramani,NOSCHOLARPAGE
K. T. Tim Cheng,HKUST,http://www.ust.hk/about-hkust/senior-adm/dean-of-engineering,NOSCHOLARPAGE
K. Uldall Kristiansen,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE
K. V. Dinesha,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=KVDinesha,NOSCHOLARPAGE
K. V. Kadambari,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16335,hPMJtNwAAAAJ
K. V. Rashmi,Carnegie Mellon University,http://www.cs.cmu.edu/~rvinayak,gUO59T8AAAAJ
K. V. S. Prasad,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/prasad.aspx,NOSCHOLARPAGE
K. V. Subrahmanyam 0001,CMI,http://www.cmi.ac.in/~kv,pxVeS_IAAAAJ
K. Vijay-Shanker,University of Delaware,https://www.eecis.udel.edu/~vijay,O1l6JGkAAAAJ
K.-C. Wang,Washington State University,https://school.eecs.wsu.edu/people/faculty/kc-wang,NmoASSIAAAAJ
Ka-Chun Wong,City University of Hong Kong,http://www.cs.utoronto.ca/~wkc,nZH_Ws8AAAAJ
