name,affiliation,homepage,scholarid,orcid
L. C. Verbrugge,University of Groningen,http://www.ai.rug.nl/~rineke,p6lcxiMAAAAJ,0000-0000-0000-0000
L. Darrell Whitley,Colorado State University,http://www.cs.colostate.edu/~whitley,0VzUxIcAAAAJ,0000-0002-2752-6534
L. Gwenn Volkert,Kent State University,http://www.cs.kent.edu/~volkert,NOSCHOLARPAGE,0000-0000-0000-0000
L. Jean Camp,UNC - Charlotte,https://cci.charlotte.edu/people/linda-j-camp,wJPGa2IAAAAJ,0000-0001-8731-7884
L. Miguel Silveira,Universidade de Lisboa,http://algos.inesc-id.pt/~lms,NOSCHOLARPAGE,0000-0003-3542-229X
L. Ridgway Scott,University of Chicago,http://people.cs.uchicago.edu/~ridg,gBefoakAAAAJ,0000-0000-0000-0000
L. Sunil Chandran,IISc Bangalore,http://www.csa.iisc.ac.in/~sunil,020isz4AAAAJ,0000-0000-0000-0000
Lace M. K. Padilla,Northeastern University,http://www.lacepadilla.com,WqJQayQAAAAJ,0000-0001-9251-5279
Lachlan L. H. Andrew,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/15524-lachlan-andrew,LvFKbc8AAAAJ,0000-0000-0000-0000
Laci Babai,University of Chicago,http://people.cs.uchicago.edu/~laci,KbVFiKYAAAAJ,0000-0000-0000-0000
Ladislau Bölöni,University of Central Florida,http://www.cs.ucf.edu/~lboloni,drG1_tsAAAAJ,0000-0000-0000-0000
Ladislav Kavan,University of Utah,https://www.cs.utah.edu/~ladislav,6YTlV5oAAAAJ,0000-0001-8549-0878
Laetitia Jourdan,CRIStAL,http://cristal.univ-lille.fr/~jourdan,HEUAUJkAAAAJ,0000-0000-0000-0000
Laetitia Vermeulen-Jourdan,CRIStAL,http://cristal.univ-lille.fr/~jourdan,HEUAUJkAAAAJ,0000-0000-0000-0000
Lahcen Ouarbya,Goldsmiths University of London,https://www.gold.ac.uk/computing/staff/l-ouarbya,NOSCHOLARPAGE,0009-0003-2700-1011
Lai-Wan Chan,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/~lwchan,9z_5eo8AAAAJ,0000-0000-0000-0000
Laila Nassef,King Abdulaziz University,http://www.kau.edu.sa/Contacts.aspx?Site_ID=611&Lng=EN&Cont=17753,NOSCHOLARPAGE,0000-0001-9707-1259
Laiping Zhao,Tianjin University,http://clouduv.cn/index.html,l21cCTIAAAAJ,0000-0003-1967-2192
Laiwan Chan,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/~lwchan,9z_5eo8AAAAJ,0000-0000-0000-0000
