name,affiliation,homepage,scholarid,orcid
O-Joun Lee,The Catholic University of Korea,https://o-jounlee.github.io/cv/CV,43GFjoYAAAAJ,0000-0001-8921-5443
O. G. Kakde,VNIT Nagpur,https://vnit.ac.in/engineering/cse/dr-o-g-kakde,E5ErZ2UAAAAJ,0000-0000-0000-0000
Oana Andrei,University of Glasgow,https://www.gla.ac.uk/schools/computing/staff/oanaandrei,s86JS7oAAAAJ,0000-0002-1306-0219
Octav Chipara,University of Iowa,https://www.cs.uiowa.edu/people/octav-chipara,uBbYp8gAAAAJ,0000-0002-4729-0602
Odalric Maillard,CRIStAL,https://www.cristal.univ-lille.fr/profil/omaillar,7EweMdoAAAAJ,0000-0000-0000-0000
Odalric-Ambrym Maillard,CRIStAL,https://www.cristal.univ-lille.fr/profil/omaillar,7EweMdoAAAAJ,0000-0000-0000-0000
Odd Erik Gundersen,NTNU,https://www.ntnu.edu/employees/odderik,mcERTrMAAAAJ,0000-0000-0000-0000
Oded Goldreich 0001,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=1877,DLQW_LoAAAAJ,0000-0002-4329-135X
Oded Lachish,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/oded,mXlrl5sAAAAJ,0000-0001-5406-8121
Oded Nov,New York University,https://wp.nyu.edu/odednov,G0rV_dcAAAAJ,0000-0001-6410-2995
Oded Regev 0001,New York University,http://www.cims.nyu.edu/~regev,3-gk0ioAAAAJ,0000-0002-8616-3163
Oded Schwartz,Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~odedsc,uwrwLJcAAAAJ,0000-0003-1309-5566
Oded Shmueli,Technion,http://www.cs.technion.ac.il/people/oshmu,NOSCHOLARPAGE,0000-0000-0000-0000
Oded Stein,University of Southern California,https://odedstein.com,m_XvapMAAAAJ,0000-0001-9741-3175
Odej Kao,TU Berlin,https://www.cit.tu-berlin.de/kao,mvOSfFAAAAAJ,0000-0000-0000-0000
Odelia Schwartz,University of Miami,http://www.cs.miami.edu/~odelia,3prQpXgAAAAJ,0000-0000-0000-0000
Odest Chadwicke Jenkins,University of Michigan,http://ohseejay.org,dp5LnVAAAAAJ,0000-0003-3750-7334
Odette Scharenborg,TU Delft,https://www.tudelft.nl/ewi/over-de-faculteit/afdelingen/intelligent-systems/multimedia-computing/people/odette-scharenborg,hyz2eHkAAAAJ,0000-0000-0000-0000
Odinaldo Rodrigues,King's College London,https://www.kcl.ac.uk/people/odinaldo-rodrigues,oWihRAoAAAAJ,0000-0001-7823-1034
Odorico M. Mendizabal,Federal University of Rio Grande,http://www.mendizabal.c3.furg.br,r34bzIYAAAAJ,0000-0000-0000-0000
Odorico Machado Mendizabal,Federal University of Rio Grande,http://www.mendizabal.c3.furg.br,r34bzIYAAAAJ,0000-0002-6339-5156
