name,affiliation,homepage,scholarid
Qanita Bani Baker,JUST,http://www.just.edu.jo/eportfolio/Pages/Default.aspx?email=qmbanibaker,5m5NJOcAAAAJ
Qi Alfred Chen,Univ. of California - Irvine,https://www.ics.uci.edu/~alfchen,lcsu7m8AAAAJ
Qi Cheng,University of Oklahoma,http://www.cs.ou.edu/%7Eqcheng,JhIUgjkAAAAJ
Qi Dou,Chinese University of Hong Kong,https://www.cse.cuhk.edu.hk/~qdou,iHh7IJQAAAAJ
Qi Han 0001,Colorado School of Mines,http://inside.mines.edu/~qhan,CiPyIk4AAAAJ
Qi Li 0002,Tsinghua University,https://www.cs.tsinghua.edu.cn/publish/csen/4623/2020/20200105201627634466124/20200105201627634466124_.html,NOSCHOLARPAGE
Qi Li 0012,Iowa State University,https://www.cs.iastate.edu/people/qi-li,NOSCHOLARPAGE
Qi Liu 0003,USTC,http://staff.ustc.edu.cn/~qiliuql,5EoHAFwAAAAJ
Qi Rose Yu,Univ. of California - San Diego,http://roseyu.com,4HTITaMAAAAJ
Qi Sun,New York University,http://qisun.me,oN7gaqMAAAAJ
Qi Wang 0009,NWPU,http://crabwq.github.io,GPrkTBsAAAAJ
Qi Wei 0003,George Mason University,http://bioengineering.gmu.edu/faculty_page/wei,6otVU08AAAAJ
Qi Wu 0001,University of Adelaide,http://qi-wu.me,aKXe1FEAAAAJ
Qi Yu 0001,Rochester Institute of Technology,http://www.ist.rit.edu/~qyu,efV9EvoAAAAJ
Qi Zhang 0001,Fudan University,http://nlp.fudan.edu.cn/~qzhang,XfqR3yYAAAAJ
Qi Zhu 0002,Northwestern University,http://eecs.northwestern.edu/~qzhu,TN09YMcAAAAJ
Qi-Xing Huang,University of Texas at Austin,https://www.cs.utexas.edu/~huangqx,pamL_rIAAAAJ
Qian Kemao,Nanyang Technological University,http://research.ntu.edu.sg/expertise/academicprofile/Pages/StaffProfile.aspx?ST_EMAILID=MKMQIAN,JCehBDoAAAAJ
Qian Wang 0002,Wuhan University,http://nisplab.whu.edu.cn/people.html,CD7ybnAAAAAJ
Qian Zhang 0001,HKUST,https://home.cse.ust.hk/~qianzh,XTlaQMkAAAAJ
Qian-Ping Gu,Simon Fraser University,https://www.cs.sfu.ca/~qgu,NOSCHOLARPAGE
Qiang Cheng,University of Kentucky,https://www.engr.uky.edu/directory/cheng-qiang-shawn,tpRmu_MAAAAJ
Qiang Fu 0011,Victoria University of Wellington,http://ecs.victoria.ac.nz/Main/QiangFu,6GgAPRsAAAAJ
Qiang Gan 0001,University of Essex,https://www.essex.ac.uk/people/ganjo00207/john-gan,reTQcL8AAAAJ
Qiang Guan,Kent State University,http://www.cs.kent.edu/~qguan,kpPoy4gAAAAJ
Qiang Liu 0001,University of Texas at Austin,https://www.cs.utexas.edu/~lqiang,XEx1fZkAAAAJ
Qiang Ma 0001,Kyoto University,https://www.db.soc.i.kyoto-u.ac.jp/~qiang/index-e.html,h4AD-WQAAAAJ
Qiang Ni,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/qiang-ni,Pg3lkkgAAAAJ
Qiang Shen 0001,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/qqs,bew3SPIAAAAJ
Qiang Tang 0005,University of Sydney,https://alkistang.github.io,i6oKWhEAAAAJ
Qiang Xu 0001,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/~qxu,eSiKPqUAAAAJ
Qiang Yang 0001,HKUST,http://www.cs.ust.hk/~qyang,6vQP4KIAAAAJ
Qiang Zeng 0001,University of South Carolina,https://cse.sc.edu/~zeng1,NOSCHOLARPAGE
Qiang Zhou 0001,Tsinghua University,http://www.tsinghua.edu.cn/publish/csen/4623/2010/20101225001843542358511/20101225001843542358511_.html,NOSCHOLARPAGE
Qiang Zhu 0001,University of Michigan-Dearborn,https://umdearborn.edu/users/qzhu,NOSCHOLARPAGE
Qianni Deng,Shanghai Jiao Tong University,http://english.seiee.sjtu.edu.cn/english/detail/841_689.htm,NOSCHOLARPAGE
Qianping Gu,Simon Fraser University,https://www.cs.sfu.ca/~qgu,NOSCHOLARPAGE
Qianqian Xu,Chinese Academy of Sciences,http://vipl.ict.ac.cn/view_people.php?url=qianqianxu&id=155,MjifS2MAAAAJ
Qianru Sun,Singapore Management University,https://qianrusun.com,fNfrGMIAAAAJ
Qiao Liu 0003,UESTC,http://www.is.uestc.edu.cn/teachers.do?id=1084,9rVo3PoAAAAJ
Qiao Yan,Shenzhen University,http://csse.szu.edu.cn/cn/people2fe3.html?14763,p8f4CuUAAAAJ
Qiaozhu Mei,University of Michigan,http://www-personal.umich.edu/~qmei,zr22WkQAAAAJ
Qiben Yan,Michigan State University,https://cse.msu.edu/~qyan,su4cfrIAAAAJ
Qifeng Chen,HKUST,https://cqf.io,lLMX9hcAAAAJ
Qigang Gao,Dalhousie University,https://www.cs.dal.ca/~qggao,NOSCHOLARPAGE
Qijun Gu,Texas State University,http://www.cs.txstate.edu/~qg11,NOSCHOLARPAGE
Qiming Hou,Zhejiang University,http://www.houqiming.net,NOSCHOLARPAGE
Qin Jin,Renmin University of China,http://jin-qin.com,8UkYbCMAAAAJ
Qin Lu 0001,The Hong Kong Polytechnic University,http://www4.comp.polyu.edu.hk/~csluqin,Dk7iM5sAAAAJ
Qin Lv,University of Colorado Boulder,https://www.cs.colorado.edu/~lv,dTkWR0MAAAAJ
Qin Zhang 0001,Indiana University,http://homes.soic.indiana.edu/qzhangcs,21hVxuUAAAAJ
Qinfeng (Javen) Shi,University of Adelaide,https://cs.adelaide.edu.au/~javen,h6O9vYkAAAAJ
Qinfeng Shi,University of Adelaide,https://cs.adelaide.edu.au/~javen,h6O9vYkAAAAJ
Qing Cao,University of Tennessee,http://web.eecs.utk.edu/~qcao1,7WYOBKkAAAAJ
Qing Charles Cao,University of Tennessee,http://web.eecs.utk.edu/~qcao1,7WYOBKkAAAAJ
Qing Chen 0001,Tongji University,https://tjdi.tongji.edu.cn/TeacherDetail.do?id=5056&lang=en,fqK3E0oAAAAJ
Qing Gu,Nanjing University,https://www.facebook.com/public/Qing-Gu/city/Shanghai-China-106324046073002,4X1iP8IAAAAJ
Qing He 0003,Chinese Academy of Sciences,http://people.ucas.edu.cn/~0000964?language=en,zT-zZucAAAAJ
Qing Hu,Massachusetts Institute of Technology,http://www.rle.mit.edu/thz/people/qing-hu,wYOf7YQAAAAJ
Qing Li 0001,The Hong Kong Polytechnic University,https://www.comp.polyu.edu.hk/en-us/staffs/detail/7394,D1LEg-YAAAAJ
Qing Ling,Sun Yat-sen University,http://home.ustc.edu.cn/~qingling,u70vRDYAAAAJ
Qing Qu,University of Michigan,https://qingqu.engin.umich.edu,JfblW3MAAAAJ
Qing Wang 0001,Chinese Academy of Sciences,http://people.ucas.ac.cn/~wangqing,t1DbhhoAAAAJ
Qing Wang 0002,Australian National University,http://users.cecs.anu.edu.au/~u5170295,_Wic_cIAAAAJ
Qing Wang 0007,TU Delft,https://www.st.ewi.tudelft.nl/qing,fqE36d0AAAAJ
Qing Yang 0003,Montana State University,https://www.cs.montana.edu/yang,NOSCHOLARPAGE
Qing Yi,UCCS,http://www.cs.uccs.edu/~qyi,jDXlUyQAAAAJ
Qing'an Li,Wuhan University,http://cs.whu.edu.cn/teacherinfo.aspx?id=195,1nFUcMIAAAAJ
Qing-Hua Huang,NWPU,http://wisemed.cn/index.php/index/login_c.html,cdxgLCYAAAAJ
Qingan Li,Wuhan University,http://cs.whu.edu.cn/teacherinfo.aspx?id=195,1nFUcMIAAAAJ
Qingcai chen,Harbin Institute of Technology,http://www.hitsz.edu.cn/teacher/view/id-236.html,7aR5D4sAAAAJ
Qingfeng Du,Tongji University,https://sse.tongji.edu.cn/Data/View/2817,NOSCHOLARPAGE
Qingfu Zhang 0001,City University of Hong Kong,https://www.cs.cityu.edu.hk/~qzhan7/index.html,nhL9PHwAAAAJ
Qinggang Meng,Loughborough University,https://www.lboro.ac.uk/departments/compsci/staff/academic-teaching/qinggang-meng,OWGXbooAAAAJ
Qinghua Huang,NWPU,http://wisemed.cn/index.php/index/login_c.html,cdxgLCYAAAAJ
Qinghua Li,University of Arkansas,http://csce.uark.edu/~qinghual,bRTsPsEAAAAJ
Qingjiang Shi,Tongji University,https://sse.tongji.edu.cn/Data/View/3555,8xoKeR0AAAAJ
Qingkai Zeng,Nanjing University,https://cs.nju.edu.cn/58/1a/c2639a153626/page.htm,NOSCHOLARPAGE
Qingling Duan,Queen’s University,https://dbms.queensu.ca/faculty/duan_qingling,NOSCHOLARPAGE
Qingming Huang,Chinese Academy of Sciences,http://people.ucas.edu.cn/~0003060?language=en,J1vMnRgAAAAJ
Qingyao Ai,University of Utah,http://ir.aiqingyao.org/home,UKqaI5IAAAAJ
Qinming He,Zhejiang University,http://mypage.zju.edu.cn/0088262,NOSCHOLARPAGE
Qinpei Zhao,Tongji University,https://sse.tongji.edu.cn/Data/View/2821,NOSCHOLARPAGE
Qinping Zhao,Beihang University,http://scse.buaa.edu.cn/info/1084/2894.htm,NOSCHOLARPAGE
Qinru Qiu,Syracuse University,http://hydrogen.syr.edu/~qqiu,DWv0xG0AAAAJ
Qiong Luo 0001,HKUST,https://www.cse.ust.hk/~luo,SqAsppUAAAAJ
Qirun Zhang,Georgia Institute of Technology,http://helloqirun.github.io,u0TKjhIAAAAJ
Qishi Wu,NJIT,http://cs.njit.edu/people/wu.php,C__DNg8AAAAJ
Qiuming Yao,University of Nebraska,https://cse.unl.edu/~yao,CPUkfngAAAAJ
Qiuming Zhu,University of Nebraska - Omaha,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/qiuming-zhu.php,NOSCHOLARPAGE
Qiuyue Wang,Renmin University of China,http://info.ruc.edu.cn/academic_professor.php?teacher_id=51,KwKgfBsAAAAJ
Qixin Wang,The Hong Kong Polytechnic University,https://www4.comp.polyu.edu.hk/~csqwang,NcJeyRwAAAAJ
Qixing Huang,University of Texas at Austin,https://www.cs.utexas.edu/~huangqx,pamL_rIAAAAJ
Qizhi Xu,Beihang University,http://scse.buaa.edu.cn/info/1036/3025.htm,NOSCHOLARPAGE
Quaid D. Morris,University of Toronto,http://www.morrislab.ca,bb_q7tYAAAAJ
Quaid Morris,University of Toronto,http://www.morrislab.ca,bb_q7tYAAAAJ
Quan Chen 0002,Shanghai Jiao Tong University,http://www.cs.sjtu.edu.cn/~chen-quan,3yBSdrsAAAAJ
Quan Z. Sheng,Macquarie University,http://web.science.mq.edu.au/~qsheng,lwy2C5YAAAAJ
Quanquan Gu,Univ. of California - Los Angeles,http://web.cs.ucla.edu/~qgu,GU9HgNAAAAAJ
Quanshi Zhang,Shanghai Jiao Tong University,http://qszhang.com,iFFhHK0AAAAJ
Quanzheng Sheng,Macquarie University,http://web.science.mq.edu.au/~qsheng,lwy2C5YAAAAJ
Quentin F. Stout,University of Michigan,http://web.eecs.umich.edu/~qstout,ypOvMY0AAAAJ
Quin Yang 0008,University of North Texas,http://www.cse.unt.edu/~qingyang,FIMxNL0AAAAJ
Quinn O. Snell,Brigham Young University,https://faculty.cs.byu.edu/~snell,EaEutcUAAAAJ
Quinn Snell,Brigham Young University,https://faculty.cs.byu.edu/~snell,EaEutcUAAAAJ
Quintin I. Cutts,University of Glasgow,http://www.dcs.gla.ac.uk/~quintin,I9U41jQAAAAJ
Qun Huang 0001,Peking University,http://net.pku.edu.cn/~huangqun,1bQ4BNwAAAAJ
Qun Li,College of William and Mary,http://www.cs.wm.edu/~liqun,CtGBKt4AAAAJ
Qun Zhou,University of Central Florida,https://www.ece.ucf.edu/person/qun-zhou,NOSCHOLARPAGE
Quoc Tran-Dinh,University of North Carolina,http://quoctd.web.unc.edu,Wyxqvt8AAAAJ
Qusay H. Mahmoud,Ontario Tech University,https://engineering.ontariotechu.ca/people/ecse/qusay.mahmoud.php,bGLXnHUAAAAJ
Qutaibah M. Malluhi,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/qutaibah.php,uxzUkuUAAAAJ
Qutaibah Marwan Malluhi,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/qutaibah.php,uxzUkuUAAAAJ
