name,affiliation,homepage,scholarid
U Kang,Seoul National University,https://datalab.snu.ac.kr/~ukang,NVTb6RYAAAAJ
U. S. N. Raju,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16337,DjJx3sEAAAAJ
Ubaidulla Pandarakkottilil,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/pubaidulla,JpIWSI4AAAAJ
Ubbo Visser,University of Miami,http://www.cs.miami.edu/~visser,qTIlMmYAAAAJ
Udantha R. Abeyratne,University of Queensland,http://researchers.uq.edu.au/researcher/1182,mccLWM4AAAAJ
Udantha Ranjith Abeyratne,University of Queensland,http://www.itee.uq.edu.au/bme/abeyratne,NOSCHOLARPAGE
Uday Bondhugula,IISc Bangalore,http://www.csa.iisc.ac.in/~uday,cwo0elIAAAAJ
Uday P. Khedker,IIT Bombay,https://www.cse.iitb.ac.in/~uday,mMX9vxkAAAAJ
Uday S. Reddy,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/academic-staff/reddy-uday.aspx,HSUNa0sAAAAJ
Udaya Parampalli,University of Melbourne,http://people.eng.unimelb.edu.au/udaya,dT9UeiAAAAAJ
Udit Gupta [Tech],Cornell University,https://ugupta.com,LIPcHGQAAAAJ
Udo Frese,University of Bremen,http://www.informatik.uni-bremen.de/agebv/en/UdoFrese,mPHFB7oAAAAJ
Udo Kebschull,Goethe University Frankfurt,https://www.fias.science/de/fellows/detail/kebschull-udo,NOSCHOLARPAGE
Udo Kelter,University of Siegen,http://pi.informatik.uni-siegen.de/kelter,NOSCHOLARPAGE
Udo Kruschwitz,University of Regensburg,https://www.uni-regensburg.de/sprache-literatur-kultur/informationswissenschaft/mitarbeiter/udo-kruschwitz/index.html,ZCaIF_wAAAAJ
Udo R. Krieger,University of Bamberg,https://www.uni-bamberg.de/ktr/mitarbeiter/krieger,NOSCHOLARPAGE
Ueli M. Maurer,ETH Zurich,https://www.crypto.ethz.ch/~maurer,TSsq3GMAAAAJ
Ueli Maurer,ETH Zurich,https://www.crypto.ethz.ch/~maurer,TSsq3GMAAAAJ
Uffe Høgsbro Thygesen,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE
Uffe Kjærulff,Aalborg University,http://personprofil.aau.dk/102267?lang=en,NOSCHOLARPAGE
Ufuk Celikcan,Hacettepe University,https://web.cs.hacettepe.edu.tr/~celikcan,CH-5yWQAAAAJ
Ugo A. Buy,University of Illinois at Chicago,https://www.cs.uic.edu/Buy,8sz_AGoAAAAJ
Ugo Vaccaro,University of Salerno,http://www.di.unisa.it/~uv,TSpglVcAAAAJ
Ugur Dogrusoz,Bilkent University,http://www.cs.bilkent.edu.tr/~ugur,C79osIsAAAAJ
Ugur Dogrusöz,Bilkent University,http://www.cs.bilkent.edu.tr/~ugur,C79osIsAAAAJ
Ugur Güdükbay,Bilkent University,http://www.cs.bilkent.edu.tr/~gudukbay/home.html,qbE6pMIAAAAJ
Ugur Çetintemel,Brown University,https://sites.google.com/a/brown.edu/ugur-cetintemel,t_CVDYoAAAAJ
Uichin Lee,KAIST,http://ic.kaist.ac.kr/wiki/wiki.cgi?UichinLee,Sc2pBzYAAAAJ
Ujjwal Bhattacharya,ISI Kolkata,https://www.isical.ac.in/~ujjwal,Sv_ONBAAAAAJ
Ujjwal Maulik,Jadavpur University,https://sites.google.com/site/drujjwalmaulik,CW6heYUAAAAJ
Ujwal Gadiraju,TU Delft,https://www.tudelft.nl/ewi/over-de-faculteit/afdelingen/software-technology/web-information-systems/people/ujwal-gadiraju,FX7BF6QAAAAJ
Ujwal Kumar Gadiraju,TU Delft,https://www.tudelft.nl/ewi/over-de-faculteit/afdelingen/software-technology/web-information-systems/people/ujwal-gadiraju,FX7BF6QAAAAJ
Ujwala Baruah,National Institute of Technology Silchar,http://cs.nits.ac.in/ujwala,BD2ObywAAAAJ
Ulf Assarsson,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/uffe.aspx,zfI86n8AAAAJ
Ulf Kulau,Hamburg University of Technology,https://www3.tuhh.de/e-exk3/People/kulau,UgF32_EAAAAJ
Ulf Leser,Humboldt University of Berlin,https://www.informatik.hu-berlin.de/forschung/gebiete/wbi,VKfq59gAAAAJ
Uli Sattler,University of Manchester,http://www.cs.man.ac.uk/~sattler,NOSCHOLARPAGE
Uli Sorger,University of Luxembourg,http://wwwen.uni.lu/recherche/fstc/computer_science_and_communications_research_unit/members/ulrich_sorger,NOSCHOLARPAGE
Uli Wagner 0001,IST Austria,https://ist.ac.at/research/research-groups/wagner-group,9sN4N1wAAAAJ
Ulle Endriss,University of Amsterdam,https://staff.science.uva.nl/u.endriss,qKmgGU0AAAAJ
Ullrich Hustadt,University of Liverpool,http://www.csc.liv.ac.uk/~ullrich,Waf2HIoAAAAJ
Ullrich Köthe,Heidelberg University,https://hci.iwr.uni-heidelberg.de/vislearn/people/ullrich-koethe,gt-yaNMAAAAJ
Ulrich Aïvodji,ETS Montreal,https://aivodji.github.io,47kuuqIAAAAJ
Ulrich Brüning 0001,Heidelberg University,https://ra.ziti.uni-heidelberg.de/cag/staff/u-bruening,NOSCHOLARPAGE
Ulrich Carsten Meyer,Goethe University Frankfurt,https://ae.cs.uni-frankfurt.de/staff/ulrich_meyer.html,VUrYB2cAAAAJ
Ulrich Endriss,University of Amsterdam,https://staff.science.uva.nl/u.endriss,qKmgGU0AAAAJ
Ulrich Günther,University of Auckland,http://www.tcs.auckland.ac.nz/~ulrich,NOSCHOLARPAGE
Ulrich Hoppe,University of Duisburg-Essen,https://www.collide.info/de/mitarbeiter,NOSCHOLARPAGE
Ulrich K. Sorger,University of Luxembourg,http://wwwen.uni.lu/recherche/fstc/computer_science_and_communications_research_unit/members/ulrich_sorger,NOSCHOLARPAGE
Ulrich Kremer,Rutgers University,http://www.cs.rutgers.edu/~uli,NOSCHOLARPAGE
Ulrich Matchi Aïvodji,ETS Montreal,https://aivodji.github.io,47kuuqIAAAAJ
Ulrich Meyer 0001,Goethe University Frankfurt,https://ae.cs.uni-frankfurt.de/staff/ulrich_meyer.html,VUrYB2cAAAAJ
Ulrich Neumann,University of Southern California,http://graphics.usc.edu/cgit/un.html,NOSCHOLARPAGE
Ulrich Rüde,University of Erlangen–Nuremberg,https://www.cs10.tf.fau.de/person/ulrich-ruede,CizztzwAAAAJ
Ulrich Sax,University of Göttingen,https://medizininformatik.umg.eu/ueber-uns/team,_bCe0YQAAAAJ
Ulrich Schmid 0001,TU Wien,https://ti.tuwien.ac.at/ecs/people/schmid,NOSCHOLARPAGE
