name,affiliation,homepage,scholarid,orcid
X. Rosalind Wang,Western Sydney University,https://www.westernsydney.edu.au/staff_profiles/WSU/doctor_rosalind_wang,8K-JTZIAAAAJ,0000-0000-0000-0000
X. Sean Wang,Fudan University,http://www.cs.fudan.edu.cn/?page_id=1249?lang=eng,AHOG_MgAAAAJ,0000-0002-9059-3713
X. Sharon Hu,University of Notre Dame,http://www3.nd.edu/~shu,NOSCHOLARPAGE,0000-0002-6636-9738
Xavier Bresson,National University of Singapore,https://graphdeeplearning.github.io/authors/xavier-bresson,9pSK04MAAAAJ,0000-0000-0000-0000
Xavier Défago,Tokyo Institute of Technology,https://www.coord.c.titech.ac.jp,vPNvIusAAAAJ,0000-0002-2377-205X
Xavier Le Pallec,CRIStAL,http://cristal.univ-lille.fr/~lepallec,zO9OcTMAAAAJ,0000-0000-0000-0000
Xavier Leroy,INRIA,https://xavierleroy.org,K5yXAeAAAAAJ,0000-0002-8971-9171
Xavier M. Tricoche,Purdue University,https://www.cs.purdue.edu/homes/xmt,iL-hxJoAAAAJ,0000-0000-0000-0000
Xavier Maldague,Université Laval,http://w3.gel.ulaval.ca/~maldagx,NOSCHOLARPAGE,0000-0000-0000-0000
Xavier P. V. Maldague,Université Laval,http://w3.gel.ulaval.ca/~maldagx,NOSCHOLARPAGE,0000-0000-0000-0000
Xavier Rival,Ecole Normale Superieure,http://www.di.ens.fr/~rival,YGy_zroAAAAJ,0000-0002-2875-6171
Xavier Tricoche,Purdue University,https://www.cs.purdue.edu/homes/xmt,iL-hxJoAAAAJ,0000-0002-1688-3106
Xenofon D. Koutsoukos,Vanderbilt University,https://engineering.vanderbilt.edu/bio/?pid=xenofon-koutsoukos,NHZdlVkAAAAJ,0000-0000-0000-0000
Xenofon Fafoutis,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE,0000-0000-0000-0000
Xenofontas A. Dimitropoulos,University of Crete,http://www.inspire.edu.gr/~fontas,pWyNwcMAAAAJ,0000-0000-0000-0000
Xi Chen 0001,Columbia University,http://www.cs.columbia.edu/~xichen/Homepage/Welcome.html,P_UgxSYAAAAJ,0000-0001-5661-515X
Xi Chen 0010,New York University,https://www.stern.nyu.edu/faculty/bio/xi-chen,qjJg6akAAAAJ,0000-0002-9049-9452
Xi He 0001,University of Waterloo,https://cs.uwaterloo.ca/~xihe,DlTQ320AAAAJ,0000-0002-4999-4937
Xi Li 0001,Zhejiang University,http://mypage.zju.edu.cn/xilics,TYNPJQMAAAAJ,0000-0003-3023-1662
Xi Li 0015,University of Alabama - Birmingham,https://lixi1994.github.io,n9bDceAAAAAJ,0000-0000-0000-0000
Xi Lu 0002,University at Buffalo,https://cse.buffalo.edu/~xlu30,nsxqeHYAAAAJ,0000-0002-7868-273X
Xi Niu,UNC - Charlotte,https://cci.charlotte.edu/people/xi-sunshine-niu,8s12jxMAAAAJ,0000-0002-5418-6969
Xi Peng 0001,Sichuan University,https://pengxi.me,bw9FOHAAAAAJ,0000-0002-5727-2790
Xi Peng 0005,University of Delaware,https://deep-real.github.io/dr_xipeng.html,DWw4v0kAAAAJ,0000-0002-7772-001X
Xi Tan 0002,UCCS,https://mintancy.github.io/team/xitan.html,pO8h58oAAAAJ,0009-0001-6368-1523
Xi Wang 0012,University of Sheffield,https://www.sheffield.ac.uk/cs/people/academic/xi-wang,nFmvLQgAAAAJ,0000-0001-5936-9919
Xi Wu 0005,University of Sydney,https://www.sydney.edu.au/engineering/about/our-people/academic-staff/xi-wu.html,NOSCHOLARPAGE,0000-0000-0000-0000
Xi Yang 0011,Xidian University,https://web.xidian.edu.cn/yangx/index.html,W5c-LSYAAAAJ,0000-0002-5791-3674
Xi Ye 0003,University of Alberta,https://xiye17.github.io,qH83GlAAAAAJ,0000-0003-0331-7946
Xi Zhang 0008,BUPT,https://scss.bupt.edu.cn/info/1063/3293.htm,6sRtx0cAAAAJ,0000-0002-2111-7385
Xi Zhao 0002,Xi'an Jiaotong University,https://gr.xjtu.edu.cn/web/xi.zhao,IZqErZQAAAAJ,0000-0002-3993-9870
Xi Zheng 0001,Macquarie University,http://web.science.mq.edu.au/~jxzheng,SNfRGJoAAAAJ,0000-0002-2572-2355
Xi-Zhao Wang,Shenzhen University,http://csse.szu.edu.cn/cn/peopled297.html?98400,NyLTM0wAAAAJ,0000-0000-0000-0000
Xia (Ben) Hu,Rice University,https://profiles.rice.edu/faculty/xia-ben-hu,pcCS60IAAAAJ,0000-0000-0000-0000
Xia Ben Hu,Rice University,https://profiles.rice.edu/faculty/xia-ben-hu,pcCS60IAAAAJ,0000-0000-0000-0000
Xia Hu 0001,Rice University,https://profiles.rice.edu/faculty/xia-ben-hu,pcCS60IAAAAJ,0000-0003-2234-3226
Xia Ning,Ohio State University,https://u.osu.edu/ning.104/members/xia-ning-pi,YkPL8jMAAAAJ,0000-0002-6842-1165
Xia Yin 0001,Tsinghua University,http://www.tsinghua.edu.cn/publish/csen/4623/2010/20101226110908587907841/20101226110908587907841_.html,SKxhz04AAAAJ,0009-0000-0037-2777
Xia Zhou,Columbia University,https://www.cs.columbia.edu/~xia,t_DFZvgAAAAJ,0000-0002-2852-9024
Xiabing Zhou,Soochow University,http://web.suda.edu.cn/zhouxiabing,NOSCHOLARPAGE,0000-0000-0000-0000
Xiahai Zhuang,Fudan University,http://www.sdspeople.fudan.edu.cn/zhuangxiahai,XlavIMcAAAAJ,0000-0000-0000-0000
Xiajun Jiang,University of Memphis,https://www.memphis.edu/cs/people/faculty_pages/xiajun-jiang.php,P9klFBUAAAAJ,0000-0000-0000-0000
Xialei Liu,Nankai University,https://cc.nankai.edu.cn/2021/0323/c13620a549976/page.htm,akuWIJQAAAAJ,0000-0001-8534-3026
Xiali Hei 0001,Univ. of Louisiana - Lafayette,http://www.xialihei.com,PzflF_cAAAAJ,0000-0000-0000-0000
Xiali Sharon Hei,Univ. of Louisiana - Lafayette,http://www.xialihei.com,PzflF_cAAAAJ,0000-0000-0000-0000
Xian Du,Univ. of Massachusetts Amherst,https://mie.umass.edu/faculty/xian-du,8iO-e8MAAAAJ,0000-0000-0000-0000
Xian Fan,Florida State University,https://www.cs.fsu.edu/~fan/index.html,Cy91GecAAAAJ,0000-0003-0365-0909
Xian-He Sun,Illinois Institute of Technology,https://science.iit.edu/people/faculty/xian-he-sun,9h3JX7MAAAAJ,0000-0002-1093-0792
XianPing Tao,Nanjing University,http://ics.nju.edu.cn/people/xianpingtao,F3mGYVoAAAAJ,0000-0000-0000-0000
Xianfang Sun,Cardiff University,https://www.cardiff.ac.uk/people/view/118165-sun-xianfang,VwEdUpIAAAAJ,0000-0002-6114-0766
Xianfeng David Gu,Stony Brook University,http://www3.cs.stonybrook.edu/~gu,Y063_CIAAAAJ,0000-0001-8226-5851
Xianfeng Gu,Stony Brook University,http://www3.cs.stonybrook.edu/~gu,Y063_CIAAAAJ,0000-0001-8226-5851
Xiang 'Anthony' Chen,Univ. of California - Los Angeles,https://hci.prof,I2W13z0AAAAJ,0000-0002-8527-1744
Xiang Anthony Chen,Univ. of California - Los Angeles,https://hci.prof,I2W13z0AAAAJ,0000-0002-8527-1744
Xiang Ao 0001,Chinese Academy of Sciences,https://aoxaustin.github.io,W8wrWfMAAAAJ,0000-0001-9633-8361
Xiang Chen 0001,Zhejiang University,http://flyingxiang.net,I6P3k0AAAAAJ,0000-0002-6955-8729
Xiang Chen 0010,George Mason University,https://computing.sitemasonry.gmu.edu/profiles/xchen26,QEdR90AAAAAJ,0000-0003-2790-976X
Xiang Cheng 0003,BUPT,https://int.bupt.edu.cn/content/content.php?p=6_16_108,H39lTV8AAAAJ,0000-0001-6556-2264
Xiang Gao 0012,Beihang University,https://gaoxiang9430.github.io,nML3tzkAAAAJ,0000-0001-9895-4600
Xiang Gui,Massey University,http://www.massey.ac.nz/massey/expertise/profile.cfm?stref=602830,x1ngDN4AAAAJ,0000-0000-0000-0000
Xiang Li 0041,Nankai University,https://cc.nankai.edu.cn/2021/0323/c13620a549981/page.htm,oamjJdYAAAAJ,0000-0002-4996-7365
Xiang Lian 0001,Kent State University,https://www.kent.edu/cs/xiang-lian,xvrh8YMAAAAJ,0000-0001-7681-3807
Xiang Ling 0001,Chinese Academy of Sciences,https://ryderling.github.io,5gaFkzAAAAAJ,0000-0000-0000-0000
Xiang Long,Beihang University,http://scse.buaa.edu.cn/info/1078/2641.htm,NOSCHOLARPAGE,0000-0002-0589-8839
Xiang Ren 0001,University of Southern California,https://shanzhenren.github.io,_moJlrIAAAAJ,0000-0001-8655-663X
Xiang Ren 0003,Northeastern University,https://jrenx.github.io,sHxywSkAAAAJ,0000-0000-0000-0000
Xiang Wang 0010,USTC,https://xiangwang1223.github.io,HdhaQB0AAAAJ,0000-0002-6148-6329
Xiang Zhang 0001,Pennsylvania State University,https://faculty.ist.psu.edu/xzz89,NOSCHOLARPAGE,0000-0003-0940-6595
Xiang Zhang 0012,UNC - Charlotte,https://xiangzhang.info/index.html,0hCzMi4AAAAJ,0000-0001-5097-2113
