"author","coauthor","year","area"
Dimitris Achlioptas,Amos Fiat,2001,act
Dimitris Achlioptas,Michael S. O. Molloy,2001,act
Dimitris Achlioptas,Paul Beame,2001,act
Dimitris Achlioptas,Anna R. Karlin,2001,act
Dimitris Achlioptas,Bart Selman,2001,ai
Dimitris Achlioptas,Henry A. Kautz,2001,ai
Dimitris Achlioptas,Carla P. Gomes,2001,ai
Dimitris Achlioptas,Bernhard Schölkopf,2001,mlmining
Dimitris Achlioptas,Bart Selman,2000,ai
Dimitris Achlioptas,Henry A. Kautz,2000,ai
Dimitris Achlioptas,Carla P. Gomes,2000,ai
Dimitris Achlioptas,Michael S. O. Molloy,1997,act
Dimitris Achlioptas,Aaron Clauset,2005,act
Dimitris Achlioptas,David Kempe 0001,2005,act
Dimitris Achlioptas,Rüdiger L. Urbanke,2016,act
Doug L. James,Markus H. Gross,2008,graph
Doug L. James,Theodore Kim,2008,graph
Doug L. James,Steve Marschner,2008,graph
Doug L. James,Dinesh K. Pai,2008,graph
Doug L. James,Nils Thürey,2008,graph
Doug L. James,Kayvon Fatahalian,2003,graph
Doug L. James,Dinesh K. Pai,2003,graph
Doug L. James,Theodore Kim,2012,vis
Doug L. James,Dinesh K. Pai,2001,graph
Doug L. James,Hanspeter Pfister,2012,graph
Doug L. James,Bernd Bickel,2012,graph
Doug L. James,Steve Marschner,2012,graph
Doug L. James,Changxi Zheng,2012,graph
Doug L. James,Cem Yuksel,2012,graph
Doug L. James,Jernej Barbic,2010,graph
Doug L. James,Steve Marschner,2010,graph
Doug L. James,Changxi Zheng,2010,graph
Doug L. James,Jernej Barbic,2005,graph
Doug L. James,Jernej Barbic,2006,graph
Doug L. James,Dinesh K. Pai,2006,graph
Doug L. James,Dinesh K. Pai,2004,graph
Doug L. James,Dinesh K. Pai,1999,graph
Doug L. James,Changxi Zheng,2016,graph
Doug L. James,Changxi Zheng,2011,graph
Doug L. James,Dinesh K. Pai,2002,robotics
Doug L. James,Theodore Kim,2009,graph
Doug L. James,Changxi Zheng,2009,graph
Laurent Doyen 0001,Krishnendu Chatterjee,2012,log
Laurent Doyen 0001,Thomas A. Henzinger,2009,log
Laurent Doyen 0001,Krishnendu Chatterjee,2009,log
Laurent Doyen 0001,Krishnendu Chatterjee,2016,log
Laurent Doyen 0001,Thomas A. Henzinger,2006,log
Laurent Doyen 0001,Thomas A. Henzinger,2008,bed
Norman C. Hutchinson,Michael J. Feeley,2008,ops
Norman C. Hutchinson,Andrew Warfield,2008,ops
Norman C. Hutchinson,Larry L. Peterson,1989,ops
Norman C. Hutchinson,Michael J. Feeley,2009,ops
Norman C. Hutchinson,Andrew Warfield,2009,ops
Norman C. Hutchinson,Michael J. Feeley,1999,ops
Norman C. Hutchinson,Calton Pu,1988,mod
Norman C. Hutchinson,Gail E. Kaiser,1988,mod
Norman C. Hutchinson,Larry L. Peterson,1988,comm
Swastik Kopparty,Shubhangi Saraf,2011,act
Swastik Kopparty,Eli Ben-Sasson,2006,act
Swastik Kopparty,Shubhangi Saraf,2017,act
Swastik Kopparty,Madhu Sudan,2010,act
Swastik Kopparty,Grant Schoenebeck,2010,act
Swastik Kopparty,Arnab Bhattacharyya,2010,act
Swastik Kopparty,Venkatesan Guruswami,2010,act
Swastik Kopparty,David Zuckerman,2010,act
Swastik Kopparty,Shubhangi Saraf,2010,act
Swastik Kopparty,Eli Ben-Sasson,2013,act
Swastik Kopparty,Venkatesan Guruswami,2013,act
Swastik Kopparty,Shubhangi Saraf,2013,act
Swastik Kopparty,Elena Grigorescu,2008,act
Swastik Kopparty,Madhu Sudan,2008,act
Swastik Kopparty,Hari Balakrishnan,2006,comm
Swastik Kopparty,Paul Valiant,2006,comm
Swastik Kopparty,Mythili Vutukuru,2006,comm
Swastik Kopparty,Shubhangi Saraf,2016,act
Swastik Kopparty,Phokion G. Kolaitis,2009,act
Swastik Kopparty,Eli Ben-Sasson,2009,act
Swastik Kopparty,Zeev Dvir,2009,act
Swastik Kopparty,Shubhangi Saraf,2009,act
Swastik Kopparty,Madhu Sudan,2009,act
Naomi Nishimura,Prabhakar Ragde,1995,act
Naomi Nishimura,Jyrki Katajainen,1995,act
Naomi Nishimura,Marcin Kaminski,2012,act
Michael J. O'Donnell,Christoph M. Hoffmann,1984,plan
Michael J. O'Donnell,Christoph M. Hoffmann,1979,plan
Scott Kuindersma,Roderic A. Grupen,2012,robotics
Scott Kuindersma,Russ Tedrake,2014,robotics
Scott Kuindersma,Russ Tedrake,2016,robotics
Scott Kuindersma,George Konidaris,2011,ai
Scott Kuindersma,Roderic A. Grupen,2011,ai
Scott Kuindersma,George Konidaris,2010,mlmining
Scott Kuindersma,Roderic A. Grupen,2010,mlmining
Eric Van Wyk,Maria L. Gini,2012,robotics
Stefano Lonardi,Eamonn J. Keogh,2003,mlmining
