name,dateA. J. Field,1482348135.59
A. J. Kfoury,1482288085.84
A. Jefferson Offutt,1482348195.56
A. John Power,1482334438.95
A. P. Wim Böhm,1482347604.55
A. Prasad Sistla,1482337176.59
A. Robert Calderbank,1482347160.35
A. Th. Schreiber,1482333883.83
A. Udaya Shankar,1482333661.95
A. W. Roscoe,1482337241.06
A. William Roscoe,1482286215.58
Aamir Cheema,1482338205.12
Aaron Bloomfield,1482336165.41
Aaron Bobick,1482335848.20
Aaron C. Courville,1482348208.00
Aaron Clauset,1482289755.28
Aaron D. Striegel,1482334156.99
Aaron F. Bobick,1482333546.41
Aaron Harwood,1482355901.91
Aaron J. Elmore,1482353520.34
Aaron Leon Roth,1482338433.79
Aaron R. Quinlan,1482335241.13
Aaron Roth,1482348716.45
Aaron Striegel,1482348602.60
Aaron Stump,1482338813.12
Aarti Gupta,1482334220.30
Aarti Singh,1482334945.96
Aasa Feragen,1482348390.98
Abbas Edalat,1482351973.93
Abbe Mowshowitz,1482354844.58
Abdallah Saffidine,1482334115.78
Abdelfattah Amamra,1482337866.08
Abdelhakim Hafid,1482348199.05
Abdelhakim Senhaji Hafid,1482337111.16
Abdelsalam Helal,1482338762.18
Abdeslam Boularias,1482337460.86
Abdol-Hossein Esfahanian,1482334390.84
Abdou S. Youssef,1482348431.67
Abdou Youssef,1482289580.53
Abdullah Mueen,1482336348.48
Abdullah Uz Tansel,1482288216.08
Abedelaziz Mohaisen,1482289501.01
Abhi Shelat,1482352857.66
Abhijeet Ghosh,1482333269.39
Abhik Roychoudhury,1482337924.69
Abhinav Gupta,1482339009.88
Abhishek Bhattacharjee,1482334718.20
Abhishek Chandra,1482348106.11
Abhishek Jain,1482351989.60
Abraham Bernstein,1482348365.37
Abraham Silberschatz,1482348146.81
Abram Hindle,1482335415.63
Ada Gavrilovska,1482338752.19
Adam A. Porter,1482352876.23
Adam Chlipala,1482333140.26
Adam D. Smith,1482347811.97
Adam Doupé,1482288172.73
Adam Finkelstein,1482338245.53
Adam Hahn,1482338855.98
Adam J. Lee,1482333806.37
Adam Klivans,1482289590.70
Adam Krzyzak,1482335674.74
Adam Lopez,1482348195.02
Adam Morrison,1482338932.72
Adam O'Neill,1482352952.74
Adam R. Klivans,1482334214.31
Adam Wierman,1482334733.45
Adarsh S. Sethi,1482348183.49
Adarshpal S. Sethi,1482336373.89
