name,homepage
A. Aldo Faisal,http://www.imperial.ac.uk/people/a.faisal
A. C. W. Finkelstein,http://www0.cs.ucl.ac.uk/staff/A.Finkelstein/
A. D. Fekete , http://sydney.edu.au/engineering/people/alan.fekete.php
A. E. Eiben,http://www.cs.vu.nl/~gusz/
A. J. Field,http://www.imperial.ac.uk/people/t.field
A. J. Kfoury,http://www.cs.bu.edu/~kfoury/
A. Jefferson Offutt,http://cs.gmu.edu/~offutt/
A. P. Wim Böhm,http://www.cs.colostate.edu/~bohm/
A. Prasad Sistla , https://www.cs.uic.edu/Sistla
A. Robert Calderbank,https://ece.duke.edu/faculty/robert-calderbank
A. Th. Schreiber,http://www.cs.vu.nl/~guus/
A. Udaya Shankar,http://www.google.com/search?q=A.%20Udaya%20Shankar%20University%20of%20Maryland%20-%20College%20Park&btnI
A. W. Roscoe,http://www.cs.ox.ac.uk/bill.roscoe/
A. William Roscoe,http://www.cs.ox.ac.uk/bill.roscoe/
Aamir Cheema , http://www.aamircheema.com/
Aaron Bloomfield,https://www.cs.virginia.edu/~asb/
Aaron Bobick,http://www.cc.gatech.edu/~afb/
Aaron Clauset,https://www.colorado.edu/cs/users/aacl0007
Aaron D. Striegel,https://engineering.nd.edu/profiles/astriegel
Aaron F. Bobick,http://www.cc.gatech.edu/~afb/
Aaron Harwood , http://www.cis.unimelb.edu.au/people/staff.php?person_ID=9194
Aaron J. Elmore,http://people.cs.uchicago.edu/~aelmore/
Aaron Leon Roth,http://www.cis.upenn.edu/~aaroth/
Aaron R. Quinlan,http://quinlanlab.org/
Aaron Roth,http://www.cis.upenn.edu/~aaroth/
Aaron Striegel,https://engineering.nd.edu/profiles/astriegel
Aaron Stump,https://www.cs.uiowa.edu/~astump/
Aarti Gupta,https://www.cs.princeton.edu/people/profile/aartig
Aarti Singh,http://www.cs.cmu.edu/~aarti/
Aasa Feragen,http://image.diku.dk/aasa/
Abbas Edalat,https://www.doc.ic.ac.uk/~ae/
Abbe Mowshowitz,http://www.google.com/search?q=Abbe%20Mowshowitz%20CUNY&btnI
Abdallah Saffidine , http://www.cse.unsw.edu.au/~abdallahs/
Abdelfattah Amamra,http://www.cse.uconn.edu/people/faculty/
Abdelsalam Helal,http://www.cise.ufl.edu/~helal/
Abdeslam Boularias,http://www.google.com/search?q=Abdeslam%20Boularias%20Rutgers%20University&btnI
Abdol-Hossein Esfahanian,http://www.cse.msu.edu/~esfahani/
Abdou S. Youssef,https://www.seas.gwu.edu/~ayoussef/
Abdou Youssef,https://www.seas.gwu.edu/~ayoussef/
Abdullah Mueen,http://www.cs.unm.edu/~mueen/
Abdullah Uz Tansel,http://www.google.com/search?q=Abdullah%20Uz%20Tansel%20CUNY&btnI
Abedelaziz Mohaisen,http://www.cse.buffalo.edu/people/?u=mohaisen
Abhi Shelat,http://www.cs.virginia.edu/~shelat/
Abhijeet Ghosh,http://www.doc.ic.ac.uk/~ghosh/
Abhinav Gupta,http://www.cs.cmu.edu/~abhinavg/
Abhishek Bhattacharjee,http://www.cs.rutgers.edu/~abhib/
Abhishek Chandra,http://www-users.cs.umn.edu/~chandra/
Abraham Silberschatz,http://www.cs.yale.edu/~avi
Abram Hindle,http://softwareprocess.es/
Ada Gavrilovska , http://www.cc.gatech.edu/home/ada/
Adam A. Porter,https://www.cs.umd.edu/users/aporter/
Adam Chlipala,http://adam.chlipala.net/
Adam D. Smith,http://www.cse.psu.edu/~ads22/
Adam Doupé,http://adamdoupe.com/
Adam Finkelstein,https://www.cs.princeton.edu/~af/
Adam Hahn,https://school.eecs.wsu.edu/people/faculty/425-2/
Adam J. Lee,http://people.cs.pitt.edu/~adamlee/
Adam Klivans,https://www.cs.utexas.edu/~klivans/
Adam Lopez,http://alopez.github.io/
Adam O'Neill,http://people.cs.georgetown.edu/~adam/
Adam R. Klivans,https://www.cs.utexas.edu/~klivans/
Adam Wierman,http://www.cs.caltech.edu/~adamw/
Adarsh S. Sethi,https://www.eecis.udel.edu/~sethi/
Adarshpal S. Sethi,https://www.eecis.udel.edu/~sethi/
Adele E. Howe,http://www.cs.colostate.edu/~howe/
Aditi Majumder,http://www.ics.uci.edu/~majumder/
Aditya Akella,http://pages.cs.wisc.edu/~akella/
Aditya Bhaskara,http://www.cs.utah.edu/~bhaskara/
Aditya G. Parameswaran,https://cs.illinois.edu/directory/profile/adityagp
Aditya P. Mathur,https://www.cs.purdue.edu/people/apm/
Adnan Darwiche,http://www.cs.ucla.edu/~darwiche/
Adrian Lowe , https://cecs.anu.edu.au/people/adrian-lowe
Adrian Nistor,http://www.cs.fsu.edu/~nistor/
Adrian Perrig,http://www.netsec.ethz.ch/people/aperrig/
Adrian R. Pearce , http://people.eng.unimelb.edu.au/adrianrp/
Adrian R. Vetta,http://www.math.mcgill.ca/vetta/
Adrian Sampson,http://adriansampson.net/
Adrian Sandu,http://people.cs.vt.edu/~asandu/
Adrian Vetta,http://www.math.mcgill.ca/vetta/
Adriana Ferraro , https://www.cs.auckland.ac.nz/our_staff/profile.php?id=afer023
Adrien Basso-Blandin,http://www.google.com/search?q=Adrien%20Basso-Blandin%20Ecole%20Normale%20Superieure%20de%20Lyon&btnI
Adrienne Decker,http://www.google.com/search?q=Adrienne%20Decker%20Rochester%20Institute%20of%20Technology&btnI
Adwait Jog,http://adwaitjog.github.io/
Agathoniki Trigoni,https://www.cs.ox.ac.uk/niki.trigoni/
Aggelos K. Katsaggelos,http://www.mccormick.northwestern.edu/research-faculty/directory/profiles/katsaggelos-aggelos.html
Aggelos Kiayias,http://www.cse.uconn.edu/~akiayias/Home_of_Aggelos_Kiayias/Home_of_Aggelos_Kiayias.html
Agnes Hui Chan,http://www.ccs.neu.edu/home/ahchan/
Agustin Fernández,https://www.researchgate.net/profile/Agustin_Fernandez8
Ahmad-Reza Sadeghi,https://www.trust.informatik.tu-darmstadt.de/people/ahmad-reza-sadeghi/
Ahmed Abu-Hajar,http://www.google.com/search?q=Ahmed%20Abu-Hajar%20Washington%20State%20University&btnI
Ahmed Eldawy,http://www-users.cs.umn.edu/~eldawy/
Ahmed Helmy,http://www.cise.ufl.edu/~helmy/
Ahmed K. Elmagarmid,https://www.cs.purdue.edu/homes/ake/
Ahmed M. Elgammal,http://www.cs.rutgers.edu/~elgammal/Home.html
Ahmed Sameh,https://www.cs.purdue.edu/people/sameh
Ahti Peder , http://www.ut.ee/en/ahti-peder
Aidong Zhang,https://www.cse.buffalo.edu/faculty/azhang/
Aiichiro Nakano,http://physics.usc.edu/Faculty/Nakano/
Ailamaki Natassa,https://people.epfl.ch/anastasia.ailamaki
Aivar Annamaa , https://www.researchgate.net/profile/Aivar_Annamaa
Ajay D. Kshemkalyani,https://www.cs.uic.edu/~ajayk/
Ajay Kapur , https://ecs.victoria.ac.nz/Main/AjayKapur
Ajitha Rajan,http://homepages.inf.ed.ac.uk/arajan/
Akash Kumar 0001,https://www.cfaed.tu-dresden.de/pd-about
Akira Kawaguchi,http://www.google.com/search?q=Akira%20Kawaguchi%20CUNY&btnI
Akshay Krishnamurthy,https://www.cics.umass.edu/~akshay
Al Biles,http://igm.rit.edu/~jabics/
Al Davis,http://www.cs.utah.edu/~ald/
Alain Darte,http://perso.ens-lyon.fr/alain.darte/
Alain Finkel,http://www.lsv.ens-cachan.fr/~finkel/
Alain J. Martin,http://www.eas.caltech.edu/people/3119/profile
Alain Wegmann,https://people.epfl.ch/alain.wegmann
Alan Blackwell,http://www.cl.cam.ac.uk/~afb21/
Alan Blair , http://www.cse.unsw.edu.au/~blair/
Alan Borning,http://www.cs.washington.edu/people/faculty/borning
Alan Bundy,http://homepages.inf.ed.ac.uk/bundy/
Alan C. Wright , http://www.google.com/search?q=Alan%20C.%20Wright%20Massey%20University&btnI
Alan Christopher Williams,http://www.ed.ac.uk/informatics/news-events/recentnews/turing-institute-appoints-chris-williams-director
Alan Cline,https://www.cs.utexas.edu/directory/alan-cline
Alan D. Blair , http://www.cse.unsw.edu.au/~blair/
Alan David Fekete , https://sydney.edu.au/engineering/it/~fekete/
Alan Dorin , http://monash.edu/research/explore/en/persons/alan-dorin(59aaac49-3a7d-49f8-a805-06f2849b2757).html
Alan F. Blackwell,http://www.cl.cam.ac.uk/~afb21/
Alan Fekete , https://sydney.edu.au/engineering/it/~fekete/
Alan Fern,http://eecs.oregonstate.edu/~afern
Alan H. Barr,http://www.eas.caltech.edu/people/2923/profile
Alan J. Hu,http://www.cs.ubc.ca/~ajh/
Alan K. Mackworth,http://www.cs.ubc.ca/~mack/
Alan Kaminsky,https://www.cs.rit.edu/~ark/
Alan L. Bundy,http://homepages.inf.ed.ac.uk/bundy/
Alan L. Cox,https://www.cs.rice.edu/~alc/
Alan L. Davis,https://en.wikipedia.org/wiki/Alan_L._Davis
Alan Mislove,http://www.ccs.neu.edu/home/amislove/
Alan Mycroft,https://www.cl.cam.ac.uk/~am21/
Alan Paul Fern,http://eecs.oregonstate.edu/people/fern-alan
Alan Richard Bundy,https://en.wikipedia.org/wiki/Alan_Bundy
Alan Ritter,https://cse.osu.edu/people/ritter.1492
Alan Ross Anderson,https://en.wikipedia.org/wiki/Alan_Ross_Anderson
Alan S. Willsky,http://ssg.mit.edu/~willsky/
Alan Smaill,https://www.inf.ed.ac.uk/people/staff/Alan_Smaill.html
Alan Sussman,https://www.cs.umd.edu/~als/
Alan W. Black,https://www.cs.cmu.edu/~awb/
Alan Wagner,https://www.cs.ubc.ca/people/alan-wagner
Alan Wang,http://eecs.oregonstate.edu/people/wang-alan
Alastair F. Donaldson,http://multicore.doc.ic.ac.uk/
Alastair R. Beresford,https://www.cl.cam.ac.uk/~arb33/
Alban Ponse,https://staff.fnwi.uva.nl/a.ponse/
Albert Cabellos,http://personals.ac.upc.edu/acabello/
Albert Cabellos-Aparicio,http://personals.ac.upc.edu/acabello/
Albert Cohen,https://who.rocq.inria.fr/Albert.Cohen/
Albert R. Meyer,http://people.csail.mit.edu/meyer/
Albert Y. Zomaya , http://sydney.edu.au/engineering/it/~zomaya/
