institution,region,countryabbrv,homepage
AUEB,europe,gr,https://www.dept.aueb.gr/en/cs
Aalborg University,europe,dk,https://www.cs.aau.dk/
Aalto University,europe,fi,https://www.aalto.fi/en/department-of-computer-science
Aarhus University,europe,dk,https://cs.au.dk/
Aberystwyth University,europe,gb,https://www.aber.ac.uk/en/cs/
Adelaide University,australasia,au,https://set.adelaide.edu.au/computer-and-mathematical-sciences/
Air Force Inst. of Technology,northamerica,us,https://www.afit.edu/ENG/
American University in Cairo,africa,eg,https://sse.aucegypt.edu/academics/departments/computer-science-and-engineering
American University of Beirut,asia,lb,https://www.aub.edu.lb/fas/cs/
Ariel University,europe,il,https://www.ariel.ac.il/wp/cs/en/
Arizona State University,northamerica,us,https://scai.engineering.asu.edu/
Ashoka University,asia,in,https://www.ashoka.edu.in/department/department-of-cs/
Auburn University,northamerica,us,https://www.eng.auburn.edu/comp/
Augusta University,northamerica,us,https://www.augusta.edu/ccs/
Australian National University,australasia,au,https://comp.anu.edu.au/
BITS Pilani,asia,in,https://www.bits-pilani.ac.in/pilani/computer-science-information-systems/
BITS Pilani-Goa,asia,in,https://www.bits-pilani.ac.in/goa/computer-science-information-systems/
BUET,asia,bd,https://cse.buet.ac.bd
BUPT,asia,cn,https://scs.bupt.edu.cn
Babeș-Bolyai University,europe,ro,https://www.cs.ubbcluj.ro
Bangladesh Univ. of Professionals,asia,bd,https://bup.edu.bd/department_home/8
Bar-Ilan University,europe,il,https://cs.biu.ac.il/
Bauhaus University Weimar,europe,de,https://www.uni-weimar.de/en/media/structure/computer-science-department
Baylor University,northamerica,us,https://www.ecs.baylor.edu/programs-departments/computer-science
Beihang University,asia,cn,https://scse.buaa.edu.cn
Beijing Institute of Technology,asia,cn,https://cs.bit.edu.cn/
Beijing Jiaotong University,asia,cn,http://scit.bjtu.edu.cn/csen/
Beijing Normal University,asia,cn,https://english.bnu.edu.cn/schoolsdepartments/byx/113311.htm
Ben-Gurion University of the Negev,europe,il,https://www.cs.bgu.ac.il
Bielefeld University,europe,de,https://www.uni-bielefeld.de/fakultaeten/technische-fakultaet/
Bilkent University,europe,tr,https://www.cs.bilkent.edu.tr
Binghamton University,northamerica,us,https://www.binghamton.edu/computer-science/
Birkbeck University of London,europe,gb,https://www.dcs.bbk.ac.uk
Bocconi University,europe,it,https://cs.unibocconi.eu
Boise State University,northamerica,us,https://www.boisestate.edu/coen-cs/
Boston College,northamerica,us,https://www.bc.edu/bc-web/schools/morrissey/departments/computer-science.html
Boston University,northamerica,us,https://www.bu.edu/cs/
Boğaziçi University,europe,tr,https://www.cmpe.boun.edu.tr
Brandeis University,northamerica,us,https://www.brandeis.edu/computer-science/
Brandenburg Univ. of Technology,europe,de,https://www.b-tu.de/en/institut-fuer-informatik
Brigham Young University,northamerica,us,https://cs.byu.edu
Brno University of Technology,europe,cz,https://www.fit.vut.cz
Brock University,northamerica,ca,https://brocku.ca/mathematics-science/computer-science/
Brown University,northamerica,us,https://cs.brown.edu/
Brunel University London,europe,gb,https://www.brunel.ac.uk/computer-science
Bundeswehr University Munich,europe,de,https://www.unibw.de/home-en/departments/department-of-computer-science
CISPA Helmholtz Center,europe,de,https://cispa.saarland
CMI,asia,in,https://www.cmi.ac.in
CNRS,europe,fr,https://www.ins2i.cnrs.fr/en
CRIStAL,europe,fr,https://www.cristal.univ-lille.fr
CUHK (SZ),asia,cn,https://sds.cuhk.edu.cn
CUNY,northamerica,us,https://www.gc.cuny.edu/computer-science
CWI,europe,nl,https://www.cwi.nl/en/
California Inst. of Technology,northamerica,us,https://www.cms.caltech.edu/
Cardiff University,europe,gb,https://www.cardiff.ac.uk/computer-science
Carleton University,northamerica,ca,https://carleton.ca/scs/
Carnegie Mellon University,northamerica,us,https://www.csd.cs.cmu.edu/
Case Western Reserve University,northamerica,us,https://engineering.case.edu/computer-and-data-sciences
Central South University,asia,cn,https://cse.csu.edu.cn/
Chalmers/GU,europe,se,https://www.chalmers.se/en/departments/cse/
Charles University,europe,cz,https://cs.mff.cuni.cz/en
Chinese Academy of Sciences,asia,cn,http://english.ict.cas.cn/
Chinese University of Hong Kong,asia,hk,https://www.cse.cuhk.edu.hk/
Chittagong Univ. of Eng. & Technology,asia,bd,https://cuet.ac.bd/department/cse
Chongqing University,asia,cn,https://www.cse.cqu.edu.cn
Chulalongkorn University,asia,th,https://www.cp.eng.chula.ac.th/
Chung-Ang University,asia,kr,https://cse.cau.ac.kr/eng/
City University of Hong Kong,asia,hk,https://www.cs.cityu.edu.hk
City University of London,europe,gb,https://www.city.ac.uk/about/schools/science-technology/computer-science
City University of Macau,asia,mo,https://fds.cityu.edu.mo
Claremont Graduate University,northamerica,us,https://www.cgu.edu/school/center-for-information-systems-and-technology/
Clemson University,northamerica,us,https://www.clemson.edu/cecas/departments/computing/
Cleveland State University,northamerica,us,https://engineering.csuohio.edu/cs
College of William and Mary,northamerica,us,https://www.wm.edu/as/computerscience/
Colorado School of Mines,northamerica,us,https://cs.mines.edu/
Colorado State University,northamerica,us,https://compsci.colostate.edu/
Columbia University,northamerica,us,https://www.cs.columbia.edu/
Concordia University,northamerica,ca,https://www.concordia.ca/ginacody/computer-science-software-eng.html
Cornell University,northamerica,us,https://www.cs.cornell.edu/
Cyprus University of Technology,europe,cy,https://www.cut.ac.cy/faculties/fet/eecei/
Czech Technical University,europe,cz,https://cmp.felk.cvut.cz
DAIICT,asia,in,https://www.daiict.ac.in
DGIST,asia,kr,https://eecs.dgist.ac.kr/en/
DTU,europe,dk,https://www.compute.dtu.dk/
Dalhousie University,northamerica,ca,https://www.dal.ca/faculty/computerscience.html
Dartmouth College,northamerica,us,https://web.cs.dartmouth.edu/
De La Salle University,asia,ph,https://www.dlsu.edu.ph/colleges/ccs/
DePaul University,northamerica,us,https://www.cdm.depaul.edu
Drexel University,northamerica,us,https://drexel.edu/cci/academics/computer-science-department/
Duke University,northamerica,us,https://cs.duke.edu/
Durham University,europe,gb,https://www.durham.ac.uk/departments/academic/computer-science/
EPFL,europe,ch,https://www.epfl.ch/schools/ic/
ETH Zurich,europe,ch,https://inf.ethz.ch/
ETS Montreal,northamerica,ca,https://www.etsmtl.ca
EURECOM,europe,fr,https://www.eurecom.fr
East China Normal University,asia,cn,https://cs.ecnu.edu.cn/
Ecole Normale Superieure,europe,fr,https://www.di.ens.fr/
Ecole Normale Superieure de Cachan,europe,fr,https://www.lsv.ens-cachan.fr
Ecole Normale Superieure de Lyon,europe,fr,https://informatique.ens-lyon.fr
Ecole Normale Superieure de Rennes,europe,fr,http://www.ens-rennes.fr/research-in-computer-sciences-and-telecommunications-157088.kjsp
Emory University,northamerica,us,https://computerscience.emory.edu/
Federal University of Rio Grande,southamerica,br,https://www.paulo.c3.furg.br
Florida Atlantic University,northamerica,us,https://www.fau.edu/engineering/eecs/
Florida Institute of Technology,northamerica,us,https://cs.fit.edu/
Florida International University,northamerica,us,https://www.cis.fiu.edu/
Florida State University,northamerica,us,https://www.cs.fsu.edu/
Freie Universitaet Berlin,europe,de,https://www.mi.fu-berlin.de/en/inf/
Friedrich Schiller University Jena,europe,de,https://www.fmi.uni-jena.de
Fudan University,asia,cn,https://www.cs.fudan.edu.cn
GIST,asia,kr,https://eecs.gist.ac.kr/
GSSI,europe,it,https://cs.gssi.it
Galatasaray University,europe,tr,https://bm.gsu.edu.tr/en
George Mason University,northamerica,us,https://cs.gmu.edu/
George Washington University,northamerica,us,https://cs.engineering.gwu.edu/
Georgetown University,northamerica,us,https://cs.georgetown.edu/
Georgia Institute of Technology,northamerica,us,https://www.cc.gatech.edu/
Georgia State University,northamerica,us,https://csds.gsu.edu/
Goethe University Frankfurt,europe,de,https://www.goethe-university-frankfurt.de/106076806/Institute_of_Computer_Science
Goldsmiths University of London,europe,gb,https://www.gold.ac.uk/computing/
Graz University of Technology,europe,at,https://www.tugraz.at/fakultaeten/csbme/home
Griffith University,australasia,au,https://www.griffith.edu.au/griffith-sciences/school-information-communication-technology
HEC Montreal,northamerica,ca,https://www.hec.ca/en/it/
HKUST,asia,hk,https://cse.hkust.edu.hk/
HSE University,europe,ru,https://cs.hse.ru/en/
HUST,asia,cn,http://english.cs.hust.edu.cn/
Hacettepe University,europe,tr,https://web.cs.hacettepe.edu.tr
Hamburg University of Technology,europe,de,https://www.tuhh.de/tuhh/en/schools/electrical-engineering-computer-science-and-mathematics
Hanyang University,asia,kr,http://cse.hanyang.ac.kr/eng/
Harbin Institute of Technology,asia,cn,https://encs.hit.edu.cn/
Harvard University,northamerica,us,https://seas.harvard.edu/computer-science
Hasso Plattner Institute,europe,de,https://hpi.de
Hebrew University of Jerusalem,europe,il,https://www.cs.huji.ac.il/
Heidelberg University,europe,de,https://www.informatik.uni-heidelberg.de/
Heriot-Watt University,europe,gb,https://www.hw.ac.uk/about/our-schools/mathematical-and-computer-sciences/
Hong Kong Baptist University,asia,hk,https://www.comp.hkbu.edu.hk
Humboldt University of Berlin,europe,de,https://www.informatik.hu-berlin.de/en
Hunan University,asia,cn,https://csee.hnu.edu.cn
Hunan University of Science and Technology,asia,cn,https://computer.hnust.edu.cn
IGDTUW,asia,in,https://www.igdtuw.ac.in/departments/computer-science-and-engineering
IIIT Bangalore,asia,in,https://cse.iiitb.ac.in/
IIIT Delhi,asia,in,https://cse.iiitd.ac.in/
IIIT Hyderabad,asia,in,https://www.iiit.ac.in
IISc Bangalore,asia,in,https://www.csa.iisc.ac.in/
IIT (BHU) Varanasi,asia,in,https://www.iitbhu.ac.in/dept/cse
IIT (ISM) Dhanbad,asia,in,https://cse.iitism.ac.in/
IIT Bhilai,asia,in,https://www.iitbhilai.ac.in/index.php?pid=dept_cse
IIT Bhubaneswar,asia,in,https://secs.iitbbs.ac.in/
IIT Bombay,asia,in,https://www.cse.iitb.ac.in/
IIT Delhi,asia,in,https://www.cse.iitd.ac.in/
IIT Dharwad,asia,in,https://cse.iitdh.ac.in/
IIT Gandhinagar,asia,in,https://cs.iitgn.ac.in/
IIT Goa,asia,in,https://iitgoa.ac.in/computer-science-about/
IIT Guwahati,asia,in,https://www.iitg.ac.in/cse/
IIT Hyderabad,asia,in,https://cse.iith.ac.in/
IIT Indore,asia,in,https://cse.iiti.ac.in/
IIT Jammu,asia,in,https://www.iitjammu.ac.in/computer_science_engineering
IIT Jodhpur,asia,in,https://www.iitj.ac.in/computer-science-engineering
IIT Kanpur,asia,in,https://www.cse.iitk.ac.in
IIT Kharagpur,asia,in,https://cse.iitkgp.ac.in
IIT Madras,asia,in,https://www.cse.iitm.ac.in
IIT Mandi,asia,in,https://scee.iitmandi.ac.in/
IIT Palakkad,asia,in,https://cse.iitpkd.ac.in/
IIT Patna,asia,in,https://www.iitp.ac.in/departments/engineering-technology/computer-science-and-engineering
IIT Roorkee,asia,in,https://cse.iitr.ac.in/
IIT Ropar,asia,in,https://cse.iitrpr.ac.in/
IIT Tirupati,asia,in,https://cse.iittp.ac.in/
IMDEA Networks Institute,europe,es,https://networks.imdea.org
IMDEA Software Institute,europe,es,https://software.imdea.org
IMSc,asia,in,https://www.imsc.res.in
INRIA,europe,fr,https://cambium.inria.fr
INSAIT,europe,bg,https://insait.ai
IPI PAN,europe,pl,https://ipipan.waw.pl
IPM,asia,ir,https://cs.ipm.ac.ir
ISI Kolkata,asia,in,https://www.isical.ac.in
IST Austria,europe,at,https://ist.ac.at/en/research/
IT University of Copenhagen,europe,dk,https://en.itu.dk/
IUPUI,northamerica,us,https://cs.iupui.edu
IUST,asia,ir,https://ce.iust.ac.ir
Illinois Institute of Technology,northamerica,us,https://www.iit.edu/computer-science
Imperial College London,europe,gb,https://www.imperial.ac.uk/computing/
Indiana State University,northamerica,us,https://cs.indstate.edu
Indiana University,northamerica,us,https://cs.indiana.edu/
Institut Polytechnique de Paris,europe,fr,https://cs.ip-paris.fr/
Iowa State University,northamerica,us,https://www.cs.iastate.edu/
Islamic University of Technology,asia,bd,https://cse.iutoic-dhaka.edu/
Istanbul Technical University,europe,tr,https://bbf.itu.edu.tr/en
Istanbul University-Cerrahpaşa,europe,tr,https://bilgisayarmuhendislik.iuc.edu.tr/en
Izmir Institute of Technology,europe,tr,https://ceng.iyte.edu.tr
JKU Linz,europe,at,https://informatik.jku.at/
JUST,asia,jo,https://www.just.edu.jo/FacultiesandDepartments/it/Departments/cs/
Jacobs University Bremen,europe,de,https://constructor.university/research/school-of-computer-science-and-engineering
Jadavpur University,asia,in,https://cse.jadavpuruniversity.in/
Jagiellonian University,europe,pl,https://ii.uj.edu.pl/en_GB/
Jahangirnagar University,asia,bd,https://juniv.edu/department/cse
Jaypee Univ. of Info. Tech.,asia,in,https://www.juit.ac.in/
Jilin University,asia,cn,https://ccst.jlu.edu.cn
Johns Hopkins University,northamerica,us,https://www.cs.jhu.edu/
KAIST,asia,kr,https://cs.kaist.ac.kr/
KAUST,asia,sa,https://www.kaust.edu.sa
KIIT Bhubaneswar,asia,in,https://cse.kiit.ac.in
KMUTNB,asia,th,https://tggs.kmutnb.ac.th
KTH Royal Inst. of Technology,europe,se,https://www.kth.se/cs/department-of-computer-science-1.1027648
KU Leuven,europe,be,https://wms.cs.kuleuven.be/cs/english
Kansas State University,northamerica,us,https://www.cs.ksu.edu/
Karlsruhe Inst. of Technology,europe,de,https://www.informatik.kit.edu/english/
Keio University,asia,jp,https://www.st.keio.ac.jp
Kempelen Institute - KInIT,europe,sk,https://kinit.sk
Kent State University,northamerica,us,https://www.kent.edu/cs
Khulna Univ. of Eng. & Technology,asia,bd,https://kuet.ac.bd/department/CSE/
King Abdulaziz University,asia,sa,https://www.kau.edu.sa
King's College London,europe,gb,https://www.kcl.ac.uk/informatics
Korea University,asia,kr,https://cs.korea.edu/en_cs/index.do
Koç University,europe,tr,https://mysite.ku.edu.tr
Kyoto University,asia,jp,https://www.i.kyoto-u.ac.jp/en/
Kyung Hee University,asia,kr,https://networking.khu.ac.kr
Kyungpook National University,asia,kr,https://computer.knu.ac.kr/eng/index.php
LIU Post,northamerica,us,https://liu.edu/post/academics/school-of-computer-science-and-innovation
LMU Munich,europe,de,https://www.ifi.lmu.de/
LUMS,asia,pk,https://lums.edu.pk
Lancaster University,europe,gb,https://www.lancaster.ac.uk/scc/
Lebanese American University,asia,lb,https://sas.lau.edu.lb
Lehigh University,northamerica,us,https://engineering.lehigh.edu/cse
Leiden University,europe,nl,https://liacs.leidenuniv.nl/
Loughborough University,europe,gb,https://www.lboro.ac.uk
Louisiana State University,northamerica,us,https://www.lsu.edu/eng/cse/
Louisiana Tech University,northamerica,us,https://coes.latech.edu/undergraduate-programs/computer-science/
Lund University,europe,se,https://cs.lth.se
MBZUAI,asia,ae,https://mbzuai.ac.ae
MUST,asia,mo,https://fie.must.edu.mo
Maastricht University,europe,nl,https://dke.maastrichtuniversity.nl
Macquarie University,australasia,au,https://www.mq.edu.au/faculty-of-science-and-engineering/departments-and-schools/school-of-computing
Malmö University,europe,se,https://mau.se
Masaryk University,europe,cz,https://www.muni.cz
Masdar Institute,asia,ae,https://www.masdar.ac.ae
Massachusetts Inst. of Technology,northamerica,us,https://www.eecs.mit.edu/
Massey University,australasia,nz,https://www.massey.ac.nz
Max Planck Society,europe,de,https://www.mpi-inf.mpg.de/
Maynooth University,europe,ie,https://www.maynoothuniversity.ie/computer-science
McGill University,northamerica,ca,https://www.cs.mcgill.ca/
McMaster University,northamerica,ca,https://www.eng.mcmaster.ca/cas/
Memorial Univ. of Newfoundland,northamerica,ca,https://www.mun.ca
Michigan State University,northamerica,us,https://www.cse.msu.edu/
Michigan Technological University,northamerica,us,https://www.mtu.edu/cs/
Middle East Technical University,europe,tr,https://user.ceng.metu.edu.tr
Middlesex University,europe,gb,https://www.mdx.ac.uk
Mississippi State University,northamerica,us,https://www.cse.msstate.edu/
Missouri S&T,northamerica,us,https://cs.mst.edu/
Mohammed VI Polytechnic University,africa,ma,https://cc.um6p.ma
Monash University,australasia,au,https://www.monash.edu/it/dsai
Monash University Indonesia,asia,id,https://www.monash.edu
Montana State University,northamerica,us,https://www.cs.montana.edu
Mälardalen University,europe,se,https://www.es.mdh.se
NAIST,asia,jp,https://isw3.naist.jp/
NISER,asia,in,https://www.niser.ac.in
NIT Jalandhar,asia,in,https://www.nitj.ac.in/cse/
NJIT,northamerica,us,https://cs.njit.edu/
NTNU,europe,no,https://www.ntnu.edu/idi
NTUA,europe,gr,https://www.ece.ntua.gr
NWPU,asia,cn,https://teacher.nwpu.edu.cn
NYU Abu Dhabi,asia,ae,https://nyuad.nyu.edu
NYU Shanghai,asia,cn,https://cs.shanghai.nyu.edu/
Nagoya University,asia,jp,https://www.i.nagoya-u.ac.jp/en/
Nanjing University,asia,cn,https://cs.nju.edu.cn
Nankai University,asia,cn,https://cs.nankai.edu.cn/
Nanyang Technological University,asia,sg,https://www.ntu.edu.sg/computing
Nara Inst. of Science and Tech.,asia,jp,https://isw3.naist.jp/
National Cheng Kung University,asia,tw,https://www.csie.ncku.edu.tw
National Chiao Tung University,asia,tw,https://www.cs.nctu.edu.tw
National Chung Cheng University,asia,tw,https://cs.ccu.edu.tw/
National Inst. of Informatics,asia,jp,https://www.nii.ac.jp
National Inst. of Tech. Silchar,asia,in,https://cs.nits.ac.in
National Inst. of Tech. Warangal,asia,in,https://wsdc.nitw.ac.in
National Taiwan University,asia,tw,https://www.csie.ntu.edu.tw/?locale=en
National Tsing Hua University,asia,tw,https://www.cs.nthu.edu.tw
National University of Singapore,asia,sg,https://www.comp.nus.edu.sg/
Naval Postgraduate School,northamerica,us,https://nps.edu/web/cs
New Mexico State University,northamerica,us,https://www.cs.nmsu.edu
New Mexico Tech,northamerica,us,https://www.nmt.edu/academics/compsci/index.php
New York Tech,northamerica,us,https://www.nyit.edu/academics/engineering-and-computing-sciences/computer-science/
New York University,northamerica,us,https://cs.nyu.edu/
Newcastle University,europe,gb,https://www.ncl.ac.uk/computing/
North Carolina State University,northamerica,us,https://csc.ncsu.edu/
North Dakota State University,northamerica,us,https://www.cs.ndsu.nodak.edu
Northeastern University,northamerica,us,https://www.khoury.northeastern.edu/
Northeastern University (China),asia,cn,https://cse.neu.edu.cn/
Northern Arizona University,northamerica,us,https://nau.edu/school-informatics-computing-cyber-systems/
Northwest University,asia,cn,https://ist.nwu.edu.cn
Northwestern University,northamerica,us,https://www.mccormick.northwestern.edu/computer-science/
Nova Southeastern University,northamerica,us,https://cec.nova.edu
OHSU,northamerica,us,https://www.ohsu.edu/school-of-medicine/medical-informatics-and-clinical-epidemiology
Oakland University,northamerica,us,https://www.oakland.edu/secs/departments/cse/
Ohio State University,northamerica,us,https://cse.osu.edu/
Ohio University,northamerica,us,https://www.ohio.edu/engineering/eecs
Oklahoma State University,northamerica,us,https://cs.okstate.edu
Old Dominion University,northamerica,us,https://www.cs.odu.edu
Ontario Tech University,northamerica,ca,https://engineering.ontariotechu.ca
Open University NL,europe,nl,https://www.ou.nl/en/onderzoeksgebied-informatica-promoveren
Open University UK,europe,gb,https://stem.open.ac.uk
Oregon State University,northamerica,us,https://eecs.oregonstate.edu/
Osaka University,asia,jp,https://www.ist.osaka-u.ac.jp
POSTECH,asia,kr,https://ecse.postech.ac.kr/
PTIT,asia,vn,https://english.ptit.edu.vn/
PUC-RIO,southamerica,br,https://www.inf.puc-rio.br
PUC-RS,southamerica,br,https://www.inf.pucrs.br
Pabna Univ. of Science and Technology,asia,bd,https://pust.ac.bd/academic/departments/dept_teachers/D01
Paderborn University,europe,de,https://cs.uni-paderborn.de
Peking University,asia,cn,https://cs.pku.edu.cn/English/Home.htm
Pennsylvania State University,northamerica,us,https://www.eecs.psu.edu/
Plaksha University,asia,in,https://plaksha.edu.in
Politecnico di Milano,europe,it,https://www.deib.polimi.it/eng/home-page
Politecnico di Torino,europe,it,https://www.dauin.polito.it/
Polytechnic Univ. of Catalonia,europe,es,https://www.cs.upc.edu/
Polytechnique Montreal,northamerica,ca,https://www.polymtl.ca/gigl/
Portland State University,northamerica,us,https://web.cecs.pdx.edu
Princeton University,northamerica,us,https://www.cs.princeton.edu/
