uid,old_name,new_name,orcid
03/281,Heng Huang,Heng Huang 0001,0000-0002-3483-8333
04/6065,Verena Wolf,Verena Wolf 0001,0000-0001-8460-6007
10/4788,Juan A. Garay,Juan A. Garay 0001,0000-0003-0366-7110
14/4828,Farhana H. Zulkernine,Farhana Zulkernine,
146/6423,Iyad A. Katib,Iyad Katib,
147/1470,Guohao Dai,Guohao Dai 0001,0000-0003-0849-3252
15/10093,Johannes Peter Wallner,Johannes P. Wallner,
173/2941,Maarit Käpylä,Maarit J. Korpi-Lagg,
31/789,Robert D. Mullins,Robert Mullins 0001,0000-0002-8393-2748
35/5051,Pierre Bellec,Lune Bellec,
40/6300,Daniel Kang,Daniel Kang 0001,0000-0001-9860-9938
45/2903,Björn E. Ottersten,Björn Ottersten 0001,
62/3796,Huy L. Nguyen,Huy L. Nguyen 0001,0000-0002-6112-3763
72/1476,Iain W. Phillips,Iain Phillips 0002,
74/6505,Bjoern H. Menze,Bjoern Menze,0000-0003-4136-5690
74/6710,Yijun Yu,Yijun Yu 0001,0000-0002-7154-8570
82/4509,Luís M. Correia,Luís M. Correia 0001,
85/10260,Kevin G. Jamieson,Kevin Jamieson 0001,
96/6496,Xiaofeng Tao,Xiaofeng Tao 0001,0000-0001-9518-1622
c/FTChong,Frederic T. Chong,Fred Chong,0000-0001-9282-4645
f/RoyFriedman,Roy Friedman,Roy Friedman 0001,0000-0001-6460-9665
l/NinghuiLi,Ninghui Li,Ninghui Li 0001,0000-0001-8207-9717
m/IbrahimMatta,Ibrahim Matta,Abraham Matta,0000-0003-4528-0344
p/IainCCPhillips,Iain C. C. Phillips,Iain Phillips 0001,
z/AidongZhang,Aidong Zhang,Aidong Zhang 0001,0000-0001-9723-3246
